Home Team,Home Score,Away Team,Away Score,Match Date
Toulouse,1,AC Ajaccio,0, Sunday 27th May 2018.
AC Ajaccio,0,Toulouse,3, Wednesday 23rd May 2018.
AC Ajaccio,2,Le Havre,2, Sunday 20th May 2018.
Caen,0,Paris Saint-Germain,0, Saturday 19th May 2018.
Dijon,2,Angers,1, Saturday 19th May 2018.
Lyon,3,Nice,2, Saturday 19th May 2018.
Marseille,2,Amiens,1, Saturday 19th May 2018.
Metz,0,Bordeaux,4, Saturday 19th May 2018.
Nantes,1,Strasbourg,0, Saturday 19th May 2018.
Rennes,1,Montpellier,1, Saturday 19th May 2018.
St Etienne,5,Lille,0, Saturday 19th May 2018.
Toulouse,2,Guingamp,1, Saturday 19th May 2018.
Troyes,0,Monaco,3, Saturday 19th May 2018.
Le Havre,2,Brest,0, Tuesday 15th May 2018.
Amiens,2,Metz,0, Saturday 12th May 2018.
Angers,0,Nantes,2, Saturday 12th May 2018.
Bordeaux,4,Toulouse,2, Saturday 12th May 2018.
Lille,2,Dijon,1, Saturday 12th May 2018.
Monaco,1,St Etienne,0, Saturday 12th May 2018.
Montpellier,1,Troyes,1, Saturday 12th May 2018.
Nice,4,Caen,1, Saturday 12th May 2018.
Paris Saint-Germain,0,Rennes,2, Saturday 12th May 2018.
Strasbourg,3,Lyon,2, Saturday 12th May 2018.
Guingamp,3,Marseille,3, Friday 11th May 2018.
St Etienne,1,Bordeaux,3, Sunday 6th May 2018.
Lyon,3,Troyes,0, Sunday 6th May 2018.
Caen,1,Monaco,2, Sunday 6th May 2018.
Dijon,3,Guingamp,1, Sunday 6th May 2018.
Metz,1,Angers,2, Sunday 6th May 2018.
Nantes,0,Montpellier,2, Sunday 6th May 2018.
Rennes,2,Strasbourg,1, Sunday 6th May 2018.
Toulouse,2,Lille,3, Sunday 6th May 2018.
Marseille,2,Nice,1, Sunday 6th May 2018.
Amiens,2,Paris Saint-Germain,2, Friday 4th May 2018.
Rennes,2,Toulouse,1, Sunday 29th April 2018.
Angers,1,Marseille,1, Sunday 29th April 2018.
Paris Saint-Germain,2,Guingamp,2, Sunday 29th April 2018.
Lyon,2,Nantes,0, Saturday 28th April 2018.
Bordeaux,3,Dijon,1, Saturday 28th April 2018.
Lille,3,Metz,1, Saturday 28th April 2018.
Monaco,0,Amiens,0, Saturday 28th April 2018.
Strasbourg,1,Nice,1, Saturday 28th April 2018.
Troyes,3,Caen,1, Saturday 28th April 2018.
Montpellier,0,St Etienne,1, Friday 27th April 2018.
Caen,0,Toulouse,0, Wednesday 25th April 2018.
Nice,1,Montpellier,0, Sunday 22nd April 2018.
St Etienne,2,Troyes,1, Sunday 22nd April 2018.
Bordeaux,0,Paris Saint-Germain,1, Sunday 22nd April 2018.
Marseille,5,Lille,1, Saturday 21st April 2018.
Amiens,3,Strasbourg,1, Saturday 21st April 2018.
Guingamp,3,Monaco,1, Saturday 21st April 2018.
Metz,1,Caen,1, Saturday 21st April 2018.
Toulouse,2,Angers,0, Saturday 21st April 2018.
Nantes,1,Rennes,1, Friday 20th April 2018.
Dijon,2,Lyon,5, Friday 20th April 2018.
Montpellier,1,Bordeaux,3, Sunday 15th April 2018.
Troyes,2,Marseille,3, Sunday 15th April 2018.
Paris Saint-Germain,7,Monaco,1, Sunday 15th April 2018.
Lyon,3,Amiens,0, Saturday 14th April 2018.
Lille,2,Guingamp,2, Saturday 14th April 2018.
Nantes,1,Dijon,1, Saturday 14th April 2018.
Rennes,1,Metz,2, Saturday 14th April 2018.
Strasbourg,0,St Etienne,1, Saturday 14th April 2018.
Angers,1,Nice,1, Friday 13th April 2018.
Nice,1,Rennes,1, Sunday 8th April 2018.
Metz,0,Lyon,5, Sunday 8th April 2018.
Marseille,0,Montpellier,0, Sunday 8th April 2018.
Monaco,2,Nantes,1, Saturday 7th April 2018.
Amiens,3,Caen,0, Saturday 7th April 2018.
Angers,1,Strasbourg,1, Saturday 7th April 2018.
Bordeaux,2,Lille,1, Saturday 7th April 2018.
Guingamp,4,Troyes,0, Saturday 7th April 2018.
Toulouse,0,Dijon,1, Saturday 7th April 2018.
St Etienne,1,Paris Saint-Germain,1, Friday 6th April 2018.
Rennes,1,Monaco,1, Wednesday 4th April 2018.
Guingamp,2,Bordeaux,1, Sunday 1st April 2018.
Caen,1,Montpellier,3, Sunday 1st April 2018.
Lille,0,Amiens,1, Sunday 1st April 2018.
Nantes,0,St Etienne,3, Sunday 1st April 2018.
Strasbourg,2,Metz,2, Sunday 1st April 2018.
Troyes,0,Nice,2, Sunday 1st April 2018.
Lyon,2,Toulouse,0, Sunday 1st April 2018.
Dijon,1,Marseille,3, Saturday 31st March 2018.
Nice,1,Paris Saint-Germain,2, Sunday 18th March 2018.
Metz,1,Nantes,1, Sunday 18th March 2018.
St Etienne,2,Guingamp,0, Sunday 18th March 2018.
Marseille,2,Lyon,3, Sunday 18th March 2018.
Bordeaux,0,Rennes,2, Saturday 17th March 2018.
Amiens,1,Troyes,1, Saturday 17th March 2018.
Angers,3,Caen,0, Saturday 17th March 2018.
Montpellier,2,Dijon,2, Saturday 17th March 2018.
Toulouse,2,Strasbourg,2, Saturday 17th March 2018.
Monaco,2,Lille,1, Friday 16th March 2018.
Paris Saint-Germain,2,Angers,1, Wednesday 14th March 2018.
Guingamp,2,Nice,5, Sunday 11th March 2018.
Lyon,1,Caen,0, Sunday 11th March 2018.
Toulouse,1,Marseille,2, Sunday 11th March 2018.
Paris Saint-Germain,5,Metz,0, Saturday 10th March 2018.
Bordeaux,0,Angers,0, Saturday 10th March 2018.
Dijon,1,Amiens,1, Saturday 10th March 2018.
Lille,1,Montpellier,1, Saturday 10th March 2018.
Nantes,1,Troyes,0, Saturday 10th March 2018.
Rennes,1,St Etienne,1, Saturday 10th March 2018.
Strasbourg,1,Monaco,3, Friday 9th March 2018.
Caen,2,Strasbourg,0, Sunday 4th March 2018.
Montpellier,1,Lyon,1, Sunday 4th March 2018.
Marseille,1,Nantes,1, Sunday 4th March 2018.
Troyes,0,Paris Saint-Germain,2, Saturday 3rd March 2018.
Amiens,0,Rennes,2,https://www.skysports.com/football/amiens-vs-rennes/373741
Angers,3,Guingamp,0, Saturday 3rd March 2018.
Metz,1,Toulouse,1, Saturday 3rd March 2018.
St Etienne,2,Dijon,2, Saturday 3rd March 2018.
Nice,2,Lille,1, Friday 2nd March 2018.
Monaco,2,Bordeaux,1, Friday 2nd March 2018.
Bordeaux,0,Nice,0, Sunday 25th February 2018.
Lyon,1,St Etienne,1, Sunday 25th February 2018.
Paris Saint-Germain,3,Marseille,0, Sunday 25th February 2018.
Toulouse,3,Monaco,3, Saturday 24th February 2018.
Dijon,2,Caen,0, Saturday 24th February 2018.
Guingamp,2,Metz,2, Saturday 24th February 2018.
Lille,1,Angers,2, Saturday 24th February 2018.
Nantes,0,Amiens,1, Saturday 24th February 2018.
Rennes,2,Troyes,0, Saturday 24th February 2018.
Strasbourg,0,Montpellier,0, Friday 23rd February 2018.
Troyes,0,Dijon,0, Tuesday 20th February 2018.
Nice,1,Nantes,1, Sunday 18th February 2018.
Lille,2,Lyon,2, Sunday 18th February 2018.
Marseille,1,Bordeaux,0, Sunday 18th February 2018.
Paris Saint-Germain,5,Strasbourg,2, Saturday 17th February 2018.
Amiens,0,Toulouse,0, Saturday 17th February 2018.
Angers,0,St Etienne,1, Saturday 17th February 2018.
Caen,2,Rennes,2, Saturday 17th February 2018.
Montpellier,1,Guingamp,1, Saturday 17th February 2018.
Troyes,1,Metz,0, Saturday 17th February 2018.
Monaco,4,Dijon,0, Friday 16th February 2018.
Strasbourg,2,Troyes,1, Sunday 11th February 2018.
Nantes,2,Lille,2, Sunday 11th February 2018.
Lyon,0,Rennes,2, Sunday 11th February 2018.
Toulouse,0,Paris Saint-Germain,1, Saturday 10th February 2018.
Angers,0,Monaco,4, Saturday 10th February 2018.
Bordeaux,3,Amiens,2, Saturday 10th February 2018.
Dijon,3,Nice,2, Saturday 10th February 2018.
Guingamp,0,Caen,0, Saturday 10th February 2018.
Metz,0,Montpellier,1, Saturday 10th February 2018.
St Etienne,2,Marseille,2, Friday 9th February 2018.
Rennes,0,Guingamp,1, Sunday 4th February 2018.
Caen,3,Nantes,2, Sunday 4th February 2018.
Monaco,3,Lyon,2, Sunday 4th February 2018.
Lille,0,Paris Saint-Germain,3, Saturday 3rd February 2018.
Amiens,0,St Etienne,2, Saturday 3rd February 2018.
Montpellier,2,Angers,1, Saturday 3rd February 2018.
Nice,0,Toulouse,1, Saturday 3rd February 2018.
Strasbourg,0,Bordeaux,2, Saturday 3rd February 2018.
Marseille,6,Metz,3, Friday 2nd February 2018.
Lille,2,Strasbourg,1, Sunday 28th January 2018.
Bordeaux,3,Lyon,1, Sunday 28th January 2018.
Marseille,2,Monaco,2, Sunday 28th January 2018.
Paris Saint-Germain,4,Montpellier,0, Saturday 27th January 2018.
Angers,1,Amiens,0, Saturday 27th January 2018.
Guingamp,0,Nantes,3, Saturday 27th January 2018.
Metz,2,Nice,1, Saturday 27th January 2018.
St Etienne,2,Caen,1, Saturday 27th January 2018.
Toulouse,1,Troyes,0,https://www.skysports.com/football/toulouse-vs-troyes/373707
Dijon,2,Rennes,1, Friday 26th January 2018.
Nice,1,St Etienne,0, Sunday 21st January 2018.
Monaco,3,Metz,1, Sunday 21st January 2018.
Lyon,2,Paris Saint-Germain,1, Sunday 21st January 2018.
Nantes,0,Bordeaux,1, Saturday 20th January 2018.
Amiens,3,Guingamp,1, Saturday 20th January 2018.
Montpellier,2,Toulouse,1, Saturday 20th January 2018.
Rennes,1,Angers,0, Saturday 20th January 2018.
Strasbourg,3,Dijon,2, Saturday 20th January 2018.
Troyes,1,Lille,0, Saturday 20th January 2018.
Caen,0,Marseille,2, Friday 19th January 2018.
Amiens,1,Montpellier,1, Wednesday 17th January 2018.
Angers,3,Troyes,1, Wednesday 17th January 2018.
Guingamp,0,Lyon,2, Wednesday 17th January 2018.
Lille,1,Rennes,2, Wednesday 17th January 2018.
Metz,3,St Etienne,0, Wednesday 17th January 2018.
Toulouse,1,Nantes,1, Wednesday 17th January 2018.
Paris Saint-Germain,8,Dijon,0, Wednesday 17th January 2018.
Bordeaux,0,Caen,2, Tuesday 16th January 2018.
Marseille,2,Strasbourg,0, Tuesday 16th January 2018.
Monaco,2,Nice,2, Tuesday 16th January 2018.
St Etienne,2,Toulouse,0, Sunday 14th January 2018.
Lyon,1,Angers,1, Sunday 14th January 2018.
Nantes,0,Paris Saint-Germain,1, Sunday 14th January 2018.
Rennes,0,Marseille,3, Saturday 13th January 2018.
Caen,0,Lille,1, Saturday 13th January 2018.
Dijon,1,Metz,1, Saturday 13th January 2018.
Montpellier,0,Monaco,0, Saturday 13th January 2018.
Nice,1,Amiens,0, Saturday 13th January 2018.
Troyes,0,Bordeaux,1, Saturday 13th January 2018.
Strasbourg,0,Guingamp,2, Friday 12th January 2018.
Amiens,0,Nantes,1, Wednesday 20th December 2017.
Angers,2,Dijon,1, Wednesday 20th December 2017.
Bordeaux,0,Montpellier,2, Wednesday 20th December 2017.
Guingamp,2,St Etienne,1, Wednesday 20th December 2017.
Lille,1,Nice,1, Wednesday 20th December 2017.
Marseille,3,Troyes,1, Wednesday 20th December 2017.
Metz,3,Strasbourg,0, Wednesday 20th December 2017.
Monaco,2,Rennes,1, Wednesday 20th December 2017.
Paris Saint-Germain,3,Caen,1, Wednesday 20th December 2017.
