Brentford,1,Fulham,2, Tuesday 4th August 2020.
Fulham,1,Cardiff City,2, Thursday 30th July 2020.
Fulham,3,Huddersfield Town,2, Saturday 1st February 2020.
Leeds United,0,Wigan Athletic,1, Saturday 1st February 2020.
