Home Team,Home Score,Away Team,Away Score,Match Date
Atletico Madrid,3,Athletic Bilbao,1, Sunday 21st May 2017.
Celta Vigo,2,Real Sociedad,2, Sunday 21st May 2017.
Valencia,1,Villarreal,3, Sunday 21st May 2017.
Barcelona,4,Eibar,2, Sunday 21st May 2017.
Malaga,0,Real Madrid,2, Sunday 21st May 2017.
Sporting Gijon,2,Real Betis,2, Saturday 20th May 2017.
Deportivo La Coruna,3,Las Palmas,0, Saturday 20th May 2017.
Leganes,1,Alaves,1, Saturday 20th May 2017.
Sevilla,5,Osasuna,0, Saturday 20th May 2017.
Granada,1,Espanyol,2, Friday 19th May 2017.
Celta Vigo,1,Real Madrid,4, Wednesday 17th May 2017.
Alaves,3,Celta Vigo,1, Sunday 14th May 2017.
Athletic Bilbao,1,Leganes,1, Sunday 14th May 2017.
Eibar,0,Sporting Gijon,1, Sunday 14th May 2017.
Las Palmas,1,Barcelona,4, Sunday 14th May 2017.
Real Betis,1,Atletico Madrid,1, Sunday 14th May 2017.
Real Madrid,4,Sevilla,1, Sunday 14th May 2017.
Real Sociedad,2,Malaga,2, Sunday 14th May 2017.
Villarreal,0,Deportivo La Coruna,0, Sunday 14th May 2017.
Espanyol,0,Valencia,1, Saturday 13th May 2017.
Osasuna,2,Granada,1, Saturday 13th May 2017.
Leganes,4,Real Betis,0, Monday 8th May 2017.
Alaves,1,Athletic Bilbao,0, Sunday 7th May 2017.
Valencia,4,Osasuna,1, Sunday 7th May 2017.
Deportivo La Coruna,1,Espanyol,2, Sunday 7th May 2017.
Malaga,3,Celta Vigo,0, Sunday 7th May 2017.
Sporting Gijon,1,Las Palmas,0, Saturday 6th May 2017.
Atletico Madrid,1,Eibar,0, Saturday 6th May 2017.
Barcelona,4,Villarreal,1, Saturday 6th May 2017.
Granada,0,Real Madrid,4, Saturday 6th May 2017.
Sevilla,1,Real Sociedad,1, Friday 5th May 2017.
Malaga,4,Sevilla,2, Monday 1st May 2017.
Osasuna,2,Deportivo La Coruna,2, Sunday 30th April 2017.
Real Betis,1,Alaves,4, Sunday 30th April 2017.
Eibar,2,Leganes,0, Sunday 30th April 2017.
Celta Vigo,0,Athletic Bilbao,3, Sunday 30th April 2017.
Real Sociedad,2,Granada,1, Saturday 29th April 2017.
Real Madrid,2,Valencia,1, Saturday 29th April 2017.
Las Palmas,0,Atletico Madrid,5, Saturday 29th April 2017.
Espanyol,0,Barcelona,3, Saturday 29th April 2017.
Villarreal,3,Sporting Gijon,1, Friday 28th April 2017.
Alaves,0,Eibar,0, Thursday 27th April 2017.
Sevilla,2,Celta Vigo,1, Thursday 27th April 2017.
Athletic Bilbao,2,Real Betis,1, Thursday 27th April 2017.
Barcelona,7,Osasuna,1, Wednesday 26th April 2017.
Leganes,3,Las Palmas,0, Wednesday 26th April 2017.
Valencia,2,Real Sociedad,3, Wednesday 26th April 2017.
Deportivo La Coruna,2,Real Madrid,6, Wednesday 26th April 2017.
Sporting Gijon,1,Espanyol,1, Tuesday 25th April 2017.
Granada,0,Malaga,2, Tuesday 25th April 2017.
Atletico Madrid,0,Villarreal,1, Tuesday 25th April 2017.
Eibar,0,Athletic Bilbao,1, Monday 24th April 2017.
Real Sociedad,1,Deportivo La Coruna,0, Sunday 23rd April 2017.
Celta Vigo,0,Real Betis,1, Sunday 23rd April 2017.
Las Palmas,1,Alaves,1, Sunday 23rd April 2017.
Real Madrid,2,Barcelona,3, Sunday 23rd April 2017.
Malaga,2,Valencia,0, Saturday 22nd April 2017.
Villarreal,2,Leganes,1, Saturday 22nd April 2017.
Osasuna,2,Sporting Gijon,2, Saturday 22nd April 2017.
Espanyol,0,Atletico Madrid,1, Saturday 22nd April 2017.
Sevilla,2,Granada,0, Friday 21st April 2017.
Alaves,2,Villarreal,1, Monday 17th April 2017.
Leganes,0,Espanyol,1, Sunday 16th April 2017.
Valencia,0,Sevilla,0, Sunday 16th April 2017.
Real Betis,2,Eibar,0, Sunday 16th April 2017.
Granada,0,Celta Vigo,3, Sunday 16th April 2017.
Deportivo La Coruna,2,Malaga,0, Saturday 15th April 2017.
Sporting Gijon,2,Real Madrid,3, Saturday 15th April 2017.
Barcelona,3,Real Sociedad,2, Saturday 15th April 2017.
Athletic Bilbao,5,Las Palmas,1,https://www.skysports.com/football/ath-bilbao-vs-las-palmas/363002
Real Sociedad,3,Sporting Gijon,1, Monday 10th April 2017.
Granada,1,Valencia,3, Sunday 9th April 2017.
Celta Vigo,0,Eibar,2, Sunday 9th April 2017.
Osasuna,2,Leganes,1, Sunday 9th April 2017.
Las Palmas,4,Real Betis,1, Sunday 9th April 2017.
