Home Team,Home Score,Away Team,Away Score,Match Date
Bayern Munich,2,Mainz,0, Saturday 23rd May 2015.
Borussia Dortmund,3,Werder Bremen,2, Saturday 23rd May 2015.
Cologne,2,Wolfsburg,2, Saturday 23rd May 2015.
Eintracht Frankfurt,2,Bayer Leverkusen,1, Saturday 23rd May 2015.
Hamburg,2,Schalke,0, Saturday 23rd May 2015.
Hannover 96,2,SC Freiburg,1, Saturday 23rd May 2015.
Hoffenheim,2,Hertha Berlin,1, Saturday 23rd May 2015.
M'gladbach,1,FC Augsburg,3, Saturday 23rd May 2015.
SC Paderborn 07,1,Stuttgart,2, Saturday 23rd May 2015.
Bayer Leverkusen,2,Hoffenheim,0, Saturday 16th May 2015.
FC Augsburg,1,Hannover 96,2, Saturday 16th May 2015.
Hertha Berlin,0,Eintracht Frankfurt,0, Saturday 16th May 2015.
Mainz,2,Cologne,0, Saturday 16th May 2015.
SC Freiburg,2,Bayern Munich,1, Saturday 16th May 2015.
Schalke,1,SC Paderborn 07,0, Saturday 16th May 2015.
Stuttgart,2,Hamburg,1, Saturday 16th May 2015.
Werder Bremen,0,M'gladbach,2, Saturday 16th May 2015.
Wolfsburg,2,Borussia Dortmund,1, Saturday 16th May 2015.
SC Paderborn 07,1,Wolfsburg,3, Sunday 10th May 2015.
Cologne,2,Schalke,0, Sunday 10th May 2015.
Bayern Munich,0,FC Augsburg,1, Saturday 9th May 2015.
Borussia Dortmund,2,Hertha Berlin,0, Saturday 9th May 2015.
Eintracht Frankfurt,3,Hoffenheim,1, Saturday 9th May 2015.
Hannover 96,1,Werder Bremen,1, Saturday 9th May 2015.
M'gladbach,3,Bayer Leverkusen,0, Saturday 9th May 2015.
Stuttgart,2,Mainz,0, Saturday 9th May 2015.
Hamburg,1,SC Freiburg,1, Friday 8th May 2015.
Mainz,1,Hamburg,2, Sunday 3rd May 2015.
Hertha Berlin,1,M'gladbach,2, Sunday 3rd May 2015.
FC Augsburg,0,Cologne,0, Saturday 2nd May 2015.
Hoffenheim,1,Borussia Dortmund,1, Saturday 2nd May 2015.
SC Freiburg,1,SC Paderborn 07,2, Saturday 2nd May 2015.
Schalke,3,Stuttgart,2, Saturday 2nd May 2015.
Werder Bremen,1,Eintracht Frankfurt,0, Saturday 2nd May 2015.
Wolfsburg,2,Hannover 96,2, Saturday 2nd May 2015.
Bayer Leverkusen,2,Bayern Munich,0, Saturday 2nd May 2015.
SC Paderborn 07,2,Werder Bremen,2, Sunday 26th April 2015.
M'gladbach,1,Wolfsburg,0, Sunday 26th April 2015.
Borussia Dortmund,2,Eintracht Frankfurt,0, Saturday 25th April 2015.
Cologne,1,Bayer Leverkusen,1, Saturday 25th April 2015.
Hamburg,3,FC Augsburg,2, Saturday 25th April 2015.
Hannover 96,1,Hoffenheim,2, Saturday 25th April 2015.
Stuttgart,2,SC Freiburg,2, Saturday 25th April 2015.
Bayern Munich,1,Hertha Berlin,0, Saturday 25th April 2015.
Mainz,2,Schalke,0, Friday 24th April 2015.
Werder Bremen,1,Hamburg,0, Sunday 19th April 2015.
Wolfsburg,1,Schalke,1, Sunday 19th April 2015.
Bayer Leverkusen,4,Hannover 96,0, Saturday 18th April 2015.
Borussia Dortmund,3,SC Paderborn 07,0, Saturday 18th April 2015.
Hertha Berlin,0,Cologne,0, Saturday 18th April 2015.
