Home Team,Home Score,Away Team,Away Score,Match Date
Torino,3,Lazio,1, Sunday 26th May 2019.
Sampdoria,2,Juventus,0, Sunday 26th May 2019.
Atalanta,3,Sassuolo,1, Sunday 26th May 2019.
Cagliari,1,Udinese,2, Sunday 26th May 2019.
Fiorentina,0,Genoa,0, Sunday 26th May 2019.
Inter Milan,2,Empoli,1, Sunday 26th May 2019.
Roma,2,Parma,1, Sunday 26th May 2019.
Spal,2,AC Milan,3, Sunday 26th May 2019.
Frosinone,0,Chievo,0, Saturday 25th May 2019.
Bologna,3,Napoli,2, Saturday 25th May 2019.
Lazio,3,Bologna,3, Monday 20th May 2019.
Chievo,0,Sampdoria,0, Sunday 19th May 2019.
Empoli,4,Torino,1, Sunday 19th May 2019.
Parma,1,Fiorentina,0, Sunday 19th May 2019.
AC Milan,2,Frosinone,0, Sunday 19th May 2019.
Juventus,1,Atalanta,1, Sunday 19th May 2019.
Napoli,4,Inter Milan,1, Sunday 19th May 2019.
Udinese,3,Spal,2, Saturday 18th May 2019.
Genoa,1,Cagliari,1, Saturday 18th May 2019.
Sassuolo,0,Roma,0, Saturday 18th May 2019.
Bologna,4,Parma,1,https://www.skysports.com/football/bologna-vs-parma/400182
Inter Milan,2,Chievo,0, Monday 13th May 2019.
Torino,3,Sassuolo,2,https://www.skysports.com/football/torino-vs-sassuolo/400190
Frosinone,1,Udinese,3, Sunday 12th May 2019.
Sampdoria,1,Empoli,2, Sunday 12th May 2019.
Spal,1,Napoli,2, Sunday 12th May 2019.
Roma,2,Juventus,0, Sunday 12th May 2019.
Atalanta,2,Genoa,1,https://www.skysports.com/football/atalanta-vs-genoa/400181
Cagliari,1,Lazio,2,https://www.skysports.com/football/cagliari-vs-lazio/400183
Fiorentina,0,AC Milan,1, Saturday 11th May 2019.
AC Milan,2,Bologna,1,https://www.skysports.com/football/ac-milan-vs-bologna/400176
Empoli,1,Fiorentina,0, Sunday 5th May 2019.
Lazio,1,Atalanta,3, Sunday 5th May 2019.
Parma,3,Sampdoria,3, Sunday 5th May 2019.
Sassuolo,2,Frosinone,2, Sunday 5th May 2019.
Genoa,1,Roma,1, Sunday 5th May 2019.
Napoli,2,Cagliari,1, Sunday 5th May 2019.
Chievo,0,Spal,4, Saturday 4th May 2019.
Udinese,0,Inter Milan,0, Saturday 4th May 2019.
Juventus,1,Torino,1, Friday 3rd May 2019.
Atalanta,2,Udinese,0, Monday 29th April 2019.
Fiorentina,0,Sassuolo,1, Monday 29th April 2019.
Frosinone,0,Napoli,2, Sunday 28th April 2019.
Chievo,1,Parma,1, Sunday 28th April 2019.
Spal,1,Genoa,1, Sunday 28th April 2019.
Sampdoria,1,Lazio,2, Sunday 28th April 2019.
Torino,2,AC Milan,0, Sunday 28th April 2019.
Bologna,3,Empoli,1, Saturday 27th April 2019.
Roma,3,Cagliari,0, Saturday 27th April 2019.
Inter Milan,1,Juventus,1, Saturday 27th April 2019.
Napoli,1,Atalanta,2, Monday 22nd April 2019.
Parma,1,AC Milan,1, Saturday 20th April 2019.
Bologna,3,Sampdoria,0, Saturday 20th April 2019.
Cagliari,1,Frosinone,0, Saturday 20th April 2019.
Empoli,2,Spal,4, Saturday 20th April 2019.
Genoa,0,Torino,1, Saturday 20th April 2019.
Lazio,1,Chievo,2, Saturday 20th April 2019.
Udinese,1,Sassuolo,1, Saturday 20th April 2019.
Juventus,2,Fiorentina,1, Saturday 20th April 2019.
Inter Milan,1,Roma,1, Saturday 20th April 2019.
Lazio,2,Udinese,0, Wednesday 17th April 2019.
Atalanta,0,Empoli,0, Monday 15th April 2019.
Torino,1,Cagliari,1, Sunday 14th April 2019.
Fiorentina,0,Bologna,0, Sunday 14th April 2019.
Sampdoria,2,Genoa,0, Sunday 14th April 2019.
Sassuolo,0,Parma,0, Sunday 14th April 2019.
Chievo,1,Napoli,3, Sunday 14th April 2019.
Frosinone,1,Inter Milan,3, Sunday 14th April 2019.
Spal,2,Juventus,1, Saturday 13th April 2019.
Roma,1,Udinese,0, Saturday 13th April 2019.
AC Milan,1,Lazio,0, Saturday 13th April 2019.
Bologna,3,Chievo,0, Monday 8th April 2019.
Fiorentina,0,Frosinone,1, Sunday 7th April 2019.
Cagliari,2,Spal,1, Sunday 7th April 2019.
Udinese,3,Empoli,2, Sunday 7th April 2019.
Inter Milan,0,Atalanta,0, Sunday 7th April 2019.
Lazio,2,Sassuolo,2, Sunday 7th April 2019.
Napoli,1,Genoa,1, Sunday 7th April 2019.
Parma,0,Torino,0, Saturday 6th April 2019.
Juventus,2,AC Milan,1, Saturday 6th April 2019.
Sampdoria,0,Roma,1, Saturday 6th April 2019.
Sassuolo,4,Chievo,0, Thursday 4th April 2019.
Atalanta,4,Bologna,1, Thursday 4th April 2019.
Empoli,2,Napoli,1, Wednesday 3rd April 2019.
Frosinone,3,Parma,2, Wednesday 3rd April 2019.
Genoa,0,Inter Milan,4, Wednesday 3rd April 2019.
Roma,2,Fiorentina,2, Wednesday 3rd April 2019.
Spal,1,Lazio,0, Wednesday 3rd April 2019.
Torino,2,Sampdoria,1, Wednesday 3rd April 2019.
AC Milan,1,Udinese,1, Tuesday 2nd April 2019.
Cagliari,0,Juventus,2, Tuesday 2nd April 2019.
Parma,1,Atalanta,3, Sunday 31st March 2019.
Fiorentina,1,Torino,1, Sunday 31st March 2019.
Frosinone,0,Spal,1, Sunday 31st March 2019.
Roma,1,Napoli,4, Sunday 31st March 2019.
Bologna,2,Sassuolo,1, Sunday 31st March 2019.
Inter Milan,0,Lazio,1, Sunday 31st March 2019.
Udinese,2,Genoa,0, Saturday 30th March 2019.
