Home Team,Home Score,Away Team,Away Score,Match Date
Coventry City,3,Exeter City,1, Monday 28th May 2018.
Notts County,1,Coventry City,4, Friday 18th May 2018.
Exeter City,3,Lincoln City,1, Thursday 17th May 2018.
Lincoln City,0,Exeter City,0, Saturday 12th May 2018.
Coventry City,1,Notts County,1, Saturday 12th May 2018.
Barnet,3,Chesterfield,0, Saturday 5th May 2018.
Cambridge United,5,Port Vale,0, Saturday 5th May 2018.
Carlisle United,1,Newport County AFC,1, Saturday 5th May 2018.
Coventry City,0,Morecambe,0, Saturday 5th May 2018.
Crewe Alexandra,2,Cheltenham Town,1, Saturday 5th May 2018.
Exeter City,1,Colchester United,0, Saturday 5th May 2018.
Forest Green Rovers,0,Grimsby Town,3, Saturday 5th May 2018.
Lincoln City,1,Yeovil Town,1, Saturday 5th May 2018.
Mansfield Town,1,Crawley Town,1, Saturday 5th May 2018.
Notts County,0,Luton Town,0, Saturday 5th May 2018.
Swindon Town,3,Accrington Stanley,0, Saturday 5th May 2018.
Wycombe Wanderers,1,Stevenage,0, Saturday 5th May 2018.
Chesterfield,1,Newport County AFC,0, Tuesday 1st May 2018.
Accrington Stanley,1,Lincoln City,0, Saturday 28th April 2018.
Cheltenham Town,1,Coventry City,6, Saturday 28th April 2018.
Chesterfield,1,Wycombe Wanderers,2, Saturday 28th April 2018.
Colchester United,0,Swindon Town,0, Saturday 28th April 2018.
Crawley Town,1,Crewe Alexandra,2, Saturday 28th April 2018.
Grimsby Town,2,Notts County,1, Saturday 28th April 2018.
Luton Town,3,Forest Green Rovers,1, Saturday 28th April 2018.
Morecambe,0,Barnet,1, Saturday 28th April 2018.
Newport County AFC,2,Cambridge United,1, Saturday 28th April 2018.
Port Vale,1,Carlisle United,2, Saturday 28th April 2018.
Stevenage,3,Exeter City,1, Saturday 28th April 2018.
Yeovil Town,2,Mansfield Town,3, Saturday 28th April 2018.
Coventry City,2,Lincoln City,4, Tuesday 24th April 2018.
Morecambe,0,Cambridge United,0, Tuesday 24th April 2018.
Newport County AFC,2,Accrington Stanley,1, Tuesday 24th April 2018.
Yeovil Town,0,Forest Green Rovers,0, Tuesday 24th April 2018.
Barnet,2,Newport County AFC,0, Saturday 21st April 2018.
Cambridge United,4,Cheltenham Town,3, Saturday 21st April 2018.
Carlisle United,1,Luton Town,1, Saturday 21st April 2018.
Crewe Alexandra,1,Morecambe,0, Saturday 21st April 2018.
Exeter City,2,Crawley Town,2, Saturday 21st April 2018.
Forest Green Rovers,4,Chesterfield,1, Saturday 21st April 2018.
Lincoln City,2,Colchester United,1, Saturday 21st April 2018.
Mansfield Town,1,Port Vale,1, Saturday 21st April 2018.
Notts County,4,Yeovil Town,1, Saturday 21st April 2018.
Swindon Town,0,Grimsby Town,1, Saturday 21st April 2018.
Wycombe Wanderers,0,Accrington Stanley,4, Saturday 21st April 2018.
Coventry City,3,Stevenage,1, Friday 20th April 2018.
Accrington Stanley,2,Yeovil Town,0, Tuesday 17th April 2018.
Exeter City,2,Chesterfield,1, Tuesday 17th April 2018.
Lincoln City,0,Wycombe Wanderers,0, Tuesday 17th April 2018.
Chesterfield,0,Mansfield Town,1, Saturday 14th April 2018.
Accrington Stanley,1,Exeter City,1, Saturday 14th April 2018.
Cheltenham Town,0,Forest Green Rovers,1, Saturday 14th April 2018.
Colchester United,1,Notts County,3, Saturday 14th April 2018.
Crawley Town,1,Coventry City,2, Saturday 14th April 2018.
Grimsby Town,2,Barnet,2, Saturday 14th April 2018.
Luton Town,3,Crewe Alexandra,1, Saturday 14th April 2018.
Morecambe,1,Carlisle United,1, Saturday 14th April 2018.
