Home Team,Home Score,Away Team,Away Score,Match Date
Leyton Orient,2,Rotherham United,2, Sunday 25th May 2014.
Rotherham United,3,Preston North End,1, Thursday 15th May 2014.
Leyton Orient,2,Peterborough United,1, Tuesday 13th May 2014.
Peterborough United,1,Leyton Orient,1, Saturday 10th May 2014.
Preston North End,1,Rotherham United,1, Saturday 10th May 2014.
Brentford,2,Stevenage,0, Saturday 3rd May 2014.
Crawley Town,1,Bristol City,1, Saturday 3rd May 2014.
Crewe Alexandra,2,Preston North End,1, Saturday 3rd May 2014.
Gillingham,1,Shrewsbury Town,1, Saturday 3rd May 2014.
Milton Keynes Dons,1,Leyton Orient,3, Saturday 3rd May 2014.
Oldham Athletic,1,Notts County,1, Saturday 3rd May 2014.
Peterborough United,0,Port Vale,0, Saturday 3rd May 2014.
Sheffield United,2,Coventry City,1, Saturday 3rd May 2014.
Swindon Town,1,Rotherham United,2, Saturday 3rd May 2014.
Tranmere Rovers,1,Bradford City,2, Saturday 3rd May 2014.
Walsall,0,Colchester United,1, Saturday 3rd May 2014.
Wolverhampton Wanderers,3,Carlisle United,0, Saturday 3rd May 2014.
Crawley Town,0,Carlisle United,0, Tuesday 29th April 2014.
Oldham Athletic,1,Sheffield United,1, Tuesday 29th April 2014.
Bradford City,2,Crawley Town,1, Saturday 26th April 2014.
Bristol City,0,Crewe Alexandra,0, Saturday 26th April 2014.
Carlisle United,0,Oldham Athletic,1, Saturday 26th April 2014.
Colchester United,4,Brentford,1, Saturday 26th April 2014.
Coventry City,1,Wolverhampton Wanderers,1, Saturday 26th April 2014.
Leyton Orient,2,Tranmere Rovers,0, Saturday 26th April 2014.
Notts County,2,Swindon Town,0, Saturday 26th April 2014.
Preston North End,3,Gillingham,1, Saturday 26th April 2014.
Rotherham United,2,Milton Keynes Dons,2, Saturday 26th April 2014.
Shrewsbury Town,2,Peterborough United,4, Saturday 26th April 2014.
Stevenage,3,Walsall,2, Saturday 26th April 2014.
Port Vale,1,Sheffield United,2, Friday 25th April 2014.
Leyton Orient,1,Wolverhampton Wanderers,3, Monday 21st April 2014.
Crewe Alexandra,0,Colchester United,0, Monday 21st April 2014.
Milton Keynes Dons,2,Brentford,2, Monday 21st April 2014.
Notts County,1,Crawley Town,0, Monday 21st April 2014.
Oldham Athletic,0,Coventry City,0, Monday 21st April 2014.
Peterborough United,4,Carlisle United,1, Monday 21st April 2014.
Preston North End,5,Shrewsbury Town,2, Monday 21st April 2014.
Rotherham United,1,Port Vale,0, Monday 21st April 2014.
Stevenage,1,Bristol City,3, Monday 21st April 2014.
