Home Team,Home Score,Away Team,Away Score,Match Date
Atalanta,2,Chievo,2, Sunday 19th May 2013.
Bologna,0,Genoa,0, Sunday 19th May 2013.
Cagliari,1,Lazio,0, Sunday 19th May 2013.
Inter Milan,2,Udinese,5, Sunday 19th May 2013.
Palermo,1,Parma,3, Sunday 19th May 2013.
Pescara,1,Fiorentina,5, Sunday 19th May 2013.
Roma,2,Napoli,1, Sunday 19th May 2013.
Siena,1,AC Milan,2, Sunday 19th May 2013.
Torino,2,Catania,2, Sunday 19th May 2013.
Sampdoria,3,Juventus,2, Saturday 18th May 2013.
Chievo,1,Torino,1, Sunday 12th May 2013.
Fiorentina,1,Palermo,0, Sunday 12th May 2013.
Genoa,0,Inter Milan,0, Sunday 12th May 2013.
Lazio,2,Sampdoria,0, Sunday 12th May 2013.
Napoli,2,Siena,1, Sunday 12th May 2013.
Udinese,2,Atalanta,1, Sunday 12th May 2013.
Parma,0,Bologna,2, Sunday 12th May 2013.
AC Milan,0,Roma,0, Sunday 12th May 2013.
Juventus,1,Cagliari,1, Saturday 11th May 2013.
Catania,1,Pescara,0, Saturday 11th May 2013.
Pescara,0,AC Milan,4, Wednesday 8th May 2013.
Atalanta,0,Juventus,1, Wednesday 8th May 2013.
Bologna,0,Napoli,3, Wednesday 8th May 2013.
Cagliari,0,Parma,1, Wednesday 8th May 2013.
Inter Milan,1,Lazio,3, Wednesday 8th May 2013.
Palermo,2,Udinese,3, Wednesday 8th May 2013.
Sampdoria,1,Catania,1, Wednesday 8th May 2013.
Siena,0,Fiorentina,1, Wednesday 8th May 2013.
Torino,0,Genoa,0,https://www.skysports.com/football/torino-vs-genoa/271966
Roma,0,Chievo,1,https://www.skysports.com/football/roma-vs-chievo/285683
Udinese,3,Sampdoria,1, Sunday 5th May 2013.
AC Milan,1,Torino,0,https://www.skysports.com/football/ac-milan-vs-torino/271962
Catania,3,Siena,0,https://www.skysports.com/football/catania-vs-siena/271961
Genoa,4,Pescara,1, Sunday 5th May 2013.
Juventus,1,Palermo,0, Sunday 5th May 2013.
Lazio,6,Bologna,0, Sunday 5th May 2013.
Parma,2,Atalanta,0, Sunday 5th May 2013.
Napoli,3,Inter Milan,1, Sunday 5th May 2013.
Chievo,0,Cagliari,0, Saturday 4th May 2013.
Fiorentina,0,Roma,1, Saturday 4th May 2013.
Chievo,0,Genoa,1, Sunday 28th April 2013.
Palermo,1,Inter Milan,0, Sunday 28th April 2013.
Parma,0,Lazio,0, Sunday 28th April 2013.
Roma,4,Siena,0, Sunday 28th April 2013.
Sampdoria,0,Fiorentina,3, Sunday 28th April 2013.
Torino,0,Juventus,2, Sunday 28th April 2013.
AC Milan,4,Catania,2, Sunday 28th April 2013.
Atalanta,1,Bologna,1, Saturday 27th April 2013.
Cagliari,0,Udinese,1, Saturday 27th April 2013.
Pescara,0,Napoli,3, Saturday 27th April 2013.
Inter Milan,1,Parma,0, Sunday 21st April 2013.
Bologna,1,Sampdoria,1, Sunday 21st April 2013.
Catania,1,Palermo,1, Sunday 21st April 2013.
Fiorentina,4,Torino,3, Sunday 21st April 2013.
Napoli,3,Cagliari,2, Sunday 21st April 2013.
Roma,1,Pescara,1, Sunday 21st April 2013.
Siena,0,Chievo,1, Sunday 21st April 2013.
Juventus,1,AC Milan,0, Sunday 21st April 2013.
