Home Team,Home Score,Away Team,Away Score,Match Date
Greuther Furth,1,Hamburg,1, Sunday 18th May 2014.
Hamburg,0,Greuther Furth,0, Thursday 15th May 2014.
Bayer Leverkusen,2,Werder Bremen,1, Saturday 10th May 2014.
Bayern Munich,1,Stuttgart,0, Saturday 10th May 2014.
FC Augsburg,2,Eintracht Frankfurt,1, Saturday 10th May 2014.
Hannover 96,3,SC Freiburg,2, Saturday 10th May 2014.
Hertha Berlin,0,Borussia Dortmund,4, Saturday 10th May 2014.
Hoffenheim,3,Eintracht Braunschweig,1, Saturday 10th May 2014.
Mainz,3,Hamburg,2, Saturday 10th May 2014.
Schalke,4,FC Nurnberg,1, Saturday 10th May 2014.
Wolfsburg,3,M'gladbach,1, Saturday 10th May 2014.
Borussia Dortmund,3,Hoffenheim,2, Saturday 3rd May 2014.
Eintracht Braunschweig,0,FC Augsburg,1, Saturday 3rd May 2014.
Eintracht Frankfurt,0,Bayer Leverkusen,2, Saturday 3rd May 2014.
FC Nurnberg,0,Hannover 96,2, Saturday 3rd May 2014.
Hamburg,1,Bayern Munich,4, Saturday 3rd May 2014.
M'gladbach,3,Mainz,1, Saturday 3rd May 2014.
SC Freiburg,0,Schalke,2, Saturday 3rd May 2014.
Stuttgart,1,Wolfsburg,2, Saturday 3rd May 2014.
Werder Bremen,2,Hertha Berlin,0, Saturday 3rd May 2014.
FC Augsburg,3,Hamburg,1, Sunday 27th April 2014.
Schalke,0,M'gladbach,1, Sunday 27th April 2014.
Bayern Munich,5,Werder Bremen,2, Saturday 26th April 2014.
Hertha Berlin,2,Eintracht Braunschweig,0, Saturday 26th April 2014.
Hoffenheim,0,Eintracht Frankfurt,0, Saturday 26th April 2014.
Mainz,2,FC Nurnberg,0, Saturday 26th April 2014.
Wolfsburg,2,SC Freiburg,2, Saturday 26th April 2014.
Bayer Leverkusen,2,Borussia Dortmund,2, Saturday 26th April 2014.
Hannover 96,0,Stuttgart,0, Friday 25th April 2014.
FC Nurnberg,1,Bayer Leverkusen,4, Sunday 20th April 2014.
Stuttgart,3,Schalke,1, Sunday 20th April 2014.
Borussia Dortmund,4,Mainz,2, Saturday 19th April 2014.
Eintracht Braunschweig,0,Bayern Munich,2, Saturday 19th April 2014.
FC Augsburg,0,Hertha Berlin,0, Saturday 19th April 2014.
SC Freiburg,4,M'gladbach,2, Saturday 19th April 2014.
Werder Bremen,3,Hoffenheim,1, Saturday 19th April 2014.
Hamburg,1,Wolfsburg,3, Saturday 19th April 2014.
Eintracht Frankfurt,2,Hannover 96,3, Thursday 17th April 2014.
Bayer Leverkusen,2,Hertha Berlin,1, Sunday 13th April 2014.
Hoffenheim,2,FC Augsburg,0, Sunday 13th April 2014.
Hannover 96,2,Hamburg,1, Saturday 12th April 2014.
M'gladbach,1,Stuttgart,1, Saturday 12th April 2014.
Mainz,3,Werder Bremen,0, Saturday 12th April 2014.
SC Freiburg,2,Eintracht Braunschweig,0, Saturday 12th April 2014.
Wolfsburg,4,FC Nurnberg,1, Saturday 12th April 2014.
Bayern Munich,0,Borussia Dortmund,3, Saturday 12th April 2014.
Schalke,2,Eintracht Frankfurt,0, Friday 11th April 2014.
Eintracht Braunschweig,3,Hannover 96,0, Sunday 6th April 2014.
Hertha Berlin,1,Hoffenheim,1, Sunday 6th April 2014.
Eintracht Frankfurt,2,Mainz,0,https://www.skysports.com/football/frankfurt-vs-mainz/291284
FC Augsburg,1,Bayern Munich,0, Saturday 5th April 2014.
FC Nurnberg,0,M'gladbach,2, Saturday 5th April 2014.
Stuttgart,2,SC Freiburg,0, Saturday 5th April 2014.
Werder Bremen,1,Schalke,1, Saturday 5th April 2014.
Borussia Dortmund,2,Wolfsburg,1, Saturday 5th April 2014.
Hamburg,2,Bayer Leverkusen,1, Friday 4th April 2014.
M'gladbach,3,Hamburg,1, Sunday 30th March 2014.
Hannover 96,1,Werder Bremen,2, Sunday 30th March 2014.
Bayer Leverkusen,1,Eintracht Braunschweig,1, Saturday 29th March 2014.
Bayern Munich,3,Hoffenheim,3, Saturday 29th March 2014.
Mainz,3,FC Augsburg,0, Saturday 29th March 2014.
Stuttgart,2,Borussia Dortmund,3, Saturday 29th March 2014.
Wolfsburg,2,Eintracht Frankfurt,1, Saturday 29th March 2014.
SC Freiburg,3,FC Nurnberg,2, Saturday 29th March 2014.
Schalke,2,Hertha Berlin,0, Friday 28th March 2014.
Eintracht Frankfurt,1,M'gladbach,0, Wednesday 26th March 2014.
FC Augsburg,1,Bayer Leverkusen,3, Wednesday 26th March 2014.
FC Nurnberg,2,Stuttgart,0, Wednesday 26th March 2014.
Hamburg,1,SC Freiburg,1, Wednesday 26th March 2014.
Hoffenheim,3,Hannover 96,1, Wednesday 26th March 2014.
Borussia Dortmund,0,Schalke,0, Tuesday 25th March 2014.
Eintracht Braunschweig,3,Mainz,1, Tuesday 25th March 2014.
Hertha Berlin,1,Bayern Munich,3, Tuesday 25th March 2014.
Werder Bremen,1,Wolfsburg,3, Tuesday 25th March 2014.
FC Nurnberg,2,Eintracht Frankfurt,5, Sunday 23rd March 2014.
Bayer Leverkusen,2,Hoffenheim,3, Sunday 23rd March 2014.
Hannover 96,0,Borussia Dortmund,3, Saturday 22nd March 2014.
Mainz,0,Bayern Munich,2, Saturday 22nd March 2014.
Schalke,3,Eintracht Braunschweig,1, Saturday 22nd March 2014.
Stuttgart,1,Hamburg,0, Saturday 22nd March 2014.
Wolfsburg,1,FC Augsburg,1, Saturday 22nd March 2014.
M'gladbach,3,Hertha Berlin,0, Saturday 22nd March 2014.
SC Freiburg,3,Werder Bremen,1, Friday 21st March 2014.
Hamburg,2,FC Nurnberg,1, Sunday 16th March 2014.
Eintracht Frankfurt,1,SC Freiburg,4, Sunday 16th March 2014.
Borussia Dortmund,1,M'gladbach,2, Saturday 15th March 2014.
Eintracht Braunschweig,1,Wolfsburg,1, Saturday 15th March 2014.
Hertha Berlin,0,Hannover 96,3, Saturday 15th March 2014.
Hoffenheim,2,Mainz,4, Saturday 15th March 2014.
Werder Bremen,1,Stuttgart,1, Saturday 15th March 2014.
Bayern Munich,2,Bayer Leverkusen,1, Saturday 15th March 2014.
FC Augsburg,1,Schalke,2, Friday 14th March 2014.
SC Freiburg,0,Borussia Dortmund,1, Sunday 9th March 2014.
Mainz,1,Hertha Berlin,1, Sunday 9th March 2014.
Hamburg,1,Eintracht Frankfurt,1, Saturday 8th March 2014.
Hannover 96,1,Bayer Leverkusen,1, Saturday 8th March 2014.
M'gladbach,1,FC Augsburg,2, Saturday 8th March 2014.
Schalke,4,Hoffenheim,0, Saturday 8th March 2014.
Stuttgart,2,Eintracht Braunschweig,2, Saturday 8th March 2014.
Wolfsburg,1,Bayern Munich,6, Saturday 8th March 2014.
FC Nurnberg,0,Werder Bremen,2, Saturday 8th March 2014.
Hoffenheim,6,Wolfsburg,2, Sunday 2nd March 2014.
Eintracht Frankfurt,2,Stuttgart,1, Sunday 2nd March 2014.
Bayer Leverkusen,0,Mainz,1, Saturday 1st March 2014.
Borussia Dortmund,3,FC Nurnberg,0, Saturday 1st March 2014.
Eintracht Braunschweig,1,M'gladbach,1, Saturday 1st March 2014.
FC Augsburg,1,Hannover 96,1, Saturday 1st March 2014.
Werder Bremen,1,Hamburg,0, Saturday 1st March 2014.
Bayern Munich,5,Schalke,1, Saturday 1st March 2014.
Hertha Berlin,0,SC Freiburg,0, Friday 28th February 2014.
Eintracht Frankfurt,0,Werder Bremen,0, Sunday 23rd February 2014.
Hannover 96,0,Bayern Munich,4, Sunday 23rd February 2014.
FC Nurnberg,2,Eintracht Braunschweig,1, Saturday 22nd February 2014.
Hamburg,3,Borussia Dortmund,0, Saturday 22nd February 2014.
M'gladbach,2,Hoffenheim,2, Saturday 22nd February 2014.
SC Freiburg,2,FC Augsburg,4, Saturday 22nd February 2014.
Stuttgart,1,Hertha Berlin,2, Saturday 22nd February 2014.
Wolfsburg,3,Bayer Leverkusen,1, Saturday 22nd February 2014.
Schalke,0,Mainz,0, Friday 21st February 2014.
FC Augsburg,0,FC Nurnberg,1, Sunday 16th February 2014.
Hertha Berlin,1,Wolfsburg,2, Sunday 16th February 2014.
Bayern Munich,4,SC Freiburg,0, Saturday 15th February 2014.
Borussia Dortmund,4,Eintracht Frankfurt,0, Saturday 15th February 2014.
Eintracht Braunschweig,4,Hamburg,2, Saturday 15th February 2014.
Hoffenheim,4,Stuttgart,1, Saturday 15th February 2014.
Werder Bremen,1,M'gladbach,1, Saturday 15th February 2014.
