Home Team,Home Score,Away Team,Away Score,Match Date
Arsenal,3,Everton,1, Sunday 21st May 2017.
Burnley,1,West Ham United,2, Sunday 21st May 2017.
Chelsea,5,Sunderland,1, Sunday 21st May 2017.
Hull City,1,Tottenham Hotspur,7, Sunday 21st May 2017.
Leicester City,1,Bournemouth,1, Sunday 21st May 2017.
Liverpool,3,Middlesbrough,0, Sunday 21st May 2017.
Manchester United,2,Crystal Palace,0, Sunday 21st May 2017.
Southampton,0,Stoke City,1, Sunday 21st May 2017.
Swansea City,2,West Bromwich Albion,1, Sunday 21st May 2017.
Watford,0,Manchester City,5, Sunday 21st May 2017.
Leicester City,1,Tottenham Hotspur,6, Thursday 18th May 2017.
Southampton,0,Manchester United,0, Wednesday 17th May 2017.
Arsenal,2,Sunderland,0, Tuesday 16th May 2017.
Manchester City,3,West Bromwich Albion,1, Tuesday 16th May 2017.
Chelsea,4,Watford,3, Monday 15th May 2017.
Crystal Palace,4,Hull City,0, Sunday 14th May 2017.
West Ham United,0,Liverpool,4, Sunday 14th May 2017.
Tottenham Hotspur,2,Manchester United,1, Sunday 14th May 2017.
Manchester City,2,Leicester City,1, Saturday 13th May 2017.
Bournemouth,2,Burnley,1, Saturday 13th May 2017.
Middlesbrough,1,Southampton,2, Saturday 13th May 2017.
Sunderland,0,Swansea City,2, Saturday 13th May 2017.
Stoke City,1,Arsenal,4, Saturday 13th May 2017.
Everton,1,Watford,0, Friday 12th May 2017.
West Bromwich Albion,0,Chelsea,1, Friday 12th May 2017.
Southampton,0,Arsenal,2, Wednesday 10th May 2017.
Chelsea,3,Middlesbrough,0, Monday 8th May 2017.
Liverpool,0,Southampton,0, Sunday 7th May 2017.
Arsenal,2,Manchester United,0, Sunday 7th May 2017.
Manchester City,5,Crystal Palace,0, Saturday 6th May 2017.
Bournemouth,2,Stoke City,2, Saturday 6th May 2017.
Burnley,2,West Bromwich Albion,2, Saturday 6th May 2017.
Hull City,0,Sunderland,2, Saturday 6th May 2017.
Leicester City,3,Watford,0, Saturday 6th May 2017.
Swansea City,1,Everton,0, Saturday 6th May 2017.
West Ham United,1,Tottenham Hotspur,0, Friday 5th May 2017.
Watford,0,Liverpool,1, Monday 1st May 2017.
Manchester United,1,Swansea City,1, Sunday 30th April 2017.
Everton,0,Chelsea,3, Sunday 30th April 2017.
Middlesbrough,2,Manchester City,2, Sunday 30th April 2017.
Tottenham Hotspur,2,Arsenal,0, Sunday 30th April 2017.
Southampton,0,Hull City,0, Saturday 29th April 2017.
Stoke City,0,West Ham United,0, Saturday 29th April 2017.
Sunderland,0,Bournemouth,1, Saturday 29th April 2017.
West Bromwich Albion,0,Leicester City,1, Saturday 29th April 2017.
Crystal Palace,0,Burnley,2, Saturday 29th April 2017.
Manchester City,0,Manchester United,0, Thursday 27th April 2017.
Arsenal,1,Leicester City,0, Wednesday 26th April 2017.
Middlesbrough,1,Sunderland,0, Wednesday 26th April 2017.
Crystal Palace,0,Tottenham Hotspur,1, Wednesday 26th April 2017.
Chelsea,4,Southampton,2, Tuesday 25th April 2017.
Burnley,0,Manchester United,2, Sunday 23rd April 2017.
Liverpool,1,Crystal Palace,2, Sunday 23rd April 2017.
Bournemouth,4,Middlesbrough,0, Saturday 22nd April 2017.
Hull City,2,Watford,0, Saturday 22nd April 2017.
Swansea City,2,Stoke City,0, Saturday 22nd April 2017.
West Ham United,0,Everton,0, Saturday 22nd April 2017.
Middlesbrough,1,Arsenal,2, Monday 17th April 2017.
West Bromwich Albion,0,Liverpool,1, Sunday 16th April 2017.
Manchester United,2,Chelsea,0, Sunday 16th April 2017.
Tottenham Hotspur,4,Bournemouth,0, Saturday 15th April 2017.
Crystal Palace,2,Leicester City,2, Saturday 15th April 2017.
Everton,3,Burnley,1, Saturday 15th April 2017.
Stoke City,3,Hull City,1, Saturday 15th April 2017.
Sunderland,2,West Ham United,2, Saturday 15th April 2017.
Watford,1,Swansea City,0, Saturday 15th April 2017.
Southampton,0,Manchester City,3, Saturday 15th April 2017.
Crystal Palace,3,Arsenal,0, Monday 10th April 2017.
Sunderland,0,Manchester United,3, Sunday 9th April 2017.
Everton,4,Leicester City,2, Sunday 9th April 2017.
Tottenham Hotspur,4,Watford,0, Saturday 8th April 2017.
Manchester City,3,Hull City,1, Saturday 8th April 2017.
Middlesbrough,0,Burnley,0, Saturday 8th April 2017.
Stoke City,1,Liverpool,2, Saturday 8th April 2017.
West Bromwich Albion,0,Southampton,1, Saturday 8th April 2017.
West Ham United,1,Swansea City,0, Saturday 8th April 2017.
Bournemouth,1,Chelsea,3, Saturday 8th April 2017.
Arsenal,3,West Ham United,0, Wednesday 5th April 2017.
Hull City,4,Middlesbrough,2, Wednesday 5th April 2017.
Southampton,3,Crystal Palace,1, Wednesday 5th April 2017.
Swansea City,1,Tottenham Hotspur,3, Wednesday 5th April 2017.
Chelsea,2,Manchester City,1, Wednesday 5th April 2017.
Liverpool,2,Bournemouth,2, Wednesday 5th April 2017.
Burnley,1,Stoke City,0, Tuesday 4th April 2017.
Leicester City,2,Sunderland,0, Tuesday 4th April 2017.
Watford,2,West Bromwich Albion,0, Tuesday 4th April 2017.
Manchester United,1,Everton,1, Tuesday 4th April 2017.
Swansea City,0,Middlesbrough,0, Sunday 2nd April 2017.
Arsenal,2,Manchester City,2, Sunday 2nd April 2017.
Liverpool,3,Everton,1, Saturday 1st April 2017.
Burnley,0,Tottenham Hotspur,2, Saturday 1st April 2017.
Chelsea,1,Crystal Palace,2, Saturday 1st April 2017.
Hull City,2,West Ham United,1, Saturday 1st April 2017.
Leicester City,2,Stoke City,0, Saturday 1st April 2017.
Manchester United,0,West Bromwich Albion,0, Saturday 1st April 2017.
Watford,1,Sunderland,0, Saturday 1st April 2017.
Southampton,0,Bournemouth,0, Saturday 1st April 2017.
Middlesbrough,1,Manchester United,3, Sunday 19th March 2017.
Tottenham Hotspur,2,Southampton,1, Sunday 19th March 2017.
Manchester City,1,Liverpool,1, Sunday 19th March 2017.
West Bromwich Albion,3,Arsenal,1, Saturday 18th March 2017.
Crystal Palace,1,Watford,0, Saturday 18th March 2017.
Everton,4,Hull City,0, Saturday 18th March 2017.
Stoke City,1,Chelsea,2, Saturday 18th March 2017.
Sunderland,0,Burnley,0, Saturday 18th March 2017.
West Ham United,2,Leicester City,3, Saturday 18th March 2017.
Bournemouth,2,Swansea City,0, Saturday 18th March 2017.
Liverpool,2,Burnley,1, Sunday 12th March 2017.
Bournemouth,3,West Ham United,2, Saturday 11th March 2017.
Everton,3,West Bromwich Albion,0, Saturday 11th March 2017.
Hull City,2,Swansea City,1, Saturday 11th March 2017.
Manchester City,0,Stoke City,0, Wednesday 8th March 2017.
West Ham United,1,Chelsea,2, Monday 6th March 2017.
Tottenham Hotspur,3,Everton,2, Sunday 5th March 2017.
Sunderland,0,Manchester City,2, Sunday 5th March 2017.
Manchester United,1,Bournemouth,1, Saturday 4th March 2017.
Leicester City,3,Hull City,1, Saturday 4th March 2017.
Stoke City,2,Middlesbrough,0, Saturday 4th March 2017.
Swansea City,3,Burnley,2, Saturday 4th March 2017.
Watford,3,Southampton,4, Saturday 4th March 2017.
