Home Team,Home Score,Away Team,Away Score,Match Date
Catania,2,Atalanta,1, Sunday 18th May 2014.
Genoa,1,Roma,0, Sunday 18th May 2014.
Juventus,3,Cagliari,0, Sunday 18th May 2014.
AC Milan,2,Sassuolo,1, Sunday 18th May 2014.
Chievo,2,Inter Milan,1, Sunday 18th May 2014.
Fiorentina,2,Torino,2, Sunday 18th May 2014.
Lazio,1,Bologna,0, Sunday 18th May 2014.
Napoli,5,Verona,1, Sunday 18th May 2014.
Parma,2,Livorno,0, Sunday 18th May 2014.
Udinese,3,Sampdoria,3, Saturday 17th May 2014.
Atalanta,2,AC Milan,1, Sunday 11th May 2014.
Bologna,1,Catania,2, Sunday 11th May 2014.
Cagliari,0,Chievo,1, Sunday 11th May 2014.
Livorno,0,Fiorentina,1, Sunday 11th May 2014.
Sampdoria,2,Napoli,5, Sunday 11th May 2014.
Sassuolo,4,Genoa,2, Sunday 11th May 2014.
Torino,1,Parma,1, Sunday 11th May 2014.
Roma,0,Juventus,1, Sunday 11th May 2014.
Verona,2,Udinese,2, Saturday 10th May 2014.
Inter Milan,4,Lazio,1, Saturday 10th May 2014.
Fiorentina,3,Sassuolo,4, Tuesday 6th May 2014.
Napoli,3,Cagliari,0, Tuesday 6th May 2014.
Lazio,3,Verona,3, Monday 5th May 2014.
Juventus,1,Atalanta,0, Monday 5th May 2014.
Catania,4,Roma,1, Sunday 4th May 2014.
Chievo,0,Torino,1, Sunday 4th May 2014.
Genoa,0,Bologna,0, Sunday 4th May 2014.
Parma,2,Sampdoria,0, Sunday 4th May 2014.
Udinese,5,Livorno,3, Sunday 4th May 2014.
AC Milan,1,Inter Milan,0, Sunday 4th May 2014.
Sassuolo,1,Juventus,3, Monday 28th April 2014.
Verona,4,Catania,0, Sunday 27th April 2014.
Cagliari,1,Parma,0, Sunday 27th April 2014.
Livorno,0,Lazio,2, Sunday 27th April 2014.
Sampdoria,2,Chievo,1, Sunday 27th April 2014.
Torino,2,Udinese,0, Sunday 27th April 2014.
Atalanta,1,Genoa,1, Sunday 27th April 2014.
Bologna,0,Fiorentina,3, Saturday 26th April 2014.
Inter Milan,0,Napoli,0, Saturday 26th April 2014.
Roma,2,AC Milan,0, Friday 25th April 2014.
AC Milan,3,Livorno,0, Saturday 19th April 2014.
Atalanta,1,Verona,2, Saturday 19th April 2014.
Catania,2,Sampdoria,1, Saturday 19th April 2014.
Chievo,0,Sassuolo,1, Saturday 19th April 2014.
Genoa,1,Cagliari,2, Saturday 19th April 2014.
Lazio,3,Torino,3, Saturday 19th April 2014.
Parma,0,Inter Milan,2, Saturday 19th April 2014.
Udinese,1,Napoli,1, Saturday 19th April 2014.
Juventus,1,Bologna,0, Saturday 19th April 2014.
Fiorentina,0,Roma,1, Saturday 19th April 2014.
Udinese,0,Juventus,2, Monday 14th April 2014.
Bologna,1,Parma,1, Sunday 13th April 2014.
Livorno,2,Chievo,4, Sunday 13th April 2014.
Napoli,4,Lazio,2,https://www.skysports.com/football/napoli-vs-lazio/299463
Sampdoria,0,Inter Milan,4,https://www.skysports.com/football/sampdoria-vs-inter/302432
Torino,2,Genoa,1, Sunday 13th April 2014.
Verona,3,Fiorentina,5, Sunday 13th April 2014.
AC Milan,1,Catania,0, Sunday 13th April 2014.
Sassuolo,1,Cagliari,1, Saturday 12th April 2014.
Roma,3,Atalanta,1, Saturday 12th April 2014.
Juventus,2,Livorno,0, Monday 7th April 2014.
Genoa,1,AC Milan,2, Monday 7th April 2014.
Lazio,2,Sampdoria,0, Sunday 6th April 2014.
Atalanta,0,Sassuolo,2, Sunday 6th April 2014.
Cagliari,1,Roma,3, Sunday 6th April 2014.
Catania,1,Torino,2, Sunday 6th April 2014.
Fiorentina,2,Udinese,1, Sunday 6th April 2014.
Parma,1,Napoli,0, Sunday 6th April 2014.
Chievo,0,Verona,1, Saturday 5th April 2014.
Inter Milan,2,Bologna,2, Saturday 5th April 2014.
Roma,4,Parma,2, Wednesday 2nd April 2014.
Udinese,1,Catania,0, Monday 31st March 2014.
Livorno,2,Inter Milan,2, Monday 31st March 2014.
Sassuolo,0,Roma,2, Sunday 30th March 2014.
Lazio,3,Parma,2, Sunday 30th March 2014.
Sampdoria,0,Fiorentina,0, Sunday 30th March 2014.
Torino,2,Cagliari,1, Sunday 30th March 2014.
Verona,3,Genoa,0, Sunday 30th March 2014.
Napoli,2,Juventus,0, Sunday 30th March 2014.
Bologna,0,Atalanta,2, Saturday 29th March 2014.
AC Milan,3,Chievo,0, Saturday 29th March 2014.
