Home Team,Home Score,Away Team,Away Score,Match Date
Auxerre,1,Montpellier,2, Sunday 20th May 2012.
Evian Thonon Gaillar,0,Brest,1, Sunday 20th May 2012.
Lille,4,Nancy,1, Sunday 20th May 2012.
Lorient,1,Paris Saint-Germain,2, Sunday 20th May 2012.
Lyon,3,Nice,4, Sunday 20th May 2012.
Rennes,5,Dijon,0, Sunday 20th May 2012.
Sochaux,1,Marseille,0, Sunday 20th May 2012.
St Etienne,2,Bordeaux,3, Sunday 20th May 2012.
Toulouse,0,AC Ajaccio,2, Sunday 20th May 2012.
Valenciennes,3,Caen,1, Sunday 20th May 2012.
Boulogne,1,Monaco,2, Friday 18th May 2012.
Chateauroux,0,Guingamp,2, Friday 18th May 2012.
Clermont Foot,2,Laval,0, Friday 18th May 2012.
Istres,1,Bastia,0, Friday 18th May 2012.
Le Havre,3,Angers,0, Friday 18th May 2012.
Le Mans,1,Arles,1, Friday 18th May 2012.
Metz,1,Tours,1, Friday 18th May 2012.
Nantes,1,Sedan,2, Friday 18th May 2012.
Reims,1,RC Lens,1, Friday 18th May 2012.
Troyes,2,Amiens,0, Friday 18th May 2012.
AC Ajaccio,1,Lyon,1, Sunday 13th May 2012.
Bordeaux,1,Lorient,0, Sunday 13th May 2012.
Brest,1,Valenciennes,0, Sunday 13th May 2012.
Caen,1,Sochaux,3, Sunday 13th May 2012.
Dijon,1,Toulouse,1, Sunday 13th May 2012.
Marseille,3,Auxerre,0, Sunday 13th May 2012.
Montpellier,1,Lille,0, Sunday 13th May 2012.
Nancy,3,St Etienne,2, Sunday 13th May 2012.
Nice,1,Evian Thonon Gaillar,1, Sunday 13th May 2012.
Paris Saint-Germain,3,Rennes,0, Sunday 13th May 2012.
Amiens,0,Reims,2, Friday 11th May 2012.
Angers,2,Boulogne,1, Friday 11th May 2012.
Arles,1,Metz,0, Friday 11th May 2012.
Bastia,2,Nantes,1, Friday 11th May 2012.
Guingamp,3,Clermont Foot,1, Friday 11th May 2012.
Laval,0,Le Havre,2, Friday 11th May 2012.
Monaco,0,Troyes,2, Friday 11th May 2012.
RC Lens,1,Istres,0, Friday 11th May 2012.
Sedan,2,Chateauroux,0, Friday 11th May 2012.
Tours,2,Le Mans,1, Friday 11th May 2012.
Evian Thonon Gaillar,1,Lyon,3, Thursday 10th May 2012.
Reims,2,Monaco,0, Monday 7th May 2012.
Auxerre,2,Bordeaux,4, Monday 7th May 2012.
Lille,3,Caen,0, Monday 7th May 2012.
Lorient,0,Dijon,0, Monday 7th May 2012.
Sochaux,1,Nancy,0, Monday 7th May 2012.
St Etienne,0,Marseille,0, Monday 7th May 2012.
Toulouse,0,Nice,0, Monday 7th May 2012.
Rennes,0,Montpellier,2, Monday 7th May 2012.
Evian Thonon Gaillar,2,AC Ajaccio,1, Sunday 6th May 2012.
Lyon,1,Brest,1, Sunday 6th May 2012.
Valenciennes,3,Paris Saint-Germain,4, Sunday 6th May 2012.
Boulogne,3,Laval,0, Friday 4th May 2012.
Chateauroux,1,Tours,3, Friday 4th May 2012.
Clermont Foot,1,Sedan,1, Friday 4th May 2012.
Istres,0,Angers,1, Friday 4th May 2012.
Le Havre,2,Amiens,0, Friday 4th May 2012.
Le Mans,3,Bastia,0, Friday 4th May 2012.
Metz,2,Guingamp,5, Friday 4th May 2012.
Nantes,3,Arles,0, Friday 4th May 2012.
Troyes,2,RC Lens,0, Friday 4th May 2012.
Dijon,0,Auxerre,2, Thursday 3rd May 2012.
AC Ajaccio,2,Sochaux,1, Wednesday 2nd May 2012.
Bordeaux,2,Rennes,0, Wednesday 2nd May 2012.
Brest,0,Toulouse,0, Wednesday 2nd May 2012.
Caen,1,Lorient,0, Wednesday 2nd May 2012.
Lyon,4,Valenciennes,1, Wednesday 2nd May 2012.
Marseille,1,Nancy,0, Wednesday 2nd May 2012.
Nice,0,Lille,1, Wednesday 2nd May 2012.
Paris Saint-Germain,2,St Etienne,0, Wednesday 2nd May 2012.
Amiens,1,Clermont Foot,1, Tuesday 1st May 2012.
Angers,2,Nantes,0, Tuesday 1st May 2012.
Arles,0,Troyes,0, Tuesday 1st May 2012.
Bastia,3,Metz,0, Tuesday 1st May 2012.
Guingamp,1,Le Mans,1, Tuesday 1st May 2012.
Laval,1,Chateauroux,1, Tuesday 1st May 2012.
Monaco,3,Istres,2, Tuesday 1st May 2012.
Sedan,3,Tours,0, Tuesday 1st May 2012.
Reims,3,Boulogne,2, Tuesday 1st May 2012.
Montpellier,2,Evian Thonon Gaillar,2, Tuesday 1st May 2012.
RC Lens,2,Le Havre,0, Monday 30th April 2012.
Auxerre,4,Brest,0, Sunday 29th April 2012.
Nancy,1,Caen,1, Sunday 29th April 2012.
Rennes,3,AC Ajaccio,1, Sunday 29th April 2012.
Sochaux,0,Bordeaux,3, Sunday 29th April 2012.
St Etienne,1,Dijon,0, Sunday 29th April 2012.
Valenciennes,2,Nice,0, Sunday 29th April 2012.
Lille,2,Paris Saint-Germain,1, Sunday 29th April 2012.
Chateauroux,1,RC Lens,0, Friday 27th April 2012.
Istres,0,Arles,0, Friday 27th April 2012.
Le Havre,1,Reims,1, Friday 27th April 2012.
Le Mans,1,Laval,3, Friday 27th April 2012.
Metz,1,Angers,1, Friday 27th April 2012.
Nantes,5,Amiens,0, Friday 27th April 2012.
Sedan,0,Guingamp,1, Friday 27th April 2012.
Troyes,2,Boulogne,1, Friday 27th April 2012.
Clermont Foot,1,Monaco,0, Friday 27th April 2012.
Tours,2,Bastia,1, Friday 27th April 2012.
Toulouse,0,Montpellier,1, Friday 27th April 2012.
Lorient,2,Marseille,1, Friday 27th April 2012.
Bastia,2,Chateauroux,1, Monday 23rd April 2012.
AC Ajaccio,0,Nancy,0, Sunday 22nd April 2012.
Paris Saint-Germain,6,Sochaux,1, Sunday 22nd April 2012.
Lyon,3,Lorient,2, Sunday 22nd April 2012.
Brest,0,Rennes,1, Saturday 21st April 2012.
Caen,1,St Etienne,4, Saturday 21st April 2012.
Dijon,0,Lille,2, Saturday 21st April 2012.
Evian Thonon Gaillar,2,Toulouse,1, Saturday 21st April 2012.
Montpellier,1,Valenciennes,0, Saturday 21st April 2012.
Nice,1,Auxerre,0, Saturday 21st April 2012.
Bordeaux,2,Marseille,1, Saturday 21st April 2012.
Amiens,1,Istres,2, Friday 20th April 2012.
Angers,1,Le Mans,1, Friday 20th April 2012.
Arles,0,Sedan,0, Friday 20th April 2012.
Boulogne,1,Clermont Foot,1, Friday 20th April 2012.
Guingamp,0,Tours,0, Friday 20th April 2012.
Laval,2,Nantes,0, Friday 20th April 2012.
Monaco,1,Le Havre,0, Friday 20th April 2012.
RC Lens,0,Metz,2, Friday 20th April 2012.
Reims,1,Troyes,0, Friday 20th April 2012.
Marseille,1,Caen,1, Wednesday 18th April 2012.
Toulouse,3,Lyon,0, Wednesday 18th April 2012.
Nantes,2,Reims,0, Monday 16th April 2012.
Rennes,3,Nice,1, Monday 16th April 2012.
Lille,4,AC Ajaccio,1, Sunday 15th April 2012.
Lorient,2,Montpellier,1, Sunday 15th April 2012.
Nancy,2,Bordeaux,2, Sunday 15th April 2012.
Sochaux,1,Dijon,0, Sunday 15th April 2012.
