Home Team,Home Score,Away Team,Away Score,Match Date
Valencia,2,Deportivo La Coruna,1, Sunday 20th May 2018.
Athletic Bilbao,0,Espanyol,1, Sunday 20th May 2018.
Atletico Madrid,2,Eibar,2, Sunday 20th May 2018.
Barcelona,1,Real Sociedad,0, Sunday 20th May 2018.
Celta Vigo,4,Levante,2, Saturday 19th May 2018.
Leganes,3,Real Betis,2, Saturday 19th May 2018.
Las Palmas,1,Girona,2, Saturday 19th May 2018.
Malaga,0,Getafe,1, Saturday 19th May 2018.
Sevilla,1,Alaves,0, Saturday 19th May 2018.
Villarreal,2,Real Madrid,2, Saturday 19th May 2018.
Espanyol,4,Malaga,1, Sunday 13th May 2018.
Levante,5,Barcelona,4, Sunday 13th May 2018.
Real Sociedad,3,Leganes,2, Saturday 12th May 2018.
Alaves,3,Athletic Bilbao,1, Saturday 12th May 2018.
Deportivo La Coruna,2,Villarreal,4, Saturday 12th May 2018.
Eibar,1,Las Palmas,0, Saturday 12th May 2018.
Getafe,0,Atletico Madrid,1, Saturday 12th May 2018.
Girona,0,Valencia,1, Saturday 12th May 2018.
Real Betis,2,Sevilla,2, Saturday 12th May 2018.
Real Madrid,6,Celta Vigo,0, Saturday 12th May 2018.
Barcelona,5,Villarreal,1, Wednesday 9th May 2018.
Sevilla,3,Real Madrid,2, Wednesday 9th May 2018.
Leganes,0,Levante,3, Monday 7th May 2018.
Malaga,0,Alaves,3, Sunday 6th May 2018.
Atletico Madrid,0,Espanyol,2, Sunday 6th May 2018.
Las Palmas,0,Getafe,1, Sunday 6th May 2018.
Barcelona,2,Real Madrid,2, Sunday 6th May 2018.
Girona,1,Eibar,4, Saturday 5th May 2018.
Athletic Bilbao,2,Real Betis,0, Saturday 5th May 2018.
Celta Vigo,1,Deportivo La Coruna,1, Saturday 5th May 2018.
Villarreal,1,Valencia,0, Saturday 5th May 2018.
Sevilla,1,Real Sociedad,0, Friday 4th May 2018.
Real Betis,2,Malaga,1, Monday 30th April 2018.
Getafe,1,Girona,1, Sunday 29th April 2018.
Alaves,0,Atletico Madrid,1, Sunday 29th April 2018.
Valencia,0,Eibar,0, Sunday 29th April 2018.
Deportivo La Coruna,2,Barcelona,4, Sunday 29th April 2018.
Espanyol,1,Las Palmas,1, Saturday 28th April 2018.
Real Sociedad,3,Athletic Bilbao,1, Saturday 28th April 2018.
Real Madrid,2,Leganes,1, Saturday 28th April 2018.
Villarreal,4,Celta Vigo,1, Saturday 28th April 2018.
Levante,2,Sevilla,1, Friday 27th April 2018.
Athletic Bilbao,1,Levante,3, Monday 23rd April 2018.
Girona,0,Espanyol,2, Sunday 22nd April 2018.
Malaga,2,Real Sociedad,0, Sunday 22nd April 2018.
Las Palmas,0,Alaves,4, Sunday 22nd April 2018.
Atletico Madrid,0,Real Betis,0, Sunday 22nd April 2018.
Eibar,0,Getafe,1, Saturday 21st April 2018.
Celta Vigo,1,Valencia,1, Saturday 21st April 2018.
Leganes,0,Deportivo La Coruna,0, Friday 20th April 2018.
Alaves,1,Girona,2, Thursday 19th April 2018.
Real Sociedad,3,Atletico Madrid,0, Thursday 19th April 2018.
Levante,1,Malaga,0, Thursday 19th April 2018.
Real Betis,1,Las Palmas,0, Thursday 19th April 2018.
Espanyol,0,Eibar,1, Wednesday 18th April 2018.
Valencia,1,Getafe,2, Wednesday 18th April 2018.
Real Madrid,1,Athletic Bilbao,1, Wednesday 18th April 2018.
Deportivo La Coruna,0,Sevilla,0, Tuesday 17th April 2018.
Celta Vigo,2,Barcelona,2, Tuesday 17th April 2018.
Villarreal,2,Leganes,1, Tuesday 17th April 2018.
Eibar,0,Alaves,1, Sunday 15th April 2018.
Atletico Madrid,3,Levante,0, Sunday 15th April 2018.
Getafe,1,Espanyol,0, Sunday 15th April 2018.
Malaga,1,Real Madrid,2, Sunday 15th April 2018.
Sevilla,2,Villarreal,2, Saturday 14th April 2018.
Barcelona,2,Valencia,1, Saturday 14th April 2018.
Las Palmas,0,Real Sociedad,1, Saturday 14th April 2018.
Leganes,1,Celta Vigo,0, Saturday 14th April 2018.
Athletic Bilbao,2,Deportivo La Coruna,3, Saturday 14th April 2018.
Girona,0,Real Betis,1, Friday 13th April 2018.
Villarreal,1,Athletic Bilbao,3, Monday 9th April 2018.
Levante,2,Las Palmas,1, Sunday 8th April 2018.
Real Madrid,1,Atletico Madrid,1, Sunday 8th April 2018.
Real Sociedad,5,Girona,0, Sunday 8th April 2018.
Valencia,1,Espanyol,0, Sunday 8th April 2018.
Alaves,2,Getafe,0, Saturday 7th April 2018.
Celta Vigo,4,Sevilla,0, Saturday 7th April 2018.
Real Betis,2,Eibar,0, Saturday 7th April 2018.
Barcelona,3,Leganes,1, Saturday 7th April 2018.
Deportivo La Coruna,3,Malaga,2, Friday 6th April 2018.
Getafe,0,Real Betis,1, Monday 2nd April 2018.
Espanyol,0,Alaves,0, Sunday 1st April 2018.
Leganes,0,Valencia,1, Sunday 1st April 2018.
Eibar,0,Real Sociedad,0, Sunday 1st April 2018.
Malaga,1,Villarreal,0, Sunday 1st April 2018.
Atletico Madrid,1,Deportivo La Coruna,0, Sunday 1st April 2018.
Girona,1,Levante,1, Saturday 31st March 2018.
Athletic Bilbao,1,Celta Vigo,1, Saturday 31st March 2018.
