Home Team,Home Score,Away Team,Away Score,Match Date
Brighton and Hove Albion,1,Manchester City,4, Sunday 12th May 2019.
Burnley,1,Arsenal,3, Sunday 12th May 2019.
Crystal Palace,5,Bournemouth,3, Sunday 12th May 2019.
Fulham,0,Newcastle United,4, Sunday 12th May 2019.
Leicester City,0,Chelsea,0, Sunday 12th May 2019.
Liverpool,2,Wolverhampton Wanderers,0, Sunday 12th May 2019.
Manchester United,0,Cardiff City,2, Sunday 12th May 2019.
Southampton,1,Huddersfield Town,1, Sunday 12th May 2019.
Tottenham Hotspur,2,Everton,2, Sunday 12th May 2019.
Watford,1,West Ham United,4, Sunday 12th May 2019.
Manchester City,1,Leicester City,0, Monday 6th May 2019.
Chelsea,3,Watford,0, Sunday 5th May 2019.
Huddersfield Town,1,Manchester United,1, Sunday 5th May 2019.
Arsenal,1,Brighton and Hove Albion,1, Sunday 5th May 2019.
Bournemouth,1,Tottenham Hotspur,0, Saturday 4th May 2019.
West Ham United,3,Southampton,0, Saturday 4th May 2019.
Wolverhampton Wanderers,1,Fulham,0, Saturday 4th May 2019.
Cardiff City,2,Crystal Palace,3, Saturday 4th May 2019.
Newcastle United,2,Liverpool,3, Saturday 4th May 2019.
Everton,2,Burnley,0, Friday 3rd May 2019.
Leicester City,3,Arsenal,0, Sunday 28th April 2019.
Burnley,0,Manchester City,1, Sunday 28th April 2019.
Manchester United,1,Chelsea,1, Sunday 28th April 2019.
Tottenham Hotspur,0,West Ham United,1, Saturday 27th April 2019.
Crystal Palace,0,Everton,0, Saturday 27th April 2019.
Fulham,1,Cardiff City,0, Saturday 27th April 2019.
Southampton,3,Bournemouth,3, Saturday 27th April 2019.
Watford,1,Wolverhampton Wanderers,2, Saturday 27th April 2019.
Brighton and Hove Albion,1,Newcastle United,1, Saturday 27th April 2019.
Liverpool,5,Huddersfield Town,0, Friday 26th April 2019.
Wolverhampton Wanderers,3,Arsenal,1, Wednesday 24th April 2019.
Manchester United,0,Manchester City,2, Wednesday 24th April 2019.
Tottenham Hotspur,1,Brighton and Hove Albion,0, Tuesday 23rd April 2019.
Watford,1,Southampton,1, Tuesday 23rd April 2019.
Chelsea,2,Burnley,2, Monday 22nd April 2019.
Everton,4,Manchester United,0, Sunday 21st April 2019.
Arsenal,2,Crystal Palace,3, Sunday 21st April 2019.
Cardiff City,0,Liverpool,2, Sunday 21st April 2019.
Manchester City,1,Tottenham Hotspur,0, Saturday 20th April 2019.
Bournemouth,0,Fulham,1, Saturday 20th April 2019.
Huddersfield Town,1,Watford,2, Saturday 20th April 2019.
West Ham United,2,Leicester City,2, Saturday 20th April 2019.
Wolverhampton Wanderers,0,Brighton and Hove Albion,0, Saturday 20th April 2019.
Newcastle United,3,Southampton,1, Saturday 20th April 2019.
Brighton and Hove Albion,0,Cardiff City,2, Tuesday 16th April 2019.
Watford,0,Arsenal,1, Monday 15th April 2019.
Crystal Palace,1,Manchester City,3, Sunday 14th April 2019.
Liverpool,2,Chelsea,0, Sunday 14th April 2019.
Tottenham Hotspur,4,Huddersfield Town,0, Saturday 13th April 2019.
Brighton and Hove Albion,0,Bournemouth,5, Saturday 13th April 2019.
Burnley,2,Cardiff City,0, Saturday 13th April 2019.
Fulham,2,Everton,0, Saturday 13th April 2019.
Southampton,3,Wolverhampton Wanderers,1, Saturday 13th April 2019.
Manchester United,2,West Ham United,1, Saturday 13th April 2019.
Leicester City,0,Newcastle United,1, Friday 12th April 2019.
Chelsea,2,West Ham United,0, Monday 8th April 2019.
Everton,1,Arsenal,0, Sunday 7th April 2019.
Bournemouth,1,Burnley,3, Saturday 6th April 2019.
Huddersfield Town,1,Leicester City,4, Saturday 6th April 2019.
Newcastle United,0,Crystal Palace,1, Saturday 6th April 2019.
Southampton,1,Liverpool,3, Friday 5th April 2019.
Chelsea,3,Brighton and Hove Albion,0, Wednesday 3rd April 2019.
Manchester City,2,Cardiff City,0, Wednesday 3rd April 2019.
Tottenham Hotspur,2,Crystal Palace,0, Wednesday 3rd April 2019.
Watford,4,Fulham,1, Tuesday 2nd April 2019.
Wolverhampton Wanderers,2,Manchester United,1, Tuesday 2nd April 2019.
Arsenal,2,Newcastle United,0, Monday 1st April 2019.
Cardiff City,1,Chelsea,2, Sunday 31st March 2019.
Liverpool,2,Tottenham Hotspur,1, Sunday 31st March 2019.
Fulham,0,Manchester City,2, Saturday 30th March 2019.
Brighton and Hove Albion,0,Southampton,1, Saturday 30th March 2019.
Burnley,2,Wolverhampton Wanderers,0, Saturday 30th March 2019.
Crystal Palace,2,Huddersfield Town,0, Saturday 30th March 2019.
Leicester City,2,Bournemouth,0, Saturday 30th March 2019.
Manchester United,2,Watford,1, Saturday 30th March 2019.
West Ham United,0,Everton,2, Saturday 30th March 2019.
Fulham,1,Liverpool,2, Sunday 17th March 2019.
Everton,2,Chelsea,0, Sunday 17th March 2019.
Bournemouth,2,Newcastle United,2, Saturday 16th March 2019.
Burnley,1,Leicester City,2, Saturday 16th March 2019.
West Ham United,4,Huddersfield Town,3, Saturday 16th March 2019.
Liverpool,4,Burnley,2, Sunday 10th March 2019.
Chelsea,1,Wolverhampton Wanderers,1, Sunday 10th March 2019.
Arsenal,2,Manchester United,0, Sunday 10th March 2019.
Crystal Palace,1,Brighton and Hove Albion,2, Saturday 9th March 2019.
Cardiff City,2,West Ham United,0, Saturday 9th March 2019.
Huddersfield Town,0,Bournemouth,2, Saturday 9th March 2019.
Leicester City,3,Fulham,1, Saturday 9th March 2019.
Newcastle United,3,Everton,2, Saturday 9th March 2019.
Southampton,2,Tottenham Hotspur,1, Saturday 9th March 2019.
Manchester City,3,Watford,1, Saturday 9th March 2019.
Watford,2,Leicester City,1, Sunday 3rd March 2019.
Fulham,1,Chelsea,2, Sunday 3rd March 2019.
Everton,0,Liverpool,0, Sunday 3rd March 2019.
Tottenham Hotspur,1,Arsenal,1, Saturday 2nd March 2019.
Bournemouth,0,Manchester City,1, Saturday 2nd March 2019.
Brighton and Hove Albion,1,Huddersfield Town,0, Saturday 2nd March 2019.
