Home Team,Home Score,Away Team,Away Score,Match Date
Levante,1,Real Mallorca,1, Sunday 13th March 2011.
Osasuna,3,Racing Santander,1, Sunday 13th March 2011.
Real Sociedad,0,Malaga,2, Sunday 13th March 2011.
Villarreal,1,Sporting Gijon,1, Sunday 13th March 2011.
Sevilla,1,Barcelona,1, Sunday 13th March 2011.
Almeria,2,Atletico Madrid,2, Saturday 12th March 2011.
Real Madrid,2,Hercules,0, Saturday 12th March 2011.
Real Zaragoza,4,Valencia,0, Saturday 12th March 2011.
Deportivo La Coruna,2,Real Sociedad,1, Monday 7th March 2011.
Hercules,1,Almeria,2, Sunday 6th March 2011.
Levante,1,Espanyol,0, Sunday 6th March 2011.
Malaga,0,Osasuna,1, Sunday 6th March 2011.
Sporting Gijon,2,Getafe,0, Sunday 6th March 2011.
Athletic Bilbao,2,Sevilla,0, Sunday 6th March 2011.
Racing Santander,1,Real Madrid,3, Sunday 6th March 2011.
Real Mallorca,1,Valencia,2, Saturday 5th March 2011.
Barcelona,1,Real Zaragoza,0, Saturday 5th March 2011.
Atletico Madrid,3,Villarreal,1, Saturday 5th March 2011.
Almeria,1,Racing Santander,1, Thursday 3rd March 2011.
Real Madrid,7,Malaga,0, Thursday 3rd March 2011.
Getafe,1,Atletico Madrid,1, Wednesday 2nd March 2011.
Osasuna,0,Deportivo La Coruna,0, Wednesday 2nd March 2011.
Real Sociedad,1,Levante,1, Wednesday 2nd March 2011.
Real Zaragoza,2,Athletic Bilbao,1, Wednesday 2nd March 2011.
Villarreal,1,Hercules,0, Wednesday 2nd March 2011.
Valencia,0,Barcelona,1, Wednesday 2nd March 2011.
Espanyol,1,Real Mallorca,2, Tuesday 1st March 2011.
Sevilla,3,Sporting Gijon,0, Tuesday 1st March 2011.
Malaga,3,Almeria,1, Monday 28th February 2011.
Hercules,0,Getafe,0, Sunday 27th February 2011.
Levante,2,Osasuna,1, Sunday 27th February 2011.
Racing Santander,2,Villarreal,2, Sunday 27th February 2011.
Athletic Bilbao,1,Valencia,2, Sunday 27th February 2011.
Atletico Madrid,2,Sevilla,2, Saturday 26th February 2011.
Espanyol,4,Real Sociedad,1, Saturday 26th February 2011.
Sporting Gijon,0,Real Zaragoza,0, Saturday 26th February 2011.
Real Mallorca,0,Barcelona,3, Saturday 26th February 2011.
Deportivo La Coruna,0,Real Madrid,0, Saturday 26th February 2011.
Real Sociedad,1,Real Mallorca,0, Monday 21st February 2011.
Almeria,1,Deportivo La Coruna,1, Sunday 20th February 2011.
Getafe,0,Racing Santander,1, Sunday 20th February 2011.
Osasuna,4,Espanyol,0, Sunday 20th February 2011.
Villarreal,1,Malaga,1, Sunday 20th February 2011.
Sevilla,1,Hercules,0, Sunday 20th February 2011.
Barcelona,2,Athletic Bilbao,1, Sunday 20th February 2011.
Valencia,0,Sporting Gijon,0, Saturday 19th February 2011.
Real Madrid,2,Levante,0, Saturday 19th February 2011.
Real Zaragoza,0,Atletico Madrid,1, Saturday 19th February 2011.
Real Mallorca,1,Athletic Bilbao,0, Monday 14th February 2011.
Hercules,2,Real Zaragoza,1, Sunday 13th February 2011.
Levante,1,Almeria,0, Sunday 13th February 2011.
Malaga,2,Getafe,2, Sunday 13th February 2011.
Real Sociedad,1,Osasuna,0, Sunday 13th February 2011.
Deportivo La Coruna,1,Villarreal,0, Sunday 13th February 2011.
Espanyol,0,Real Madrid,1, Sunday 13th February 2011.
Atletico Madrid,1,Valencia,2, Saturday 12th February 2011.
Sporting Gijon,1,Barcelona,1, Saturday 12th February 2011.
Racing Santander,3,Sevilla,2, Saturday 12th February 2011.
Sevilla,0,Malaga,0, Sunday 6th February 2011.
Real Madrid,4,Real Sociedad,1, Sunday 6th February 2011.
Valencia,2,Hercules,0, Sunday 6th February 2011.
Villarreal,0,Levante,1, Saturday 5th February 2011.
Barcelona,3,Atletico Madrid,0, Saturday 5th February 2011.
Racing Santander,1,Valencia,1, Monday 31st January 2011.
Atletico Madrid,0,Athletic Bilbao,2, Sunday 30th January 2011.
Osasuna,1,Real Madrid,0, Sunday 30th January 2011.
Espanyol,0,Villarreal,1, Sunday 30th January 2011.
Levante,2,Getafe,0, Saturday 29th January 2011.
Malaga,1,Real Zaragoza,2, Saturday 29th January 2011.
Real Mallorca,0,Sporting Gijon,4, Saturday 29th January 2011.
