Home Team,Home Score,Away Team,Away Score,Match Date
Malaga,4,Las Palmas,1, Sunday 15th May 2016.
Espanyol,4,Eibar,2, Sunday 15th May 2016.
Rayo Vallecano,3,Levante,1, Sunday 15th May 2016.
Real Betis,2,Getafe,1, Sunday 15th May 2016.
Sporting Gijon,2,Villarreal,0, Sunday 15th May 2016.
Deportivo La Coruna,0,Real Madrid,2, Saturday 14th May 2016.
Granada,0,Barcelona,3, Saturday 14th May 2016.
Athletic Bilbao,3,Sevilla,1, Saturday 14th May 2016.
Atletico Madrid,2,Celta Vigo,0, Saturday 14th May 2016.
Valencia,0,Real Sociedad,1, Friday 13th May 2016.
Barcelona,5,Espanyol,0, Sunday 8th May 2016.
Celta Vigo,1,Malaga,0, Sunday 8th May 2016.
Eibar,1,Real Betis,1, Sunday 8th May 2016.
Getafe,1,Sporting Gijon,1, Sunday 8th May 2016.
Las Palmas,0,Athletic Bilbao,0, Sunday 8th May 2016.
Levante,2,Atletico Madrid,1, Sunday 8th May 2016.
Real Madrid,3,Valencia,2, Sunday 8th May 2016.
Real Sociedad,2,Rayo Vallecano,1, Sunday 8th May 2016.
Sevilla,1,Granada,4, Sunday 8th May 2016.
Villarreal,0,Deportivo La Coruna,2, Sunday 8th May 2016.
Malaga,3,Levante,1, Monday 2nd May 2016.
Athletic Bilbao,2,Celta Vigo,1, Sunday 1st May 2016.
Espanyol,1,Sevilla,0, Sunday 1st May 2016.
Deportivo La Coruna,0,Getafe,2, Sunday 1st May 2016.
Valencia,0,Villarreal,2, Sunday 1st May 2016.
Real Sociedad,0,Real Madrid,1, Saturday 30th April 2016.
Atletico Madrid,1,Rayo Vallecano,0, Saturday 30th April 2016.
Real Betis,0,Barcelona,2, Saturday 30th April 2016.
Granada,3,Las Palmas,2, Saturday 30th April 2016.
Sporting Gijon,2,Eibar,0, Friday 29th April 2016.
Celta Vigo,2,Granada,1, Monday 25th April 2016.
Levante,2,Athletic Bilbao,2, Sunday 24th April 2016.
Sevilla,2,Real Betis,0, Sunday 24th April 2016.
Getafe,2,Valencia,2, Sunday 24th April 2016.
Villarreal,0,Real Sociedad,0, Sunday 24th April 2016.
Rayo Vallecano,2,Real Madrid,3, Saturday 23rd April 2016.
Atletico Madrid,1,Malaga,0, Saturday 23rd April 2016.
Barcelona,6,Sporting Gijon,0, Saturday 23rd April 2016.
Eibar,1,Deportivo La Coruna,1, Saturday 23rd April 2016.
Las Palmas,4,Espanyol,0, Friday 22nd April 2016.
Real Sociedad,1,Getafe,2, Thursday 21st April 2016.
Granada,5,Levante,1, Thursday 21st April 2016.
Deportivo La Coruna,0,Barcelona,8, Wednesday 20th April 2016.
Athletic Bilbao,0,Atletico Madrid,1, Wednesday 20th April 2016.
Malaga,1,Rayo Vallecano,1, Wednesday 20th April 2016.
Sporting Gijon,2,Sevilla,1, Wednesday 20th April 2016.
Valencia,4,Eibar,0, Wednesday 20th April 2016.
Real Madrid,3,Villarreal,0, Wednesday 20th April 2016.
Espanyol,1,Celta Vigo,1, Tuesday 19th April 2016.
Real Betis,1,Las Palmas,0, Tuesday 19th April 2016.
Malaga,0,Athletic Bilbao,1, Sunday 17th April 2016.
Sevilla,1,Deportivo La Coruna,1, Sunday 17th April 2016.
Atletico Madrid,3,Granada,0, Sunday 17th April 2016.
Rayo Vallecano,2,Villarreal,1, Sunday 17th April 2016.
Barcelona,1,Valencia,2, Sunday 17th April 2016.
Getafe,1,Real Madrid,5, Saturday 16th April 2016.
Las Palmas,1,Sporting Gijon,1, Saturday 16th April 2016.
Eibar,2,Real Sociedad,1, Saturday 16th April 2016.
Celta Vigo,1,Real Betis,1, Saturday 16th April 2016.
Levante,2,Espanyol,1, Friday 15th April 2016.
Deportivo La Coruna,1,Las Palmas,3, Monday 11th April 2016.
Sporting Gijon,0,Celta Vigo,1, Sunday 10th April 2016.
Valencia,2,Sevilla,1, Sunday 10th April 2016.
Villarreal,2,Getafe,0, Sunday 10th April 2016.
Athletic Bilbao,1,Rayo Vallecano,0, Sunday 10th April 2016.
Real Madrid,4,Eibar,0,https://www.skysports.com/football/r-madrid-vs-eibar/347882
Espanyol,1,Atletico Madrid,3, Saturday 9th April 2016.
Real Sociedad,1,Barcelona,0, Saturday 9th April 2016.
Real Betis,1,Levante,0, Saturday 9th April 2016.
Granada,0,Malaga,0, Friday 8th April 2016.
Levante,0,Sporting Gijon,0, Monday 4th April 2016.
Athletic Bilbao,1,Granada,1, Sunday 3rd April 2016.
Malaga,1,Espanyol,1, Sunday 3rd April 2016.
Eibar,1,Villarreal,2,https://www.skysports.com/football/eibar-vs-villarreal/347871
Sevilla,1,Real Sociedad,2,https://www.skysports.com/football/sevilla-vs-sociedad/347876
Atletico Madrid,5,Real Betis,1,https://www.skysports.com/football/a-madrid-vs-real-betis/347868
Las Palmas,2,Valencia,1, Saturday 2nd April 2016.
Barcelona,1,Real Madrid,2, Saturday 2nd April 2016.
Celta Vigo,1,Deportivo La Coruna,1, Saturday 2nd April 2016.
Rayo Vallecano,2,Getafe,0, Friday 1st April 2016.
Espanyol,2,Athletic Bilbao,1, Sunday 20th March 2016.
Villarreal,2,Barcelona,2, Sunday 20th March 2016.
Valencia,0,Celta Vigo,2, Sunday 20th March 2016.
Real Madrid,4,Sevilla,0, Sunday 20th March 2016.
Sporting Gijon,2,Atletico Madrid,1, Saturday 19th March 2016.
Granada,2,Rayo Vallecano,2, Saturday 19th March 2016.
Real Sociedad,0,Las Palmas,1, Saturday 19th March 2016.
Deportivo La Coruna,2,Levante,1, Saturday 19th March 2016.
Real Betis,0,Malaga,1, Saturday 19th March 2016.
Getafe,1,Eibar,1, Friday 18th March 2016.
Granada,1,Espanyol,1, Monday 14th March 2016.
Levante,1,Valencia,0, Sunday 13th March 2016.
Sevilla,4,Villarreal,2, Sunday 13th March 2016.
Athletic Bilbao,3,Real Betis,1, Sunday 13th March 2016.
