Home Team,Home Score,Away Team,Away Score,Match Date
1. FC Union Berlin,3,Fortuna Dusseldorf,0, Saturday 27th June 2020.
Bayer Leverkusen,1,Mainz,0, Saturday 27th June 2020.
Borussia Dortmund,0,Hoffenheim,4, Saturday 27th June 2020.
Eintracht Frankfurt,3,SC Paderborn 07,2, Saturday 27th June 2020.
FC Augsburg,1,RB Leipzig,2, Saturday 27th June 2020.
M'gladbach,2,Hertha Berlin,1, Saturday 27th June 2020.
SC Freiburg,4,Schalke,0, Saturday 27th June 2020.
Werder Bremen,6,Cologne,1, Saturday 27th June 2020.
Wolfsburg,0,Bayern Munich,4, Saturday 27th June 2020.
Bayern Munich,3,SC Freiburg,1, Saturday 20th June 2020.
Cologne,1,Eintracht Frankfurt,1, Saturday 20th June 2020.
Fortuna Dusseldorf,1,FC Augsburg,1, Saturday 20th June 2020.
Hertha Berlin,2,Bayer Leverkusen,0, Saturday 20th June 2020.
Hoffenheim,4,1. FC Union Berlin,0, Saturday 20th June 2020.
Mainz,3,Werder Bremen,1, Saturday 20th June 2020.
RB Leipzig,0,Borussia Dortmund,2, Saturday 20th June 2020.
SC Paderborn 07,1,M'gladbach,3, Saturday 20th June 2020.
Schalke,1,Wolfsburg,4, Saturday 20th June 2020.
Eintracht Frankfurt,2,Schalke,1, Wednesday 17th June 2020.
Bayer Leverkusen,3,Cologne,1, Wednesday 17th June 2020.
Borussia Dortmund,0,Mainz,2, Wednesday 17th June 2020.
FC Augsburg,1,Hoffenheim,3, Wednesday 17th June 2020.
RB Leipzig,2,Fortuna Dusseldorf,2, Wednesday 17th June 2020.
M'gladbach,3,Wolfsburg,0, Tuesday 16th June 2020.
1. FC Union Berlin,1,SC Paderborn 07,0, Tuesday 16th June 2020.
SC Freiburg,2,Hertha Berlin,1, Tuesday 16th June 2020.
Werder Bremen,0,Bayern Munich,1, Tuesday 16th June 2020.
Mainz,0,FC Augsburg,1, Sunday 14th June 2020.
Schalke,1,Bayer Leverkusen,1, Sunday 14th June 2020.
Cologne,1,1. FC Union Berlin,2, Saturday 13th June 2020.
Fortuna Dusseldorf,0,Borussia Dortmund,1, Saturday 13th June 2020.
Hertha Berlin,1,Eintracht Frankfurt,4, Saturday 13th June 2020.
SC Paderborn 07,1,Werder Bremen,5, Saturday 13th June 2020.
Wolfsburg,2,SC Freiburg,2, Saturday 13th June 2020.
Bayern Munich,2,M'gladbach,1, Saturday 13th June 2020.
Hoffenheim,0,RB Leipzig,2, Friday 12th June 2020.
Werder Bremen,0,Wolfsburg,1, Sunday 7th June 2020.
1. FC Union Berlin,1,Schalke,1, Sunday 7th June 2020.
FC Augsburg,1,Cologne,1, Sunday 7th June 2020.
Bayer Leverkusen,2,Bayern Munich,4, Saturday 6th June 2020.
Eintracht Frankfurt,0,Mainz,2, Saturday 6th June 2020.
Fortuna Dusseldorf,2,Hoffenheim,2, Saturday 6th June 2020.
RB Leipzig,1,SC Paderborn 07,1, Saturday 6th June 2020.
Borussia Dortmund,1,Hertha Berlin,0, Saturday 6th June 2020.
SC Freiburg,1,M'gladbach,0, Friday 5th June 2020.
Werder Bremen,0,Eintracht Frankfurt,3, Wednesday 3rd June 2020.
Cologne,2,RB Leipzig,4, Monday 1st June 2020.
M'gladbach,4,1. FC Union Berlin,1, Sunday 31st May 2020.
SC Paderborn 07,1,Borussia Dortmund,6, Sunday 31st May 2020.
Hertha Berlin,2,FC Augsburg,0, Saturday 30th May 2020.
Mainz,0,Hoffenheim,1, Saturday 30th May 2020.
Schalke,0,Werder Bremen,1, Saturday 30th May 2020.
Wolfsburg,1,Eintracht Frankfurt,2, Saturday 30th May 2020.
Bayern Munich,5,Fortuna Dusseldorf,0, Saturday 30th May 2020.
SC Freiburg,0,Bayer Leverkusen,1, Friday 29th May 2020.
RB Leipzig,2,Hertha Berlin,2, Wednesday 27th May 2020.
1. FC Union Berlin,1,Mainz,1, Wednesday 27th May 2020.
FC Augsburg,0,SC Paderborn 07,0, Wednesday 27th May 2020.
Fortuna Dusseldorf,2,Schalke,1, Wednesday 27th May 2020.
Hoffenheim,3,Cologne,1, Wednesday 27th May 2020.
Borussia Dortmund,0,Bayern Munich,1, Tuesday 26th May 2020.
Bayer Leverkusen,1,Wolfsburg,4, Tuesday 26th May 2020.
Eintracht Frankfurt,3,SC Freiburg,3, Tuesday 26th May 2020.
Werder Bremen,0,M'gladbach,0, Tuesday 26th May 2020.
Schalke,0,FC Augsburg,3, Sunday 24th May 2020.
Mainz,0,RB Leipzig,5, Sunday 24th May 2020.
Cologne,2,Fortuna Dusseldorf,2, Sunday 24th May 2020.
M'gladbach,1,Bayer Leverkusen,3, Saturday 23rd May 2020.
SC Freiburg,0,Werder Bremen,1, Saturday 23rd May 2020.
SC Paderborn 07,1,Hoffenheim,1, Saturday 23rd May 2020.
Wolfsburg,0,Borussia Dortmund,2, Saturday 23rd May 2020.
Bayern Munich,5,Eintracht Frankfurt,2, Saturday 23rd May 2020.
Hertha Berlin,4,1. FC Union Berlin,0, Friday 22nd May 2020.
Werder Bremen,1,Bayer Leverkusen,4, Monday 18th May 2020.
Cologne,2,Mainz,2, Sunday 17th May 2020.
1. FC Union Berlin,0,Bayern Munich,2, Sunday 17th May 2020.
