Home Team,Home Score,Away Team,Away Score,Match Date
Burnley,1,Bournemouth,2, Sunday 13th May 2018.
Crystal Palace,2,West Bromwich Albion,0, Sunday 13th May 2018.
Huddersfield Town,0,Arsenal,1, Sunday 13th May 2018.
Liverpool,4,Brighton and Hove Albion,0, Sunday 13th May 2018.
Manchester United,1,Watford,0, Sunday 13th May 2018.
Newcastle United,3,Chelsea,0, Sunday 13th May 2018.
Southampton,0,Manchester City,1, Sunday 13th May 2018.
Swansea City,1,Stoke City,2, Sunday 13th May 2018.
Tottenham Hotspur,5,Leicester City,4, Sunday 13th May 2018.
West Ham United,3,Everton,1, Sunday 13th May 2018.
West Ham United,0,Manchester United,0, Thursday 10th May 2018.
Chelsea,1,Huddersfield Town,1, Wednesday 9th May 2018.
Leicester City,3,Arsenal,1, Wednesday 9th May 2018.
Manchester City,3,Brighton and Hove Albion,1, Wednesday 9th May 2018.
Tottenham Hotspur,1,Newcastle United,0, Wednesday 9th May 2018.
Swansea City,0,Southampton,1, Tuesday 8th May 2018.
Manchester City,0,Huddersfield Town,0, Sunday 6th May 2018.
Arsenal,5,Burnley,0, Sunday 6th May 2018.
Chelsea,1,Liverpool,0, Sunday 6th May 2018.
Stoke City,1,Crystal Palace,2, Saturday 5th May 2018.
Bournemouth,1,Swansea City,0, Saturday 5th May 2018.
Leicester City,0,West Ham United,2, Saturday 5th May 2018.
Watford,2,Newcastle United,1, Saturday 5th May 2018.
West Bromwich Albion,1,Tottenham Hotspur,0, Saturday 5th May 2018.
Everton,1,Southampton,1, Saturday 5th May 2018.
Brighton and Hove Albion,1,Manchester United,0, Friday 4th May 2018.
Tottenham Hotspur,2,Watford,0, Monday 30th April 2018.
West Ham United,1,Manchester City,4, Sunday 29th April 2018.
Manchester United,2,Arsenal,1, Sunday 29th April 2018.
Liverpool,0,Stoke City,0, Saturday 28th April 2018.
Burnley,0,Brighton and Hove Albion,0, Saturday 28th April 2018.
Crystal Palace,5,Leicester City,0, Saturday 28th April 2018.
Huddersfield Town,0,Everton,2, Saturday 28th April 2018.
Newcastle United,0,West Bromwich Albion,1, Saturday 28th April 2018.
Southampton,2,Bournemouth,1, Saturday 28th April 2018.
Swansea City,0,Chelsea,1, Saturday 28th April 2018.
Everton,1,Newcastle United,0, Monday 23rd April 2018.
Arsenal,4,West Ham United,1, Sunday 22nd April 2018.
Stoke City,1,Burnley,1, Sunday 22nd April 2018.
Manchester City,5,Swansea City,0, Sunday 22nd April 2018.
West Bromwich Albion,2,Liverpool,2, Saturday 21st April 2018.
Watford,0,Crystal Palace,0, Saturday 21st April 2018.
Burnley,1,Chelsea,2, Thursday 19th April 2018.
Leicester City,0,Southampton,0, Thursday 19th April 2018.
Bournemouth,0,Manchester United,2, Wednesday 18th April 2018.
Brighton and Hove Albion,1,Tottenham Hotspur,1, Tuesday 17th April 2018.
West Ham United,1,Stoke City,1, Monday 16th April 2018.
Newcastle United,2,Arsenal,1, Sunday 15th April 2018.
