Home Team,Home Score,Away Team,Away Score,Match Date
Barnsley,3,Millwall,1, Sunday 29th May 2016.
Millwall,1,Bradford City,1, Friday 20th May 2016.
Walsall,1,Barnsley,3, Thursday 19th May 2016.
Bradford City,1,Millwall,3, Sunday 15th May 2016.
Barnsley,3,Walsall,0, Saturday 14th May 2016.
Bradford City,2,Chesterfield,0, Sunday 8th May 2016.
Bury,3,Southend United,2, Sunday 8th May 2016.
Colchester United,1,Rochdale,2, Sunday 8th May 2016.
Doncaster Rovers,0,Burton Albion,0, Sunday 8th May 2016.
Fleetwood Town,2,Crewe Alexandra,0,https://www.skysports.com/football/fleetwood-town-vs-crewe-alexandra/340627
Gillingham,1,Millwall,2, Sunday 8th May 2016.
Oldham Athletic,0,Coventry City,2, Sunday 8th May 2016.
Peterborough United,5,Blackpool,1, Sunday 8th May 2016.
Port Vale,0,Walsall,5, Sunday 8th May 2016.
Sheffield United,0,Scunthorpe United,2, Sunday 8th May 2016.
Swindon Town,3,Shrewsbury Town,0, Sunday 8th May 2016.
Wigan Athletic,1,Barnsley,4, Sunday 8th May 2016.
Walsall,3,Fleetwood Town,1, Monday 2nd May 2016.
Blackpool,0,Wigan Athletic,4, Saturday 30th April 2016.
Barnsley,2,Colchester United,2, Saturday 30th April 2016.
Burton Albion,2,Gillingham,1, Saturday 30th April 2016.
Chesterfield,3,Bury,0, Saturday 30th April 2016.
Coventry City,3,Sheffield United,1, Saturday 30th April 2016.
Crewe Alexandra,3,Doncaster Rovers,1, Saturday 30th April 2016.
Millwall,3,Oldham Athletic,0, Saturday 30th April 2016.
Rochdale,2,Swindon Town,2, Saturday 30th April 2016.
Scunthorpe United,1,Port Vale,0, Saturday 30th April 2016.
Shrewsbury Town,3,Peterborough United,4, Saturday 30th April 2016.
Southend United,0,Bradford City,1, Saturday 30th April 2016.
Walsall,2,Shrewsbury Town,1, Tuesday 26th April 2016.
Sheffield United,0,Barnsley,0, Saturday 23rd April 2016.
Bradford City,4,Walsall,0, Saturday 23rd April 2016.
Bury,1,Millwall,3, Saturday 23rd April 2016.
Colchester United,0,Burton Albion,3, Saturday 23rd April 2016.
Doncaster Rovers,2,Coventry City,0, Saturday 23rd April 2016.
Fleetwood Town,0,Blackpool,0, Saturday 23rd April 2016.
Gillingham,2,Shrewsbury Town,3, Saturday 23rd April 2016.
Oldham Athletic,1,Crewe Alexandra,0, Saturday 23rd April 2016.
Peterborough United,0,Scunthorpe United,2, Saturday 23rd April 2016.
Port Vale,4,Rochdale,1, Saturday 23rd April 2016.
Swindon Town,1,Chesterfield,0, Saturday 23rd April 2016.
Wigan Athletic,4,Southend United,1, Saturday 23rd April 2016.
Barnsley,1,Peterborough United,0, Tuesday 19th April 2016.
Burton Albion,1,Wigan Athletic,1, Tuesday 19th April 2016.
Chesterfield,1,Doncaster Rovers,1, Tuesday 19th April 2016.
Coventry City,1,Bradford City,0, Tuesday 19th April 2016.
Crewe Alexandra,1,Colchester United,1, Tuesday 19th April 2016.
Millwall,1,Fleetwood Town,0, Tuesday 19th April 2016.
Rochdale,1,Gillingham,1, Tuesday 19th April 2016.
Scunthorpe United,2,Bury,1, Tuesday 19th April 2016.
Shrewsbury Town,1,Sheffield United,2, Tuesday 19th April 2016.
Southend United,0,Oldham Athletic,1, Tuesday 19th April 2016.
Walsall,1,Swindon Town,1, Tuesday 19th April 2016.
Chesterfield,0,Sheffield United,3, Saturday 16th April 2016.
Burton Albion,0,Barnsley,0, Saturday 16th April 2016.
Colchester United,1,Peterborough United,4, Saturday 16th April 2016.
Coventry City,2,Millwall,1, Saturday 16th April 2016.
Crewe Alexandra,2,Scunthorpe United,3, Saturday 16th April 2016.
Doncaster Rovers,3,Wigan Athletic,1, Saturday 16th April 2016.
Fleetwood Town,1,Oldham Athletic,1,https://www.skysports.com/football/fleetwood-town-vs-oldham-athletic/340581
Gillingham,0,Port Vale,2, Saturday 16th April 2016.
Rochdale,3,Blackpool,0, Saturday 16th April 2016.
Shrewsbury Town,1,Bradford City,1, Saturday 16th April 2016.
Swindon Town,0,Bury,1, Saturday 16th April 2016.
Walsall,1,Southend United,0, Saturday 16th April 2016.
Barnsley,2,Oldham Athletic,1, Tuesday 12th April 2016.
Gillingham,1,Walsall,2, Tuesday 12th April 2016.
Barnsley,1,Chesterfield,2, Saturday 9th April 2016.
Blackpool,0,Colchester United,1, Saturday 9th April 2016.
Bradford City,1,Swindon Town,0, Saturday 9th April 2016.
Bury,1,Doncaster Rovers,0, Saturday 9th April 2016.
Millwall,3,Shrewsbury Town,1, Saturday 9th April 2016.
