Home Team,Home Score,Away Team,Away Score,Match Date
Real Madrid,0,Real Betis,2, Sunday 19th May 2019.
Eibar,2,Barcelona,2, Sunday 19th May 2019.
Levante,2,Atletico Madrid,2, Saturday 18th May 2019.
Espanyol,2,Real Sociedad,0, Saturday 18th May 2019.
Getafe,2,Villarreal,2, Saturday 18th May 2019.
Real Valladolid,0,Valencia,2, Saturday 18th May 2019.
Sevilla,2,Athletic Bilbao,0, Saturday 18th May 2019.
Alaves,2,Girona,1, Saturday 18th May 2019.
Celta Vigo,2,Rayo Vallecano,2, Saturday 18th May 2019.
SD Huesca,2,Leganes,1, Saturday 18th May 2019.
Athletic Bilbao,3,Celta Vigo,1, Sunday 12th May 2019.
Atletico Madrid,1,Sevilla,1, Sunday 12th May 2019.
Barcelona,2,Getafe,0, Sunday 12th May 2019.
Girona,1,Levante,2, Sunday 12th May 2019.
Leganes,0,Espanyol,2, Sunday 12th May 2019.
Rayo Vallecano,1,Real Valladolid,2, Sunday 12th May 2019.
Real Betis,2,SD Huesca,1, Sunday 12th May 2019.
Real Sociedad,3,Real Madrid,1, Sunday 12th May 2019.
Valencia,3,Alaves,1, Sunday 12th May 2019.
Villarreal,1,Eibar,0, Sunday 12th May 2019.
Getafe,2,Girona,0, Sunday 5th May 2019.
Eibar,1,Real Betis,0, Sunday 5th May 2019.
Real Madrid,3,Villarreal,2, Sunday 5th May 2019.
Real Valladolid,1,Athletic Bilbao,0, Sunday 5th May 2019.
SD Huesca,2,Valencia,6, Sunday 5th May 2019.
Levante,4,Rayo Vallecano,1, Saturday 4th May 2019.
Espanyol,3,Atletico Madrid,0, Saturday 4th May 2019.
Alaves,0,Real Sociedad,1, Saturday 4th May 2019.
Celta Vigo,2,Barcelona,0, Saturday 4th May 2019.
Sevilla,0,Leganes,3, Friday 3rd May 2019.
Real Betis,1,Espanyol,1, Monday 29th April 2019.
Valencia,0,Eibar,1, Sunday 28th April 2019.
Girona,1,Sevilla,0, Sunday 28th April 2019.
Real Sociedad,2,Getafe,1, Sunday 28th April 2019.
Villarreal,1,SD Huesca,1, Sunday 28th April 2019.
Rayo Vallecano,1,Real Madrid,0, Sunday 28th April 2019.
Athletic Bilbao,1,Alaves,1, Saturday 27th April 2019.
Atletico Madrid,1,Real Valladolid,0, Saturday 27th April 2019.
Leganes,0,Celta Vigo,0, Saturday 27th April 2019.
Barcelona,1,Levante,0, Saturday 27th April 2019.
Sevilla,5,Rayo Vallecano,0, Thursday 25th April 2019.
Real Sociedad,0,Villarreal,1, Thursday 25th April 2019.
Getafe,0,Real Madrid,0, Thursday 25th April 2019.
Atletico Madrid,3,Valencia,2, Wednesday 24th April 2019.
Espanyol,1,Celta Vigo,1, Wednesday 24th April 2019.
Leganes,0,Athletic Bilbao,1, Wednesday 24th April 2019.
Levante,4,Real Betis,0, Wednesday 24th April 2019.
SD Huesca,2,Eibar,0, Tuesday 23rd April 2019.
Real Valladolid,1,Girona,0, Tuesday 23rd April 2019.
Alaves,0,Barcelona,2, Tuesday 23rd April 2019.
Levante,2,Espanyol,2, Sunday 21st April 2019.
Getafe,3,Sevilla,0, Sunday 21st April 2019.
Real Madrid,3,Athletic Bilbao,0, Sunday 21st April 2019.
Villarreal,2,Leganes,1, Sunday 21st April 2019.
Real Betis,1,Valencia,2, Sunday 21st April 2019.
Celta Vigo,2,Girona,1, Saturday 20th April 2019.
Eibar,0,Atletico Madrid,1, Saturday 20th April 2019.
Rayo Vallecano,0,SD Huesca,0, Saturday 20th April 2019.
Barcelona,2,Real Sociedad,1, Saturday 20th April 2019.
Alaves,2,Real Valladolid,2, Friday 19th April 2019.
Leganes,1,Real Madrid,1, Monday 15th April 2019.
Real Valladolid,2,Getafe,2, Sunday 14th April 2019.
Athletic Bilbao,3,Rayo Vallecano,2, Sunday 14th April 2019.
Real Sociedad,1,Eibar,1, Sunday 14th April 2019.
Girona,0,Villarreal,1, Sunday 14th April 2019.
Valencia,3,Levante,1, Sunday 14th April 2019.
Espanyol,2,Alaves,1, Saturday 13th April 2019.
SD Huesca,0,Barcelona,0, Saturday 13th April 2019.
Atletico Madrid,2,Celta Vigo,0, Saturday 13th April 2019.
Sevilla,3,Real Betis,2, Saturday 13th April 2019.
Alaves,1,Leganes,1, Sunday 7th April 2019.
Getafe,1,Athletic Bilbao,0, Sunday 7th April 2019.
Real Valladolid,0,Sevilla,2, Sunday 7th April 2019.
Celta Vigo,3,Real Sociedad,1, Sunday 7th April 2019.
Levante,2,SD Huesca,2, Sunday 7th April 2019.
Real Betis,2,Villarreal,1, Sunday 7th April 2019.
Girona,1,Espanyol,2, Saturday 6th April 2019.
Real Madrid,2,Eibar,1, Saturday 6th April 2019.
Rayo Vallecano,2,Valencia,0, Saturday 6th April 2019.
Barcelona,2,Atletico Madrid,0, Saturday 6th April 2019.
Sevilla,2,Alaves,0, Thursday 4th April 2019.
Leganes,1,Real Valladolid,0, Thursday 4th April 2019.
Real Sociedad,2,Real Betis,1, Thursday 4th April 2019.
Athletic Bilbao,3,Levante,2, Wednesday 3rd April 2019.
Eibar,2,Rayo Vallecano,1, Wednesday 3rd April 2019.
SD Huesca,3,Celta Vigo,3, Wednesday 3rd April 2019.
Valencia,2,Real Madrid,1, Wednesday 3rd April 2019.
Atletico Madrid,2,Girona,0, Tuesday 2nd April 2019.
Espanyol,1,Getafe,1, Tuesday 2nd April 2019.
Villarreal,4,Barcelona,4, Tuesday 2nd April 2019.
Levante,2,Eibar,2, Sunday 31st March 2019.
Rayo Vallecano,1,Real Betis,1, Sunday 31st March 2019.
Sevilla,0,Valencia,1, Sunday 31st March 2019.
Real Valladolid,1,Real Sociedad,1, Sunday 31st March 2019.
Real Madrid,3,SD Huesca,2, Sunday 31st March 2019.
Getafe,0,Leganes,2, Saturday 30th March 2019.
Barcelona,2,Espanyol,0, Saturday 30th March 2019.
Celta Vigo,3,Villarreal,2, Saturday 30th March 2019.
Alaves,0,Atletico Madrid,4, Saturday 30th March 2019.
Girona,1,Athletic Bilbao,2, Friday 29th March 2019.
Eibar,1,Real Valladolid,2, Sunday 17th March 2019.
Espanyol,0,Sevilla,1, Sunday 17th March 2019.
Valencia,0,Getafe,0, Sunday 17th March 2019.
Villarreal,3,Rayo Vallecano,1, Sunday 17th March 2019.
Real Betis,1,Barcelona,4, Sunday 17th March 2019.
SD Huesca,1,Alaves,3, Saturday 16th March 2019.
Real Madrid,2,Celta Vigo,0, Saturday 16th March 2019.
