Home Team,Home Score,Away Team,Away Score,Match Date
Cheltenham Town,0,Crewe Alexandra,2, Sunday 27th May 2012.
Torquay United,1,Cheltenham Town,2, Thursday 17th May 2012.
Southend United,2,Crewe Alexandra,2, Wednesday 16th May 2012.
Cheltenham Town,2,Torquay United,0, Sunday 13th May 2012.
Crewe Alexandra,1,Southend United,0, Saturday 12th May 2012.
AFC Wimbledon,3,Shrewsbury Town,1, Saturday 5th May 2012.
Accrington Stanley,0,Crawley Town,1, Saturday 5th May 2012.
Bradford City,0,Swindon Town,0, Saturday 5th May 2012.
Burton Albion,1,Barnet,2, Saturday 5th May 2012.
Crewe Alexandra,2,Aldershot Town,2, Saturday 5th May 2012.
Dagenham & Redbridge,4,Bristol Rovers,0, Saturday 5th May 2012.
Gillingham,2,Morecambe,0, Saturday 5th May 2012.
Hereford FC,3,Torquay United,2, Saturday 5th May 2012.
Plymouth Argyle,1,Cheltenham Town,2, Saturday 5th May 2012.
Port Vale,3,Oxford United,0, Saturday 5th May 2012.
Rotherham United,1,Northampton Town,1, Saturday 5th May 2012.
Southend United,2,Macclesfield Town,0, Saturday 5th May 2012.
Aldershot Town,2,Rotherham United,2, Saturday 28th April 2012.
Barnet,4,AFC Wimbledon,0, Saturday 28th April 2012.
Bristol Rovers,5,Accrington Stanley,1, Saturday 28th April 2012.
Cheltenham Town,3,Bradford City,1, Saturday 28th April 2012.
Crawley Town,0,Hereford FC,3, Saturday 28th April 2012.
Macclesfield Town,0,Burton Albion,2, Saturday 28th April 2012.
Morecambe,2,Plymouth Argyle,2, Saturday 28th April 2012.
Northampton Town,1,Gillingham,1, Saturday 28th April 2012.
Oxford United,0,Southend United,2, Saturday 28th April 2012.
Shrewsbury Town,1,Dagenham & Redbridge,0, Saturday 28th April 2012.
Swindon Town,5,Port Vale,0, Saturday 28th April 2012.
Torquay United,1,Crewe Alexandra,1, Saturday 28th April 2012.
AFC Wimbledon,2,Torquay United,0, Saturday 21st April 2012.
Accrington Stanley,1,Shrewsbury Town,1, Saturday 21st April 2012.
Bradford City,1,Macclesfield Town,0, Saturday 21st April 2012.
Burton Albion,0,Aldershot Town,4, Saturday 21st April 2012.
Crewe Alexandra,1,Cheltenham Town,0, Saturday 21st April 2012.
Dagenham & Redbridge,1,Crawley Town,1, Saturday 21st April 2012.
Gillingham,3,Swindon Town,1, Saturday 21st April 2012.
Hereford FC,0,Northampton Town,0, Saturday 21st April 2012.
Plymouth Argyle,1,Oxford United,1, Saturday 21st April 2012.
Port Vale,1,Bristol Rovers,0, Saturday 21st April 2012.
Rotherham United,3,Morecambe,2, Saturday 21st April 2012.
Southend United,3,Barnet,0, Friday 20th April 2012.
Aldershot Town,2,Swindon Town,1, Tuesday 17th April 2012.
Crawley Town,3,Northampton Town,1, Tuesday 17th April 2012.
Shrewsbury Town,1,Port Vale,0, Tuesday 17th April 2012.
Aldershot Town,1,Dagenham & Redbridge,1, Saturday 14th April 2012.
Bristol Rovers,7,Burton Albion,1, Saturday 14th April 2012.
Cheltenham Town,4,Accrington Stanley,1, Saturday 14th April 2012.
Crawley Town,1,AFC Wimbledon,1, Saturday 14th April 2012.
Macclesfield Town,2,Crewe Alexandra,2, Saturday 14th April 2012.
Morecambe,0,Port Vale,0, Saturday 14th April 2012.
Northampton Town,1,Bradford City,3, Saturday 14th April 2012.
Oxford United,0,Gillingham,0, Saturday 14th April 2012.
Shrewsbury Town,3,Rotherham United,1, Saturday 14th April 2012.
Swindon Town,1,Plymouth Argyle,0, Saturday 14th April 2012.
Torquay United,0,Southend United,0, Saturday 14th April 2012.
Barnet,1,Hereford FC,1, Friday 13th April 2012.
Accrington Stanley,2,Hereford FC,1, Monday 9th April 2012.
Barnet,1,Crawley Town,2, Monday 9th April 2012.
Burton Albion,3,Morecambe,2, Monday 9th April 2012.
Crewe Alexandra,3,Bristol Rovers,0, Monday 9th April 2012.
Gillingham,1,Dagenham & Redbridge,2, Monday 9th April 2012.
Oxford United,2,Torquay United,2, Monday 9th April 2012.
Plymouth Argyle,1,Aldershot Town,0, Monday 9th April 2012.
Port Vale,1,Macclesfield Town,0, Monday 9th April 2012.
Rotherham United,1,Cheltenham Town,0, Monday 9th April 2012.
Shrewsbury Town,1,Bradford City,0, Monday 9th April 2012.
Southend United,2,AFC Wimbledon,0, Monday 9th April 2012.
Swindon Town,1,Northampton Town,0, Monday 9th April 2012.
AFC Wimbledon,1,Rotherham United,2, Friday 6th April 2012.
Aldershot Town,1,Port Vale,2, Friday 6th April 2012.
Bradford City,2,Southend United,0, Friday 6th April 2012.
Bristol Rovers,2,Gillingham,2, Friday 6th April 2012.
Cheltenham Town,2,Barnet,0, Friday 6th April 2012.
Crawley Town,1,Crewe Alexandra,1, Friday 6th April 2012.
Dagenham & Redbridge,1,Burton Albion,1, Friday 6th April 2012.
Hereford FC,1,Plymouth Argyle,1, Friday 6th April 2012.
Morecambe,0,Swindon Town,1, Friday 6th April 2012.
Torquay United,1,Accrington Stanley,0, Friday 6th April 2012.
Macclesfield Town,1,Shrewsbury Town,3, Friday 6th April 2012.
Northampton Town,2,Oxford United,1, Friday 6th April 2012.
Barnet,0,Swindon Town,2, Tuesday 3rd April 2012.
Accrington Stanley,2,AFC Wimbledon,1, Saturday 31st March 2012.
Burton Albion,0,Crawley Town,0, Saturday 31st March 2012.
Crewe Alexandra,1,Northampton Town,1, Saturday 31st March 2012.
Gillingham,2,Macclesfield Town,0, Saturday 31st March 2012.
Oxford United,1,Morecambe,2, Saturday 31st March 2012.
Plymouth Argyle,1,Bradford City,0, Saturday 31st March 2012.
Port Vale,0,Dagenham & Redbridge,1, Saturday 31st March 2012.
Rotherham United,1,Hereford FC,0, Saturday 31st March 2012.
Shrewsbury Town,1,Aldershot Town,1, Saturday 31st March 2012.
Swindon Town,0,Bristol Rovers,0, Saturday 31st March 2012.
Southend United,4,Cheltenham Town,0, Friday 30th March 2012.
Barnet,0,Torquay United,1, Friday 30th March 2012.
Accrington Stanley,0,Oxford United,2, Tuesday 27th March 2012.
Aldershot Town,1,Bristol Rovers,0, Tuesday 27th March 2012.
Bradford City,1,Crawley Town,2, Tuesday 27th March 2012.
Burton Albion,1,Gillingham,0, Tuesday 27th March 2012.
AFC Wimbledon,4,Burton Albion,0, Saturday 24th March 2012.
Bradford City,2,Gillingham,2, Saturday 24th March 2012.
Bristol Rovers,1,Southend United,0, Saturday 24th March 2012.
Cheltenham Town,0,Oxford United,0, Saturday 24th March 2012.
Crawley Town,3,Rotherham United,0, Saturday 24th March 2012.
Dagenham & Redbridge,2,Accrington Stanley,1, Saturday 24th March 2012.
Hereford FC,0,Crewe Alexandra,1, Saturday 24th March 2012.
Morecambe,0,Shrewsbury Town,1, Saturday 24th March 2012.
Northampton Town,0,Plymouth Argyle,0, Saturday 24th March 2012.
Torquay United,2,Port Vale,1, Saturday 24th March 2012.
Macclesfield Town,0,Barnet,0, Friday 23rd March 2012.
Accrington Stanley,1,Morecambe,1, Tuesday 20th March 2012.
Barnet,2,Dagenham & Redbridge,2, Tuesday 20th March 2012.
Burton Albion,0,Northampton Town,1, Tuesday 20th March 2012.
Crewe Alexandra,1,Bradford City,0,https://www.skysports.com/football/crewe-alexandra-vs-bradford-city/237574
Gillingham,0,Crawley Town,1, Tuesday 20th March 2012.
Oxford United,1,AFC Wimbledon,0, Tuesday 20th March 2012.
Plymouth Argyle,1,Bristol Rovers,1, Tuesday 20th March 2012.
Port Vale,1,Hereford FC,0, Tuesday 20th March 2012.
Rotherham United,4,Macclesfield Town,2, Tuesday 20th March 2012.
Shrewsbury Town,2,Cheltenham Town,0, Tuesday 20th March 2012.
Southend United,0,Aldershot Town,1, Tuesday 20th March 2012.
Swindon Town,2,Torquay United,0, Tuesday 20th March 2012.
Accrington Stanley,2,Northampton Town,1, Saturday 17th March 2012.
Aldershot Town,1,Bradford City,0, Saturday 17th March 2012.
Barnet,0,Morecambe,2, Saturday 17th March 2012.
Bristol Rovers,1,AFC Wimbledon,0, Saturday 17th March 2012.
Burton Albion,1,Torquay United,4, Saturday 17th March 2012.
Cheltenham Town,0,Gillingham,3, Saturday 17th March 2012.
Crawley Town,3,Port Vale,2, Saturday 17th March 2012.
Crewe Alexandra,2,Swindon Town,0, Saturday 17th March 2012.
Dagenham & Redbridge,2,Macclesfield Town,0, Saturday 17th March 2012.
Hereford FC,2,Southend United,3, Saturday 17th March 2012.
Oxford United,2,Rotherham United,1, Saturday 17th March 2012.
Plymouth Argyle,1,Shrewsbury Town,0, Saturday 17th March 2012.
AFC Wimbledon,3,Bradford City,1, Tuesday 13th March 2012.
Crawley Town,2,Aldershot Town,2, Tuesday 13th March 2012.
Dagenham & Redbridge,0,Northampton Town,1, Tuesday 13th March 2012.
Rotherham United,0,Torquay United,1, Tuesday 13th March 2012.
AFC Wimbledon,2,Dagenham & Redbridge,1, Saturday 10th March 2012.
Bradford City,2,Oxford United,1, Saturday 10th March 2012.
Gillingham,3,Crewe Alexandra,4, Saturday 10th March 2012.
Macclesfield Town,2,Crawley Town,2, Saturday 10th March 2012.
Morecambe,0,Hereford FC,1, Saturday 10th March 2012.
Northampton Town,3,Aldershot Town,1, Saturday 10th March 2012.
Port Vale,1,Barnet,2, Saturday 10th March 2012.
Rotherham United,1,Plymouth Argyle,0, Saturday 10th March 2012.
Shrewsbury Town,1,Burton Albion,0, Saturday 10th March 2012.
Southend United,2,Accrington Stanley,2, Saturday 10th March 2012.
Swindon Town,1,Cheltenham Town,0, Saturday 10th March 2012.
Torquay United,2,Bristol Rovers,2, Saturday 10th March 2012.
AFC Wimbledon,1,Plymouth Argyle,2, Tuesday 6th March 2012.
Bradford City,1,Accrington Stanley,1, Tuesday 6th March 2012.
Gillingham,3,Barnet,1, Tuesday 6th March 2012.
Macclesfield Town,2,Hereford FC,2, Tuesday 6th March 2012.
Morecambe,3,Cheltenham Town,1, Tuesday 6th March 2012.
Northampton Town,3,Bristol Rovers,2, Tuesday 6th March 2012.
Port Vale,3,Burton Albion,0, Tuesday 6th March 2012.
Rotherham United,1,Crewe Alexandra,1, Tuesday 6th March 2012.
Shrewsbury Town,2,Oxford United,2, Tuesday 6th March 2012.
Swindon Town,4,Dagenham & Redbridge,0, Tuesday 6th March 2012.
Torquay United,1,Aldershot Town,0, Tuesday 6th March 2012.
Southend United,0,Crawley Town,0, Monday 5th March 2012.
Oxford United,2,Swindon Town,0, Saturday 3rd March 2012.
Accrington Stanley,2,Port Vale,2, Saturday 3rd March 2012.
Aldershot Town,1,Morecambe,0, Saturday 3rd March 2012.
Barnet,1,Rotherham United,1, Saturday 3rd March 2012.
Bristol Rovers,0,Macclesfield Town,0, Saturday 3rd March 2012.
Burton Albion,0,Southend United,2, Saturday 3rd March 2012.
Cheltenham Town,2,Northampton Town,2, Saturday 3rd March 2012.
Crawley Town,0,Torquay United,1, Saturday 3rd March 2012.
Crewe Alexandra,1,Shrewsbury Town,1, Saturday 3rd March 2012.
Dagenham & Redbridge,1,Bradford City,0, Saturday 3rd March 2012.
Hereford FC,2,AFC Wimbledon,1, Saturday 3rd March 2012.
Plymouth Argyle,0,Gillingham,1, Saturday 3rd March 2012.
Barnet,0,Bradford City,4, Tuesday 28th February 2012.
Gillingham,5,Hereford FC,4, Tuesday 28th February 2012.
Macclesfield Town,1,Plymouth Argyle,1, Tuesday 28th February 2012.
Morecambe,1,Dagenham & Redbridge,2, Tuesday 28th February 2012.
Port Vale,1,Crewe Alexandra,1, Tuesday 28th February 2012.
Swindon Town,2,Burton Albion,0, Tuesday 28th February 2012.
Shrewsbury Town,2,Crawley Town,1, Monday 27th February 2012.
Aldershot Town,4,Barnet,1, Saturday 25th February 2012.
Bradford City,1,Hereford FC,1, Saturday 25th February 2012.
Cheltenham Town,2,Burton Albion,0, Saturday 25th February 2012.
Crewe Alexandra,3,AFC Wimbledon,3, Saturday 25th February 2012.
Gillingham,2,Torquay United,0, Saturday 25th February 2012.
Morecambe,1,Southend United,0, Saturday 25th February 2012.
Northampton Town,1,Port Vale,2, Saturday 25th February 2012.
Oxford United,1,Macclesfield Town,1, Saturday 25th February 2012.
Plymouth Argyle,0,Dagenham & Redbridge,0, Saturday 25th February 2012.
Rotherham United,0,Bristol Rovers,1, Saturday 25th February 2012.
Swindon Town,2,Accrington Stanley,0, Saturday 25th February 2012.
Crawley Town,1,Morecambe,1, Wednesday 22nd February 2012.
Aldershot Town,2,Southend United,0, Tuesday 21st February 2012.
Cheltenham Town,0,AFC Wimbledon,0, Tuesday 21st February 2012.
Crewe Alexandra,2,Accrington Stanley,0, Tuesday 21st February 2012.
Gillingham,0,Rotherham United,0, Tuesday 21st February 2012.
Northampton Town,3,Macclesfield Town,2, Tuesday 21st February 2012.
Oxford United,2,Barnet,1, Tuesday 21st February 2012.
Swindon Town,2,Shrewsbury Town,1, Tuesday 21st February 2012.
AFC Wimbledon,1,Morecambe,1, Saturday 18th February 2012.
Accrington Stanley,0,Plymouth Argyle,4, Saturday 18th February 2012.
Barnet,1,Shrewsbury Town,2, Saturday 18th February 2012.
Bristol Rovers,0,Oxford United,0, Saturday 18th February 2012.
Burton Albion,1,Rotherham United,1, Saturday 18th February 2012.
Dagenham & Redbridge,0,Cheltenham Town,5, Saturday 18th February 2012.
Hereford FC,1,Swindon Town,2, Saturday 18th February 2012.
Macclesfield Town,0,Aldershot Town,1, Saturday 18th February 2012.
Port Vale,2,Gillingham,1, Saturday 18th February 2012.
Southend United,1,Crewe Alexandra,0, Saturday 18th February 2012.
Torquay United,1,Bradford City,2, Saturday 18th February 2012.
Aldershot Town,1,Hereford FC,0, Tuesday 14th February 2012.
Bradford City,1,Port Vale,1, Tuesday 14th February 2012.
Cheltenham Town,0,Torquay United,1, Tuesday 14th February 2012.
Crewe Alexandra,3,Burton Albion,2, Tuesday 14th February 2012.
Morecambe,1,Macclesfield Town,0, Tuesday 14th February 2012.
Northampton Town,1,AFC Wimbledon,0, Tuesday 14th February 2012.
Oxford United,2,Dagenham & Redbridge,1, Tuesday 14th February 2012.
Plymouth Argyle,0,Barnet,0, Tuesday 14th February 2012.
Rotherham United,1,Accrington Stanley,0, Tuesday 14th February 2012.
Shrewsbury Town,1,Bristol Rovers,0, Tuesday 14th February 2012.
Swindon Town,3,Crawley Town,0, Tuesday 14th February 2012.
Gillingham,1,Southend United,2, Monday 13th February 2012.
Bristol Rovers,2,Morecambe,1, Saturday 11th February 2012.
Hereford FC,1,Cheltenham Town,1, Saturday 11th February 2012.
Torquay United,1,Shrewsbury Town,0, Saturday 11th February 2012.
Southend United,0,Rotherham United,2, Friday 10th February 2012.
