Home Team,Home Score,Away Team,Away Score,Match Date
Bochum,1,M'gladbach,1, Wednesday 25th May 2011.
Bayern Munich,2,Stuttgart,1, Saturday 14th May 2011.
Borussia Dortmund,3,Eintracht Frankfurt,1, Saturday 14th May 2011.
Cologne,2,Schalke,1, Saturday 14th May 2011.
Hamburg,1,M'gladbach,1, Saturday 14th May 2011.
Hannover 96,3,FC Nurnberg,1, Saturday 14th May 2011.
Hoffenheim,1,Wolfsburg,3, Saturday 14th May 2011.
Kaiserslautern,3,Werder Bremen,2, Saturday 14th May 2011.
Mainz,2,St Pauli,1, Saturday 14th May 2011.
SC Freiburg,0,Bayer Leverkusen,1, Saturday 14th May 2011.
Bayer Leverkusen,1,Hamburg,1, Saturday 7th May 2011.
Eintracht Frankfurt,0,Cologne,2, Saturday 7th May 2011.
FC Nurnberg,1,Hoffenheim,2,https://www.skysports.com/football/nurnberg-vs-hoffenheim/221112
M'gladbach,2,SC Freiburg,0,https://www.skysports.com/football/mgladbach-vs-freiburg/221111
Schalke,1,Mainz,3, Saturday 7th May 2011.
St Pauli,1,Bayern Munich,8,https://www.skysports.com/football/st-pauli-vs-bay-munich/221113
Stuttgart,2,Hannover 96,1,https://www.skysports.com/football/stuttgart-vs-hannover/221108
Werder Bremen,2,Borussia Dortmund,0,https://www.skysports.com/football/w-bremen-vs-b-dortmund/221106
Wolfsburg,1,Kaiserslautern,2, Saturday 7th May 2011.
Borussia Dortmund,2,FC Nurnberg,0, Saturday 30th April 2011.
Cologne,2,Bayer Leverkusen,0, Saturday 30th April 2011.
Hamburg,0,SC Freiburg,2, Saturday 30th April 2011.
Hannover 96,0,M'gladbach,1, Saturday 30th April 2011.
Hoffenheim,1,Stuttgart,2,https://www.skysports.com/football/hoffenheim-vs-stuttgart/232115
Mainz,3,Eintracht Frankfurt,0, Saturday 30th April 2011.
Bayern Munich,4,Schalke,1, Saturday 30th April 2011.
Kaiserslautern,2,St Pauli,0,https://www.skysports.com/football/klautern-vs-st-pauli/233527
Werder Bremen,0,Wolfsburg,1, Friday 29th April 2011.
Wolfsburg,4,Cologne,1, Sunday 24th April 2011.
FC Nurnberg,0,Mainz,0, Sunday 24th April 2011.
Bayer Leverkusen,2,Hoffenheim,1, Saturday 23rd April 2011.
Eintracht Frankfurt,1,Bayern Munich,1,https://www.skysports.com/football/frankfurt-vs-bay-munich/220991
Schalke,0,Kaiserslautern,1, Saturday 23rd April 2011.
St Pauli,1,Werder Bremen,3, Saturday 23rd April 2011.
Stuttgart,3,Hamburg,0, Saturday 23rd April 2011.
M'gladbach,1,Borussia Dortmund,0, Saturday 23rd April 2011.
SC Freiburg,1,Hannover 96,3, Thursday 21st April 2011.
Bayern Munich,5,Bayer Leverkusen,1, Sunday 17th April 2011.
Borussia Dortmund,3,SC Freiburg,0, Sunday 17th April 2011.
Cologne,1,Stuttgart,3, Saturday 16th April 2011.
Hamburg,0,Hannover 96,0, Saturday 16th April 2011.
Hoffenheim,1,Eintracht Frankfurt,0, Saturday 16th April 2011.
Kaiserslautern,0,FC Nurnberg,2, Saturday 16th April 2011.
Wolfsburg,2,St Pauli,2, Saturday 16th April 2011.
Werder Bremen,1,Schalke,1, Saturday 16th April 2011.
Mainz,1,M'gladbach,0, Friday 15th April 2011.
M'gladbach,5,Cologne,1, Sunday 10th April 2011.
Bayer Leverkusen,2,St Pauli,1, Sunday 10th April 2011.
FC Nurnberg,1,Bayern Munich,1, Saturday 9th April 2011.
Hamburg,1,Borussia Dortmund,1, Saturday 9th April 2011.
Hannover 96,2,Mainz,0, Saturday 9th April 2011.
SC Freiburg,3,Hoffenheim,2, Saturday 9th April 2011.
Schalke,1,Wolfsburg,0, Saturday 9th April 2011.
Stuttgart,2,Kaiserslautern,4, Saturday 9th April 2011.
Eintracht Frankfurt,1,Werder Bremen,1, Friday 8th April 2011.
Cologne,1,FC Nurnberg,0, Sunday 3rd April 2011.
Wolfsburg,1,Eintracht Frankfurt,1, Sunday 3rd April 2011.
Bayern Munich,1,M'gladbach,0, Saturday 2nd April 2011.
Borussia Dortmund,4,Hannover 96,1, Saturday 2nd April 2011.
Kaiserslautern,0,Bayer Leverkusen,1, Saturday 2nd April 2011.
Mainz,1,SC Freiburg,1, Saturday 2nd April 2011.
Werder Bremen,1,Stuttgart,1, Saturday 2nd April 2011.
Hoffenheim,0,Hamburg,0, Saturday 2nd April 2011.
St Pauli,0,Schalke,2, Friday 1st April 2011.
Bayer Leverkusen,2,Schalke,0, Sunday 20th March 2011.
Stuttgart,1,Wolfsburg,1, Sunday 20th March 2011.
Eintracht Frankfurt,2,St Pauli,1, Saturday 19th March 2011.
FC Nurnberg,1,Werder Bremen,3, Saturday 19th March 2011.
Hamburg,6,Cologne,2, Saturday 19th March 2011.
Hannover 96,2,Hoffenheim,0, Saturday 19th March 2011.
SC Freiburg,1,Bayern Munich,2, Saturday 19th March 2011.
Borussia Dortmund,1,Mainz,1, Saturday 19th March 2011.
M'gladbach,0,Kaiserslautern,1, Friday 18th March 2011.
Mainz,0,Bayer Leverkusen,1, Sunday 13th March 2011.
St Pauli,1,Stuttgart,2, Sunday 13th March 2011.
Bayern Munich,6,Hamburg,0, Saturday 12th March 2011.
Hoffenheim,1,Borussia Dortmund,0, Saturday 12th March 2011.
Kaiserslautern,2,SC Freiburg,1, Saturday 12th March 2011.
Schalke,2,Eintracht Frankfurt,1, Saturday 12th March 2011.
Wolfsburg,1,FC Nurnberg,2, Saturday 12th March 2011.
Werder Bremen,1,M'gladbach,1, Saturday 12th March 2011.
Cologne,4,Hannover 96,0, Friday 11th March 2011.
SC Freiburg,1,Werder Bremen,3, Sunday 6th March 2011.
Hamburg,2,Mainz,4, Sunday 6th March 2011.
Eintracht Frankfurt,0,Kaiserslautern,0, Saturday 5th March 2011.
FC Nurnberg,5,St Pauli,0, Saturday 5th March 2011.
Hannover 96,3,Bayern Munich,1, Saturday 5th March 2011.
M'gladbach,2,Hoffenheim,0, Saturday 5th March 2011.
Stuttgart,1,Schalke,0, Saturday 5th March 2011.
Bayer Leverkusen,3,Wolfsburg,0, Saturday 5th March 2011.
Borussia Dortmund,1,Cologne,0, Friday 4th March 2011.
Eintracht Frankfurt,0,Stuttgart,2, Sunday 27th February 2011.
Werder Bremen,2,Bayer Leverkusen,2, Sunday 27th February 2011.
Cologne,1,SC Freiburg,0, Saturday 26th February 2011.
Hoffenheim,1,Mainz,2, Saturday 26th February 2011.
Kaiserslautern,1,Hamburg,1, Saturday 26th February 2011.
Schalke,1,FC Nurnberg,1, Saturday 26th February 2011.
St Pauli,0,Hannover 96,1, Saturday 26th February 2011.
Bayern Munich,1,Borussia Dortmund,3, Saturday 26th February 2011.
Wolfsburg,2,M'gladbach,1, Friday 25th February 2011.
Bayer Leverkusen,4,Stuttgart,2, Sunday 20th February 2011.
M'gladbach,2,Schalke,1, Sunday 20th February 2011.
Borussia Dortmund,2,St Pauli,0, Saturday 19th February 2011.
Hamburg,4,Werder Bremen,0, Saturday 19th February 2011.
Hannover 96,3,Kaiserslautern,0, Saturday 19th February 2011.
Hoffenheim,1,Cologne,1, Saturday 19th February 2011.
SC Freiburg,2,Wolfsburg,1, Saturday 19th February 2011.
Mainz,1,Bayern Munich,3, Saturday 19th February 2011.
FC Nurnberg,3,Eintracht Frankfurt,0, Friday 18th February 2011.
Hamburg,0,St Pauli,1, Wednesday 16th February 2011.
Cologne,4,Mainz,2, Sunday 13th February 2011.
Werder Bremen,1,Hannover 96,1, Sunday 13th February 2011.
Bayern Munich,4,Hoffenheim,0, Saturday 12th February 2011.
Eintracht Frankfurt,0,Bayer Leverkusen,3, Saturday 12th February 2011.
Schalke,1,SC Freiburg,0, Saturday 12th February 2011.
St Pauli,3,M'gladbach,1, Saturday 12th February 2011.
Stuttgart,1,FC Nurnberg,4, Saturday 12th February 2011.
Wolfsburg,0,Hamburg,1, Saturday 12th February 2011.
Kaiserslautern,1,Borussia Dortmund,1, Saturday 12th February 2011.
SC Freiburg,0,Eintracht Frankfurt,0, Sunday 6th February 2011.
Cologne,3,Bayern Munich,2, Saturday 5th February 2011.
FC Nurnberg,1,Bayer Leverkusen,0, Saturday 5th February 2011.
Hannover 96,1,Wolfsburg,0, Saturday 5th February 2011.
Hoffenheim,3,Kaiserslautern,2, Saturday 5th February 2011.
Mainz,1,Werder Bremen,1, Saturday 5th February 2011.
M'gladbach,2,Stuttgart,3, Saturday 5th February 2011.
Borussia Dortmund,0,Schalke,0, Friday 4th February 2011.
Stuttgart,0,SC Freiburg,1, Sunday 30th January 2011.
Eintracht Frankfurt,0,M'gladbach,1, Sunday 30th January 2011.
FC Nurnberg,2,Hamburg,0, Saturday 29th January 2011.
Schalke,0,Hoffenheim,1, Saturday 29th January 2011.
St Pauli,3,Cologne,0, Saturday 29th January 2011.
Werder Bremen,1,Bayern Munich,3, Saturday 29th January 2011.
Wolfsburg,0,Borussia Dortmund,3, Saturday 29th January 2011.
Kaiserslautern,0,Mainz,1, Saturday 29th January 2011.
Bayer Leverkusen,2,Hannover 96,0, Friday 28th January 2011.
M'gladbach,1,Bayer Leverkusen,3, Sunday 23rd January 2011.
Hoffenheim,2,St Pauli,2, Sunday 23rd January 2011.
Bayern Munich,5,Kaiserslautern,1, Saturday 22nd January 2011.
Borussia Dortmund,1,Stuttgart,1, Saturday 22nd January 2011.
Hannover 96,0,Schalke,1, Saturday 22nd January 2011.
Mainz,0,Wolfsburg,1, Saturday 22nd January 2011.
SC Freiburg,1,FC Nurnberg,1, Saturday 22nd January 2011.
Cologne,3,Werder Bremen,0, Saturday 22nd January 2011.
Hamburg,1,Eintracht Frankfurt,0, Friday 21st January 2011.
Eintracht Frankfurt,0,Hannover 96,3, Sunday 16th January 2011.
Kaiserslautern,1,Cologne,1, Sunday 16th January 2011.
FC Nurnberg,0,M'gladbach,1, Saturday 15th January 2011.
St Pauli,2,SC Freiburg,2, Saturday 15th January 2011.
Stuttgart,1,Mainz,0, Saturday 15th January 2011.
Werder Bremen,2,Hoffenheim,1, Saturday 15th January 2011.
Wolfsburg,1,Bayern Munich,1, Saturday 15th January 2011.
Schalke,0,Hamburg,1, Saturday 15th January 2011.
Bayer Leverkusen,1,Borussia Dortmund,3, Friday 14th January 2011.
Bayer Leverkusen,2,SC Freiburg,2, Sunday 19th December 2010.
Stuttgart,3,Bayern Munich,5, Sunday 19th December 2010.
Eintracht Frankfurt,1,Borussia Dortmund,0, Saturday 18th December 2010.
FC Nurnberg,3,Hannover 96,1, Saturday 18th December 2010.
Schalke,3,Cologne,0, Saturday 18th December 2010.
Werder Bremen,1,Kaiserslautern,2, Saturday 18th December 2010.
Wolfsburg,2,Hoffenheim,2, Saturday 18th December 2010.
St Pauli,2,Mainz,4, Saturday 18th December 2010.
M'gladbach,1,Hamburg,2, Friday 17th December 2010.
SC Freiburg,3,M'gladbach,0, Sunday 12th December 2010.
Mainz,0,Schalke,1, Sunday 12th December 2010.
Bayern Munich,3,St Pauli,0, Saturday 11th December 2010.
Cologne,1,Eintracht Frankfurt,0, Saturday 11th December 2010.
Hamburg,2,Bayer Leverkusen,4, Saturday 11th December 2010.
Hoffenheim,1,FC Nurnberg,1, Saturday 11th December 2010.
Kaiserslautern,0,Wolfsburg,0, Saturday 11th December 2010.
Borussia Dortmund,2,Werder Bremen,0, Saturday 11th December 2010.
Hannover 96,2,Stuttgart,1, Friday 10th December 2010.
Bayer Leverkusen,3,Cologne,2, Sunday 5th December 2010.
FC Nurnberg,0,Borussia Dortmund,2, Sunday 5th December 2010.
Eintracht Frankfurt,2,Mainz,1, Saturday 4th December 2010.
M'gladbach,1,Hannover 96,2, Saturday 4th December 2010.
SC Freiburg,1,Hamburg,0, Saturday 4th December 2010.
Stuttgart,1,Hoffenheim,1, Saturday 4th December 2010.
Wolfsburg,0,Werder Bremen,0, Saturday 4th December 2010.
Schalke,2,Bayern Munich,0, Saturday 4th December 2010.
St Pauli,1,Kaiserslautern,0, Friday 3rd December 2010.
Werder Bremen,3,St Pauli,0, Sunday 28th November 2010.
Cologne,1,Wolfsburg,1, Sunday 28th November 2010.
Bayern Munich,4,Eintracht Frankfurt,1, Saturday 27th November 2010.
Hamburg,4,Stuttgart,2, Saturday 27th November 2010.
Hannover 96,3,SC Freiburg,0, Saturday 27th November 2010.
Hoffenheim,2,Bayer Leverkusen,2, Saturday 27th November 2010.
Kaiserslautern,5,Schalke,0, Saturday 27th November 2010.
Borussia Dortmund,4,M'gladbach,1, Saturday 27th November 2010.
Mainz,3,FC Nurnberg,0, Friday 26th November 2010.
Stuttgart,0,Cologne,1, Sunday 21st November 2010.
St Pauli,1,Wolfsburg,1, Sunday 21st November 2010.
