Home Team,Home Score,Away Team,Away Score,Match Date
Bayer Leverkusen,3,Hannover 96,2, Saturday 12th May 2018.
Bayern Munich,1,Stuttgart,4, Saturday 12th May 2018.
Hamburg,2,M'gladbach,1, Saturday 12th May 2018.
Hertha Berlin,2,RB Leipzig,6, Saturday 12th May 2018.
Hoffenheim,3,Borussia Dortmund,1, Saturday 12th May 2018.
Mainz,1,Werder Bremen,2, Saturday 12th May 2018.
SC Freiburg,2,FC Augsburg,0, Saturday 12th May 2018.
Schalke,1,Eintracht Frankfurt,0, Saturday 12th May 2018.
Wolfsburg,4,Cologne,1, Saturday 12th May 2018.
Borussia Dortmund,1,Mainz,2, Saturday 5th May 2018.
Cologne,1,Bayern Munich,3, Saturday 5th May 2018.
Eintracht Frankfurt,3,Hamburg,0, Saturday 5th May 2018.
FC Augsburg,1,Schalke,2, Saturday 5th May 2018.
Hannover 96,3,Hertha Berlin,1, Saturday 5th May 2018.
M'gladbach,3,SC Freiburg,1, Saturday 5th May 2018.
RB Leipzig,4,Wolfsburg,1, Saturday 5th May 2018.
Stuttgart,2,Hoffenheim,0, Saturday 5th May 2018.
Werder Bremen,0,Bayer Leverkusen,0, Saturday 5th May 2018.
Mainz,3,RB Leipzig,0, Sunday 29th April 2018.
Werder Bremen,1,Borussia Dortmund,1, Sunday 29th April 2018.
Bayern Munich,4,Eintracht Frankfurt,1, Saturday 28th April 2018.
Hertha Berlin,2,FC Augsburg,2, Saturday 28th April 2018.
SC Freiburg,3,Cologne,2, Saturday 28th April 2018.
Schalke,1,M'gladbach,1, Saturday 28th April 2018.
Wolfsburg,1,Hamburg,3, Saturday 28th April 2018.
Bayer Leverkusen,0,Stuttgart,1, Saturday 28th April 2018.
Hoffenheim,3,Hannover 96,1, Friday 27th April 2018.
FC Augsburg,2,Mainz,0, Sunday 22nd April 2018.
Cologne,2,Schalke,2, Sunday 22nd April 2018.
Eintracht Frankfurt,0,Hertha Berlin,3, Saturday 21st April 2018.
Hamburg,1,SC Freiburg,0, Saturday 21st April 2018.
Hannover 96,0,Bayern Munich,3, Saturday 21st April 2018.
RB Leipzig,2,Hoffenheim,5, Saturday 21st April 2018.
Stuttgart,2,Werder Bremen,0, Saturday 21st April 2018.
Borussia Dortmund,4,Bayer Leverkusen,0, Saturday 21st April 2018.
M'gladbach,3,Wolfsburg,0, Friday 20th April 2018.
Mainz,2,SC Freiburg,0, Monday 16th April 2018.
Schalke,2,Borussia Dortmund,0, Sunday 15th April 2018.
Werder Bremen,1,RB Leipzig,1, Sunday 15th April 2018.
Bayer Leverkusen,4,Eintracht Frankfurt,1, Saturday 14th April 2018.
Hertha Berlin,2,Cologne,1, Saturday 14th April 2018.
Hoffenheim,2,Hamburg,0, Saturday 14th April 2018.
Stuttgart,1,Hannover 96,1, Saturday 14th April 2018.
Bayern Munich,5,M'gladbach,1, Saturday 14th April 2018.
Wolfsburg,0,FC Augsburg,0, Friday 13th April 2018.
RB Leipzig,1,Bayer Leverkusen,4, Monday 9th April 2018.
Borussia Dortmund,3,Stuttgart,0, Sunday 8th April 2018.
Eintracht Frankfurt,1,Hoffenheim,1, Sunday 8th April 2018.
Cologne,1,Mainz,1, Saturday 7th April 2018.
FC Augsburg,1,Bayern Munich,4, Saturday 7th April 2018.
M'gladbach,2,Hertha Berlin,1, Saturday 7th April 2018.
SC Freiburg,0,Wolfsburg,2, Saturday 7th April 2018.
Hamburg,3,Schalke,2, Saturday 7th April 2018.
Hannover 96,2,Werder Bremen,1, Friday 6th April 2018.
Werder Bremen,2,Eintracht Frankfurt,1, Sunday 1st April 2018.
Mainz,0,M'gladbach,0, Sunday 1st April 2018.
Bayer Leverkusen,0,FC Augsburg,0, Saturday 31st March 2018.
Hannover 96,2,RB Leipzig,3, Saturday 31st March 2018.
Hoffenheim,6,Cologne,0, Saturday 31st March 2018.
Schalke,2,SC Freiburg,0, Saturday 31st March 2018.
Stuttgart,1,Hamburg,1, Saturday 31st March 2018.
Bayern Munich,6,Borussia Dortmund,0, Saturday 31st March 2018.
Hertha Berlin,0,Wolfsburg,0, Saturday 31st March 2018.
Borussia Dortmund,1,Hannover 96,0, Sunday 18th March 2018.
Cologne,2,Bayer Leverkusen,0, Sunday 18th March 2018.
RB Leipzig,2,Bayern Munich,1, Sunday 18th March 2018.
Eintracht Frankfurt,3,Mainz,0, Saturday 17th March 2018.
FC Augsburg,1,Werder Bremen,3, Saturday 17th March 2018.
Hamburg,1,Hertha Berlin,2, Saturday 17th March 2018.
M'gladbach,3,Hoffenheim,3, Saturday 17th March 2018.
Wolfsburg,0,Schalke,1, Saturday 17th March 2018.
SC Freiburg,1,Stuttgart,2, Friday 16th March 2018.
Werder Bremen,3,Cologne,1, Monday 12th March 2018.
Stuttgart,0,RB Leipzig,0, Sunday 11th March 2018.
Borussia Dortmund,3,Eintracht Frankfurt,2, Sunday 11th March 2018.
Bayern Munich,6,Hamburg,0, Saturday 10th March 2018.
Hannover 96,1,FC Augsburg,3, Saturday 10th March 2018.
