Home Team,Home Score,Away Team,Away Score,Match Date
Alaves,0,Barcelona,5, Sunday 19th July 2020.
Real Valladolid,2,Real Betis,0, Sunday 19th July 2020.
Villarreal,4,Eibar,0, Sunday 19th July 2020.
Atletico Madrid,1,Real Sociedad,1, Sunday 19th July 2020.
Espanyol,0,Celta Vigo,0, Sunday 19th July 2020.
Granada,4,Athletic Bilbao,0, Sunday 19th July 2020.
Leganes,2,Real Madrid,2, Sunday 19th July 2020.
Levante,1,Getafe,0, Sunday 19th July 2020.
Osasuna,2,Real Mallorca,2, Sunday 19th July 2020.
Sevilla,1,Valencia,0, Sunday 19th July 2020.
Eibar,3,Real Valladolid,1, Thursday 16th July 2020.
Athletic Bilbao,0,Leganes,2, Thursday 16th July 2020.
Barcelona,1,Osasuna,2, Thursday 16th July 2020.
Celta Vigo,2,Levante,3, Thursday 16th July 2020.
Getafe,0,Atletico Madrid,2, Thursday 16th July 2020.
Real Betis,1,Alaves,2, Thursday 16th July 2020.
Real Madrid,2,Villarreal,1, Thursday 16th July 2020.
Real Mallorca,1,Granada,2, Thursday 16th July 2020.
Real Sociedad,0,Sevilla,0, Thursday 16th July 2020.
Valencia,1,Espanyol,0, Thursday 16th July 2020.
Alaves,0,Getafe,0, Monday 13th July 2020.
Villarreal,1,Real Sociedad,2, Monday 13th July 2020.
Granada,1,Real Madrid,2, Monday 13th July 2020.
Espanyol,0,Eibar,2, Sunday 12th July 2020.
Levante,1,Athletic Bilbao,2, Sunday 12th July 2020.
Leganes,1,Valencia,0, Sunday 12th July 2020.
Sevilla,2,Real Mallorca,0, Sunday 12th July 2020.
Osasuna,2,Celta Vigo,1, Saturday 11th July 2020.
Real Valladolid,0,Barcelona,1, Saturday 11th July 2020.
Atletico Madrid,1,Real Betis,0, Saturday 11th July 2020.
Real Sociedad,2,Granada,3, Friday 10th July 2020.
Real Madrid,2,Alaves,0, Friday 10th July 2020.
Eibar,0,Leganes,0, Thursday 9th July 2020.
Real Mallorca,2,Levante,0, Thursday 9th July 2020.
Athletic Bilbao,1,Sevilla,2, Thursday 9th July 2020.
Getafe,1,Villarreal,3,https://www.skysports.com/football/getafe-vs-villarreal/415976
Real Betis,3,Osasuna,0, Wednesday 8th July 2020.
Barcelona,1,Espanyol,0, Wednesday 8th July 2020.
Valencia,2,Real Valladolid,1, Tuesday 7th July 2020.
Celta Vigo,1,Atletico Madrid,1, Tuesday 7th July 2020.
Levante,1,Real Sociedad,1, Monday 6th July 2020.
Sevilla,1,Eibar,0, Monday 6th July 2020.
Athletic Bilbao,0,Real Madrid,1, Sunday 5th July 2020.
Espanyol,0,Leganes,1, Sunday 5th July 2020.
Osasuna,0,Getafe,0, Sunday 5th July 2020.
Villarreal,1,Barcelona,4, Sunday 5th July 2020.
Celta Vigo,1,Real Betis,1, Saturday 4th July 2020.
Real Valladolid,1,Alaves,0, Saturday 4th July 2020.
Granada,2,Valencia,2, Saturday 4th July 2020.
Atletico Madrid,3,Real Mallorca,0, Friday 3rd July 2020.
Eibar,0,Osasuna,2, Thursday 2nd July 2020.
Real Sociedad,2,Espanyol,1, Thursday 2nd July 2020.
Real Madrid,1,Getafe,0, Thursday 2nd July 2020.
Alaves,0,Granada,2, Wednesday 1st July 2020.
Valencia,0,Athletic Bilbao,2, Wednesday 1st July 2020.
Real Betis,0,Villarreal,2, Wednesday 1st July 2020.
Real Valladolid,0,Levante,0, Wednesday 1st July 2020.
Real Mallorca,5,Celta Vigo,1, Tuesday 30th June 2020.
Leganes,0,Sevilla,3, Tuesday 30th June 2020.
Barcelona,2,Atletico Madrid,2, Tuesday 30th June 2020.
Getafe,2,Real Sociedad,1, Monday 29th June 2020.
Levante,4,Real Betis,2, Sunday 28th June 2020.
Villarreal,2,Valencia,0, Sunday 28th June 2020.
Granada,1,Eibar,2, Sunday 28th June 2020.
Espanyol,0,Real Madrid,1, Sunday 28th June 2020.
Athletic Bilbao,3,Real Mallorca,1, Saturday 27th June 2020.
Celta Vigo,2,Barcelona,2, Saturday 27th June 2020.
Osasuna,2,Leganes,1, Saturday 27th June 2020.
Atletico Madrid,2,Alaves,1, Saturday 27th June 2020.
Sevilla,1,Real Valladolid,1, Friday 26th June 2020.
Eibar,1,Valencia,0, Thursday 25th June 2020.
Real Betis,1,Espanyol,0, Thursday 25th June 2020.
Alaves,0,Osasuna,1, Wednesday 24th June 2020.
Real Sociedad,0,Celta Vigo,1, Wednesday 24th June 2020.
Real Madrid,2,Real Mallorca,0, Wednesday 24th June 2020.
Levante,0,Atletico Madrid,1, Tuesday 23rd June 2020.
Real Valladolid,1,Getafe,1, Tuesday 23rd June 2020.
Barcelona,1,Athletic Bilbao,0, Tuesday 23rd June 2020.
Villarreal,2,Sevilla,2, Monday 22nd June 2020.
Leganes,0,Granada,0, Monday 22nd June 2020.
Celta Vigo,6,Alaves,0, Sunday 21st June 2020.
Valencia,2,Osasuna,0, Sunday 21st June 2020.
