Home Team,Home Score,Away Team,Away Score,Match Date
FC Nurnberg,0,RB Leipzig,1, Saturday 2nd March 2019.
Hertha Berlin,2,Mainz,1, Saturday 2nd March 2019.
Schalke,0,Fortuna Dusseldorf,4, Saturday 2nd March 2019.
M'gladbach,1,Bayern Munich,5, Saturday 2nd March 2019.
FC Augsburg,2,Borussia Dortmund,1, Friday 1st March 2019.
RB Leipzig,1,Hoffenheim,1,https://www.skysports.com/football/rb-leipzig-vs-hoffenheim/395160
Hannover 96,0,Eintracht Frankfurt,3, Sunday 24th February 2019.
Borussia Dortmund,3,Bayer Leverkusen,2, Sunday 24th February 2019.
Bayern Munich,1,Hertha Berlin,0, Saturday 23rd February 2019.
M'gladbach,0,Wolfsburg,3, Saturday 23rd February 2019.
Mainz,3,Schalke,0, Saturday 23rd February 2019.
SC Freiburg,5,FC Augsburg,1, Saturday 23rd February 2019.
Fortuna Dusseldorf,2,FC Nurnberg,1, Saturday 23rd February 2019.
Werder Bremen,1,Stuttgart,1, Friday 22nd February 2019.
FC Nurnberg,0,Borussia Dortmund,0, Monday 18th February 2019.
Eintracht Frankfurt,1,M'gladbach,1, Sunday 17th February 2019.
Bayer Leverkusen,2,Fortuna Dusseldorf,0, Sunday 17th February 2019.
Hoffenheim,3,Hannover 96,0, Saturday 16th February 2019.
Schalke,0,SC Freiburg,0, Saturday 16th February 2019.
Stuttgart,1,RB Leipzig,3, Saturday 16th February 2019.
Wolfsburg,3,Mainz,0, Saturday 16th February 2019.
Hertha Berlin,1,Werder Bremen,1, Saturday 16th February 2019.
FC Augsburg,2,Bayern Munich,3, Friday 15th February 2019.
Werder Bremen,4,FC Augsburg,0, Sunday 10th February 2019.
Fortuna Dusseldorf,3,Stuttgart,0, Sunday 10th February 2019.
Borussia Dortmund,3,Hoffenheim,3, Saturday 9th February 2019.
Hannover 96,2,FC Nurnberg,0, Saturday 9th February 2019.
M'gladbach,0,Hertha Berlin,3, Saturday 9th February 2019.
RB Leipzig,0,Eintracht Frankfurt,0, Saturday 9th February 2019.
SC Freiburg,3,Wolfsburg,3, Saturday 9th February 2019.
Bayern Munich,3,Schalke,1, Saturday 9th February 2019.
Mainz,1,Bayer Leverkusen,5, Friday 8th February 2019.
FC Augsburg,3,Mainz,0, Sunday 3rd February 2019.
Stuttgart,2,SC Freiburg,2, Sunday 3rd February 2019.
Bayer Leverkusen,3,Bayern Munich,1, Saturday 2nd February 2019.
Eintracht Frankfurt,1,Borussia Dortmund,1, Saturday 2nd February 2019.
FC Nurnberg,1,Werder Bremen,1, Saturday 2nd February 2019.
Hertha Berlin,0,Wolfsburg,1, Saturday 2nd February 2019.
Hoffenheim,1,Fortuna Dusseldorf,1, Saturday 2nd February 2019.
Schalke,0,M'gladbach,2, Saturday 2nd February 2019.
Hannover 96,0,RB Leipzig,3, Friday 1st February 2019.
Bayern Munich,4,Stuttgart,1, Sunday 27th January 2019.
Fortuna Dusseldorf,0,RB Leipzig,4, Sunday 27th January 2019.
Borussia Dortmund,5,Hannover 96,1, Saturday 26th January 2019.
M'gladbach,2,FC Augsburg,0,https://www.skysports.com/football/mgladbach-vs-fc-augsburg/395120
Mainz,2,FC Nurnberg,1,https://www.skysports.com/football/mainz-vs-nurnberg/395118
SC Freiburg,2,Hoffenheim,4,https://www.skysports.com/football/freiburg-vs-hoffenheim/395125
Wolfsburg,0,Bayer Leverkusen,3,https://www.skysports.com/football/wolfsburg-vs-leverkusen/395126
Werder Bremen,2,Eintracht Frankfurt,2, Saturday 26th January 2019.
Hertha Berlin,2,Schalke,2, Friday 25th January 2019.
FC Nurnberg,1,Hertha Berlin,3, Sunday 20th January 2019.
Schalke,2,Wolfsburg,1, Sunday 20th January 2019.
Bayer Leverkusen,0,M'gladbach,1, Saturday 19th January 2019.
Eintracht Frankfurt,3,SC Freiburg,1, Saturday 19th January 2019.
FC Augsburg,1,Fortuna Dusseldorf,2, Saturday 19th January 2019.
Hannover 96,0,Werder Bremen,1, Saturday 19th January 2019.
Stuttgart,2,Mainz,3, Saturday 19th January 2019.
RB Leipzig,0,Borussia Dortmund,1, Saturday 19th January 2019.
Hoffenheim,1,Bayern Munich,3, Friday 18th January 2019.
FC Augsburg,2,Wolfsburg,3, Sunday 23rd December 2018.
Hoffenheim,1,Mainz,1, Sunday 23rd December 2018.
Bayer Leverkusen,3,Hertha Berlin,1, Saturday 22nd December 2018.
FC Nurnberg,0,SC Freiburg,1, Saturday 22nd December 2018.
Hannover 96,0,Fortuna Dusseldorf,1, Saturday 22nd December 2018.
RB Leipzig,3,Werder Bremen,2, Saturday 22nd December 2018.
Stuttgart,1,Schalke,3, Saturday 22nd December 2018.
Eintracht Frankfurt,0,Bayern Munich,3, Saturday 22nd December 2018.
Borussia Dortmund,2,M'gladbach,1, Friday 21st December 2018.
Schalke,1,Bayer Leverkusen,2, Wednesday 19th December 2018.
Bayern Munich,1,RB Leipzig,0, Wednesday 19th December 2018.
Mainz,2,Eintracht Frankfurt,2, Wednesday 19th December 2018.
SC Freiburg,1,Hannover 96,1, Wednesday 19th December 2018.
Werder Bremen,1,Hoffenheim,1, Wednesday 19th December 2018.
M'gladbach,2,FC Nurnberg,0, Tuesday 18th December 2018.
Fortuna Dusseldorf,2,Borussia Dortmund,1, Tuesday 18th December 2018.
Hertha Berlin,2,FC Augsburg,2, Tuesday 18th December 2018.
Wolfsburg,2,Stuttgart,0, Tuesday 18th December 2018.
RB Leipzig,4,Mainz,1, Sunday 16th December 2018.
Eintracht Frankfurt,2,Bayer Leverkusen,1, Sunday 16th December 2018.
FC Augsburg,1,Schalke,1, Saturday 15th December 2018.
Fortuna Dusseldorf,2,SC Freiburg,0, Saturday 15th December 2018.
Hannover 96,0,Bayern Munich,4, Saturday 15th December 2018.
Hoffenheim,0,M'gladbach,0, Saturday 15th December 2018.
Stuttgart,2,Hertha Berlin,1, Saturday 15th December 2018.
Borussia Dortmund,2,Werder Bremen,1, Saturday 15th December 2018.
FC Nurnberg,0,Wolfsburg,2, Friday 14th December 2018.
Mainz,1,Hannover 96,1, Sunday 9th December 2018.
M'gladbach,3,Stuttgart,0, Sunday 9th December 2018.
Bayer Leverkusen,1,FC Augsburg,0, Saturday 8th December 2018.
Bayern Munich,3,FC Nurnberg,0, Saturday 8th December 2018.
SC Freiburg,3,RB Leipzig,0, Saturday 8th December 2018.
Schalke,1,Borussia Dortmund,2, Saturday 8th December 2018.
Wolfsburg,2,Hoffenheim,2, Saturday 8th December 2018.
Hertha Berlin,1,Eintracht Frankfurt,0, Saturday 8th December 2018.
Werder Bremen,3,Fortuna Dusseldorf,1, Friday 7th December 2018.
FC Nurnberg,1,Bayer Leverkusen,1, Monday 3rd December 2018.
RB Leipzig,2,M'gladbach,0, Sunday 2nd December 2018.
Eintracht Frankfurt,1,Wolfsburg,2, Sunday 2nd December 2018.
Borussia Dortmund,2,SC Freiburg,0, Saturday 1st December 2018.
Hannover 96,0,Hertha Berlin,2, Saturday 1st December 2018.
Stuttgart,1,FC Augsburg,0, Saturday 1st December 2018.
Werder Bremen,1,Bayern Munich,2, Saturday 1st December 2018.
Hoffenheim,1,Schalke,1, Saturday 1st December 2018.
Fortuna Dusseldorf,0,Mainz,1, Friday 30th November 2018.
SC Freiburg,1,Werder Bremen,1, Sunday 25th November 2018.
M'gladbach,4,Hannover 96,1, Sunday 25th November 2018.
Bayern Munich,3,Fortuna Dusseldorf,3, Saturday 24th November 2018.
FC Augsburg,1,Eintracht Frankfurt,3, Saturday 24th November 2018.
Hertha Berlin,3,Hoffenheim,3, Saturday 24th November 2018.
