Home Team,Home Score,Away Team,Away Score,Match Date
Rotherham United,2,Shrewsbury Town,1, Sunday 27th May 2018.
Rotherham United,2,Scunthorpe United,0, Wednesday 16th May 2018.
Shrewsbury Town,1,Charlton Athletic,0, Sunday 13th May 2018.
Scunthorpe United,2,Rotherham United,2, Saturday 12th May 2018.
Charlton Athletic,0,Shrewsbury Town,1, Thursday 10th May 2018.
AFC Wimbledon,2,Bury,2, Saturday 5th May 2018.
Blackburn Rovers,2,Oxford United,1, Saturday 5th May 2018.
Doncaster Rovers,0,Wigan Athletic,1, Saturday 5th May 2018.
Fleetwood Town,2,Walsall,0, Saturday 5th May 2018.
Gillingham,5,Plymouth Argyle,2, Saturday 5th May 2018.
Northampton Town,2,Oldham Athletic,2, Saturday 5th May 2018.
Portsmouth,2,Peterborough United,0, Saturday 5th May 2018.
Rochdale,1,Charlton Athletic,0, Saturday 5th May 2018.
Rotherham United,1,Blackpool,0, Saturday 5th May 2018.
Scunthorpe United,1,Bradford City,1, Saturday 5th May 2018.
Shrewsbury Town,0,Milton Keynes Dons,1, Saturday 5th May 2018.
Southend United,0,Bristol Rovers,0, Saturday 5th May 2018.
Bradford City,1,Walsall,1, Tuesday 1st May 2018.
Doncaster Rovers,0,AFC Wimbledon,0, Tuesday 1st May 2018.
Scunthorpe United,2,Plymouth Argyle,0, Tuesday 1st May 2018.
Blackpool,1,Shrewsbury Town,1, Saturday 28th April 2018.
Bradford City,0,Southend United,2, Saturday 28th April 2018.
Bristol Rovers,1,Gillingham,1, Saturday 28th April 2018.
Bury,1,Portsmouth,0, Saturday 28th April 2018.
Charlton Athletic,1,Blackburn Rovers,0, Saturday 28th April 2018.
Milton Keynes Dons,0,Scunthorpe United,2, Saturday 28th April 2018.
Oldham Athletic,0,Doncaster Rovers,0, Saturday 28th April 2018.
Oxford United,2,Rochdale,1, Saturday 28th April 2018.
Peterborough United,2,Fleetwood Town,0, Saturday 28th April 2018.
Plymouth Argyle,2,Rotherham United,1, Saturday 28th April 2018.
Walsall,1,Northampton Town,0, Saturday 28th April 2018.
Wigan Athletic,1,AFC Wimbledon,1, Saturday 28th April 2018.
Bradford City,2,Milton Keynes Dons,0, Tuesday 24th April 2018.
Bristol Rovers,1,Wigan Athletic,1, Tuesday 24th April 2018.
Doncaster Rovers,0,Blackburn Rovers,1, Tuesday 24th April 2018.
Oldham Athletic,0,Southend United,3, Tuesday 24th April 2018.
Rochdale,1,Plymouth Argyle,1, Tuesday 24th April 2018.
Shrewsbury Town,3,Peterborough United,1, Tuesday 24th April 2018.
AFC Wimbledon,2,Oldham Athletic,2, Saturday 21st April 2018.
Doncaster Rovers,0,Oxford United,1, Saturday 21st April 2018.
Fleetwood Town,0,Wigan Athletic,4, Saturday 21st April 2018.
Gillingham,0,Blackpool,3, Saturday 21st April 2018.
Northampton Town,2,Plymouth Argyle,0, Saturday 21st April 2018.
Portsmouth,0,Charlton Athletic,1, Saturday 21st April 2018.
Rochdale,1,Bradford City,1, Saturday 21st April 2018.
Rotherham United,2,Bristol Rovers,0, Saturday 21st April 2018.
Scunthorpe United,1,Walsall,0, Saturday 21st April 2018.
Shrewsbury Town,1,Bury,1, Saturday 21st April 2018.
Southend United,4,Milton Keynes Dons,0, Saturday 21st April 2018.
Blackburn Rovers,3,Peterborough United,1, Thursday 19th April 2018.
Bradford City,3,Portsmouth,1, Tuesday 17th April 2018.
Doncaster Rovers,3,Bury,3, Tuesday 17th April 2018.
Gillingham,0,Rotherham United,1, Tuesday 17th April 2018.
Rochdale,0,Oldham Athletic,0, Tuesday 17th April 2018.
Shrewsbury Town,0,Charlton Athletic,2, Tuesday 17th April 2018.
Wigan Athletic,1,Oxford United,0, Tuesday 17th April 2018.
Blackpool,2,Fleetwood Town,1, Saturday 14th April 2018.
Bristol Rovers,1,Blackburn Rovers,1, Saturday 14th April 2018.
Bury,2,Northampton Town,3, Saturday 14th April 2018.
Charlton Athletic,0,Scunthorpe United,1, Saturday 14th April 2018.
Milton Keynes Dons,1,Doncaster Rovers,2, Saturday 14th April 2018.
Oldham Athletic,1,Gillingham,1,https://www.skysports.com/football/oldham-athletic-vs-gillingham/375681
Oxford United,2,Southend United,0,https://www.skysports.com/football/oxford-united-vs-southend-united/375682
Peterborough United,0,Rochdale,1, Saturday 14th April 2018.
Plymouth Argyle,0,Portsmouth,0, Saturday 14th April 2018.
Walsall,2,AFC Wimbledon,3, Saturday 14th April 2018.
Wigan Athletic,0,Rotherham United,0, Saturday 14th April 2018.
Bradford City,0,Shrewsbury Town,0, Thursday 12th April 2018.
Oldham Athletic,1,Walsall,1, Wednesday 11th April 2018.
AFC Wimbledon,1,Charlton Athletic,0, Tuesday 10th April 2018.
