Home Team,Home Score,Away Team,Away Score,Match Date
AC Ajaccio,0,Nice,2, Sunday 26th May 2013.
Bastia,0,Sochaux,0, Sunday 26th May 2013.
Bordeaux,2,Evian Thonon Gaillar,1, Sunday 26th May 2013.
Brest,1,Nancy,2, Sunday 26th May 2013.
Lille,1,St Etienne,1, Sunday 26th May 2013.
Lorient,1,Paris Saint-Germain,3, Sunday 26th May 2013.
Lyon,2,Rennes,0, Sunday 26th May 2013.
Marseille,0,Reims,0, Sunday 26th May 2013.
Toulouse,2,Montpellier,0, Sunday 26th May 2013.
Valenciennes,2,Troyes,1, Sunday 26th May 2013.
Arles,1,Le Havre,1, Friday 24th May 2013.
Caen,2,Ajaccio GFCO,1, Friday 24th May 2013.
Clermont Foot,1,Niort,1, Friday 24th May 2013.
Guingamp,2,Dijon,0, Friday 24th May 2013.
Istres,2,Nantes,2, Friday 24th May 2013.
Laval,3,Chateauroux,2, Friday 24th May 2013.
Le Mans,2,RC Lens,1, Friday 24th May 2013.
Nimes,4,Auxerre,2, Friday 24th May 2013.
Sedan,2,Angers,2, Friday 24th May 2013.
Tours,1,Monaco,2, Friday 24th May 2013.
Nice,1,Lyon,1, Sunday 19th May 2013.
Evian Thonon Gaillar,2,Valenciennes,0, Saturday 18th May 2013.
Montpellier,0,Lille,0, Saturday 18th May 2013.
Nancy,1,Bastia,2, Saturday 18th May 2013.
Paris Saint-Germain,3,Brest,1, Saturday 18th May 2013.
Reims,1,Lorient,0, Saturday 18th May 2013.
Rennes,1,AC Ajaccio,1, Saturday 18th May 2013.
Sochaux,1,Toulouse,2, Saturday 18th May 2013.
St Etienne,2,Marseille,0, Saturday 18th May 2013.
Troyes,1,Bordeaux,0, Saturday 18th May 2013.
Ajaccio GFCO,0,Guingamp,1, Friday 17th May 2013.
Angers,0,Tours,1, Friday 17th May 2013.
Auxerre,1,Clermont Foot,1, Friday 17th May 2013.
Chateauroux,2,Caen,2, Friday 17th May 2013.
Dijon,2,Arles,3, Friday 17th May 2013.
Le Havre,1,Laval,2, Friday 17th May 2013.
Monaco,2,Le Mans,1, Friday 17th May 2013.
Nantes,1,Sedan,0, Friday 17th May 2013.
Niort,2,Nimes,0, Friday 17th May 2013.
RC Lens,1,Istres,1, Friday 17th May 2013.
Caen,0,Nantes,1, Monday 13th May 2013.
Lorient,3,St Etienne,1, Sunday 12th May 2013.
Evian Thonon Gaillar,4,Nice,0, Sunday 12th May 2013.
Lyon,0,Paris Saint-Germain,1, Sunday 12th May 2013.
Nimes,0,Monaco,1, Saturday 11th May 2013.
Marseille,2,Toulouse,1, Saturday 11th May 2013.
AC Ajaccio,0,Troyes,1, Saturday 11th May 2013.
