Home Team,Home Score,Away Team,Away Score,Match Date
Burton Albion,0,Fleetwood Town,1, Monday 26th May 2014.
Southend United,2,Burton Albion,2, Saturday 17th May 2014.
Fleetwood Town,0,York City,0, Friday 16th May 2014.
York City,0,Fleetwood Town,1, Monday 12th May 2014.
Burton Albion,1,Southend United,0, Sunday 11th May 2014.
Accrington Stanley,3,AFC Wimbledon,2, Saturday 3rd May 2014.
Bristol Rovers,0,Mansfield Town,1, Saturday 3rd May 2014.
Cheltenham Town,2,Dagenham & Redbridge,3, Saturday 3rd May 2014.
Chesterfield,2,Fleetwood Town,1, Saturday 3rd May 2014.
Hartlepool United,0,Exeter City,2, Saturday 3rd May 2014.
Morecambe,0,Bury,0, Saturday 3rd May 2014.
Newport County AFC,2,Rochdale,1, Saturday 3rd May 2014.
Northampton Town,3,Oxford United,1, Saturday 3rd May 2014.
Portsmouth,3,Plymouth Argyle,3, Saturday 3rd May 2014.
Scunthorpe United,2,York City,2, Saturday 3rd May 2014.
Southend United,1,Burton Albion,0, Saturday 3rd May 2014.
Torquay United,0,Wycombe Wanderers,3, Saturday 3rd May 2014.
Burton Albion,0,Chesterfield,2, Sunday 27th April 2014.
AFC Wimbledon,0,Morecambe,3, Saturday 26th April 2014.
Bury,4,Portsmouth,4, Saturday 26th April 2014.
Dagenham & Redbridge,0,Northampton Town,3, Saturday 26th April 2014.
Exeter City,2,Scunthorpe United,0, Saturday 26th April 2014.
Fleetwood Town,1,Southend United,1, Saturday 26th April 2014.
Mansfield Town,1,Torquay United,3, Saturday 26th April 2014.
Oxford United,1,Accrington Stanley,2, Saturday 26th April 2014.
Plymouth Argyle,1,Hartlepool United,1, Saturday 26th April 2014.
Rochdale,2,Cheltenham Town,0, Saturday 26th April 2014.
Wycombe Wanderers,1,Bristol Rovers,2, Saturday 26th April 2014.
York City,1,Newport County AFC,0, Saturday 26th April 2014.
Bristol Rovers,1,Rochdale,2, Monday 21st April 2014.
Dagenham & Redbridge,0,Chesterfield,1, Monday 21st April 2014.
Exeter City,1,Torquay United,2, Monday 21st April 2014.
Fleetwood Town,1,Wycombe Wanderers,0, Monday 21st April 2014.
Hartlepool United,2,Morecambe,1, Monday 21st April 2014.
Mansfield Town,0,Cheltenham Town,2, Monday 21st April 2014.
Newport County AFC,1,Burton Albion,1, Monday 21st April 2014.
Northampton Town,0,Portsmouth,1, Monday 21st April 2014.
Plymouth Argyle,1,AFC Wimbledon,2, Monday 21st April 2014.
Scunthorpe United,1,Oxford United,0, Monday 21st April 2014.
Southend United,1,Accrington Stanley,0, Monday 21st April 2014.
York City,1,Bury,0, Monday 21st April 2014.
