Home Team,Home Score,Away Team,Away Score,Match Date
Spal,1,Fiorentina,3, Sunday 2nd August 2020.
Bologna,1,Torino,1, Sunday 2nd August 2020.
Genoa,3,Verona,0, Sunday 2nd August 2020.
Lecce,3,Parma,4, Sunday 2nd August 2020.
Sassuolo,0,Udinese,1, Sunday 2nd August 2020.
Brescia,1,Sampdoria,1, Saturday 1st August 2020.
AC Milan,3,Cagliari,0, Saturday 1st August 2020.
Atalanta,0,Inter Milan,2, Saturday 1st August 2020.
Juventus,1,Roma,3, Saturday 1st August 2020.
Napoli,3,Lazio,1, Saturday 1st August 2020.
Lazio,2,Brescia,0, Wednesday 29th July 2020.
Sampdoria,1,AC Milan,4, Wednesday 29th July 2020.
Sassuolo,5,Genoa,0, Wednesday 29th July 2020.
Udinese,1,Lecce,2, Wednesday 29th July 2020.
Verona,3,Spal,0, Wednesday 29th July 2020.
Cagliari,2,Juventus,0, Wednesday 29th July 2020.
Fiorentina,4,Bologna,0, Wednesday 29th July 2020.
Torino,2,Roma,3, Wednesday 29th July 2020.
Parma,1,Atalanta,2, Tuesday 28th July 2020.
Inter Milan,2,Napoli,0, Tuesday 28th July 2020.
Bologna,3,Lecce,2, Sunday 26th July 2020.
Cagliari,0,Udinese,1, Sunday 26th July 2020.
Roma,2,Fiorentina,1, Sunday 26th July 2020.
Spal,1,Torino,1, Sunday 26th July 2020.
Verona,1,Lazio,5, Sunday 26th July 2020.
Juventus,2,Sampdoria,0, Sunday 26th July 2020.
Brescia,1,Parma,2, Saturday 25th July 2020.
Genoa,0,Inter Milan,3, Saturday 25th July 2020.
Napoli,2,Sassuolo,0, Saturday 25th July 2020.
AC Milan,1,Atalanta,1, Friday 24th July 2020.
Udinese,2,Juventus,1, Thursday 23rd July 2020.
Lazio,2,Cagliari,1, Thursday 23rd July 2020.
Parma,2,Napoli,1, Wednesday 22nd July 2020.
Inter Milan,0,Fiorentina,0, Wednesday 22nd July 2020.
Lecce,3,Brescia,1, Wednesday 22nd July 2020.
Sampdoria,1,Genoa,2, Wednesday 22nd July 2020.
Spal,1,Roma,6, Wednesday 22nd July 2020.
Torino,1,Verona,1, Wednesday 22nd July 2020.
Atalanta,1,Bologna,0, Tuesday 21st July 2020.
Sassuolo,1,AC Milan,2, Tuesday 21st July 2020.
Juventus,2,Lazio,1, Monday 20th July 2020.
Parma,2,Sampdoria,3, Sunday 19th July 2020.
Brescia,2,Spal,1, Sunday 19th July 2020.
Fiorentina,2,Torino,0, Sunday 19th July 2020.
Genoa,2,Lecce,1, Sunday 19th July 2020.
Napoli,2,Udinese,1, Sunday 19th July 2020.
