Home Team,Home Score,Away Team,Away Score,Match Date
Southend United,1,Wycombe Wanderers,1, Saturday 23rd May 2015.
Southend United,3,Stevenage,1, Thursday 14th May 2015.
Wycombe Wanderers,2,Plymouth Argyle,1, Thursday 14th May 2015.
Stevenage,1,Southend United,1, Sunday 10th May 2015.
Plymouth Argyle,2,Wycombe Wanderers,3, Saturday 9th May 2015.
AFC Wimbledon,1,Cheltenham Town,1, Saturday 2nd May 2015.
Accrington Stanley,2,Mansfield Town,1, Saturday 2nd May 2015.
Cambridge United,2,Burton Albion,3, Saturday 2nd May 2015.
Carlisle United,3,Hartlepool United,3, Saturday 2nd May 2015.
Exeter City,2,Dagenham & Redbridge,1, Saturday 2nd May 2015.
Luton Town,2,Stevenage,0, Saturday 2nd May 2015.
Morecambe,3,Southend United,1, Saturday 2nd May 2015.
Newport County AFC,0,Oxford United,1, Saturday 2nd May 2015.
Northampton Town,2,Wycombe Wanderers,3, Saturday 2nd May 2015.
Portsmouth,1,York City,1, Saturday 2nd May 2015.
Shrewsbury Town,0,Plymouth Argyle,2, Saturday 2nd May 2015.
Tranmere Rovers,0,Bury,1, Saturday 2nd May 2015.
Burton Albion,3,Northampton Town,1, Saturday 25th April 2015.
Bury,2,AFC Wimbledon,0, Saturday 25th April 2015.
Cheltenham Town,0,Shrewsbury Town,1, Saturday 25th April 2015.
Dagenham & Redbridge,4,Accrington Stanley,0, Saturday 25th April 2015.
Hartlepool United,2,Exeter City,1, Saturday 25th April 2015.
Mansfield Town,1,Portsmouth,2, Saturday 25th April 2015.
Oxford United,2,Cambridge United,0, Saturday 25th April 2015.
Plymouth Argyle,3,Tranmere Rovers,2, Saturday 25th April 2015.
Southend United,1,Luton Town,0, Saturday 25th April 2015.
Stevenage,1,Carlisle United,0, Saturday 25th April 2015.
Wycombe Wanderers,0,Morecambe,1, Saturday 25th April 2015.
York City,0,Newport County AFC,2, Saturday 25th April 2015.
Bury,0,Southend United,1, Tuesday 21st April 2015.
AFC Wimbledon,0,Wycombe Wanderers,0, Saturday 18th April 2015.
Accrington Stanley,2,Stevenage,2, Saturday 18th April 2015.
Cambridge United,3,Mansfield Town,1, Saturday 18th April 2015.
Carlisle United,2,Plymouth Argyle,0, Saturday 18th April 2015.
Exeter City,0,Southend United,1, Saturday 18th April 2015.
Luton Town,3,Hartlepool United,0, Saturday 18th April 2015.
Morecambe,1,Burton Albion,2, Saturday 18th April 2015.
Newport County AFC,2,Dagenham & Redbridge,3, Saturday 18th April 2015.
Northampton Town,2,Cheltenham Town,0, Saturday 18th April 2015.
Portsmouth,0,Bury,1, Saturday 18th April 2015.
Shrewsbury Town,1,York City,0, Saturday 18th April 2015.
Tranmere Rovers,0,Oxford United,3, Saturday 18th April 2015.
Burton Albion,1,Carlisle United,1, Wednesday 15th April 2015.
Bury,1,Shrewsbury Town,0, Tuesday 14th April 2015.
Cheltenham Town,3,Cambridge United,1, Tuesday 14th April 2015.
Dagenham & Redbridge,0,Luton Town,0, Tuesday 14th April 2015.
Hartlepool United,1,Accrington Stanley,1, Tuesday 14th April 2015.
Mansfield Town,1,Tranmere Rovers,0, Tuesday 14th April 2015.
Oxford United,1,Northampton Town,1, Tuesday 14th April 2015.
Plymouth Argyle,1,AFC Wimbledon,1, Tuesday 14th April 2015.
Southend United,2,Newport County AFC,0, Tuesday 14th April 2015.
Stevenage,1,Portsmouth,0, Tuesday 14th April 2015.
Wycombe Wanderers,2,Exeter City,1, Tuesday 14th April 2015.
York City,2,Morecambe,1, Tuesday 14th April 2015.
AFC Wimbledon,0,Oxford United,0, Saturday 11th April 2015.
Cambridge United,2,Accrington Stanley,2, Saturday 11th April 2015.
Carlisle United,1,Dagenham & Redbridge,0, Saturday 11th April 2015.
Luton Town,0,Burton Albion,1, Saturday 11th April 2015.
Morecambe,3,Portsmouth,1, Saturday 11th April 2015.
