Home Team,Home Score,Away Team,Away Score,Match Date
Angers,2,Toulouse,3, Saturday 14th May 2016.
Caen,1,Bordeaux,0, Saturday 14th May 2016.
Guingamp,2,Nice,3, Saturday 14th May 2016.
Lorient,1,Gazelec Ajaccio,0, Saturday 14th May 2016.
Monaco,2,Montpellier,0, Saturday 14th May 2016.
Paris Saint-Germain,4,Nantes,0, Saturday 14th May 2016.
Reims,4,Lyon,1, Saturday 14th May 2016.
Rennes,1,Bastia,2, Saturday 14th May 2016.
St Etienne,0,Lille,1, Saturday 14th May 2016.
Troyes,1,Marseille,1, Saturday 14th May 2016.
Bordeaux,1,Paris Saint-Germain,1, Wednesday 11th May 2016.
Bastia,1,Angers,0, Saturday 7th May 2016.
Bordeaux,3,Lorient,0, Saturday 7th May 2016.
Gazelec Ajaccio,0,Paris Saint-Germain,4, Saturday 7th May 2016.
Lille,0,Guingamp,0, Saturday 7th May 2016.
Lyon,6,Monaco,1, Saturday 7th May 2016.
Marseille,1,Reims,0, Saturday 7th May 2016.
Montpellier,2,Rennes,0, Saturday 7th May 2016.
Nantes,1,Caen,2, Saturday 7th May 2016.
Nice,2,St Etienne,0, Saturday 7th May 2016.
Toulouse,1,Troyes,0, Saturday 7th May 2016.
Angers,0,Marseille,1, Sunday 1st May 2016.
Nantes,1,Nice,0, Saturday 30th April 2016.
St Etienne,0,Toulouse,0, Saturday 30th April 2016.
Caen,0,Bastia,0, Saturday 30th April 2016.
Lorient,0,Lille,1, Saturday 30th April 2016.
Monaco,3,Guingamp,2, Saturday 30th April 2016.
Reims,2,Montpellier,3, Saturday 30th April 2016.
Troyes,2,Bordeaux,4, Saturday 30th April 2016.
Lyon,2,Gazelec Ajaccio,1, Saturday 30th April 2016.
Paris Saint-Germain,4,Rennes,0, Friday 29th April 2016.
Lille,0,Angers,0, Wednesday 27th April 2016.
Marseille,1,Nantes,1, Sunday 24th April 2016.
Gazelec Ajaccio,3,Bastia,2, Sunday 24th April 2016.
Guingamp,1,Caen,1, Sunday 24th April 2016.
Montpellier,4,Troyes,1, Sunday 24th April 2016.
St Etienne,2,Lorient,0, Sunday 24th April 2016.
Rennes,1,Monaco,1, Sunday 24th April 2016.
Toulouse,2,Lyon,3, Saturday 23rd April 2016.
Nice,2,Reims,0, Friday 22nd April 2016.
Nantes,0,Montpellier,2, Sunday 17th April 2016.
Rennes,0,Guingamp,3, Sunday 17th April 2016.
Monaco,2,Marseille,1, Sunday 17th April 2016.
Paris Saint-Germain,6,Caen,0, Saturday 16th April 2016.
Bastia,0,St Etienne,1, Saturday 16th April 2016.
Bordeaux,1,Angers,3, Saturday 16th April 2016.
Gazelec Ajaccio,2,Lille,4, Saturday 16th April 2016.
Lorient,1,Toulouse,1, Saturday 16th April 2016.
Troyes,2,Reims,1, Saturday 16th April 2016.
Lyon,1,Nice,1, Friday 15th April 2016.
Lille,4,Monaco,1, Sunday 10th April 2016.
Nice,3,Rennes,0, Sunday 10th April 2016.
Marseille,0,Bordeaux,0, Sunday 10th April 2016.
Guingamp,0,Paris Saint-Germain,2, Saturday 9th April 2016.
Angers,0,Gazelec Ajaccio,0, Saturday 9th April 2016.
Caen,1,Lorient,2, Saturday 9th April 2016.
Reims,2,Nantes,1, Saturday 9th April 2016.
St Etienne,1,Troyes,0, Saturday 9th April 2016.
Toulouse,4,Bastia,0, Saturday 9th April 2016.
Montpellier,0,Lyon,2, Friday 8th April 2016.
Nantes,0,Lille,3, Sunday 3rd April 2016.
Bastia,2,Marseille,1, Sunday 3rd April 2016.
Lorient,1,Lyon,3, Sunday 3rd April 2016.
Paris Saint-Germain,4,Nice,1, Saturday 2nd April 2016.
Gazelec Ajaccio,0,St Etienne,2, Saturday 2nd April 2016.
Guingamp,2,Montpellier,2, Saturday 2nd April 2016.
Rennes,3,Reims,1, Saturday 2nd April 2016.
Toulouse,2,Caen,0, Saturday 2nd April 2016.
Troyes,0,Angers,1, Saturday 2nd April 2016.
Monaco,1,Bordeaux,2, Friday 1st April 2016.
Bordeaux,1,Bastia,1, Sunday 20th March 2016.
Nice,3,Gazelec Ajaccio,0, Sunday 20th March 2016.
Paris Saint-Germain,0,Monaco,2, Sunday 20th March 2016.
St Etienne,3,Montpellier,0, Saturday 19th March 2016.
Angers,5,Lorient,1, Saturday 19th March 2016.
Caen,2,Troyes,1, Saturday 19th March 2016.
Lille,1,Toulouse,0, Saturday 19th March 2016.
Reims,0,Guingamp,1, Saturday 19th March 2016.
Lyon,2,Nantes,0, Saturday 19th March 2016.
Marseille,2,Rennes,5,https://www.skysports.com/football/marseille-vs-rennes/341872
Troyes,0,Paris Saint-Germain,9,https://www.skysports.com/football/troyes-vs-psg/341866
Nantes,2,Angers,0,https://www.skysports.com/football/nantes-vs-angers/341863
Rennes,2,Lyon,2,https://www.skysports.com/football/rennes-vs-lyon/341864
Bastia,1,Lille,2,https://www.skysports.com/football/bastia-vs-lille/341857
Gazelec Ajaccio,1,Caen,0, Saturday 12th March 2016.
Guingamp,2,St Etienne,0, Saturday 12th March 2016.
Montpellier,0,Nice,2, Saturday 12th March 2016.
Toulouse,4,Bordeaux,0, Saturday 12th March 2016.
