Home Team,Home Score,Away Team,Away Score,Match Date
Charlton Athletic,2,Sunderland,1, Sunday 26th May 2019.
Charlton Athletic,2,Doncaster Rovers,3, Friday 17th May 2019.
Portsmouth,0,Sunderland,0, Thursday 16th May 2019.
Doncaster Rovers,1,Charlton Athletic,2, Sunday 12th May 2019.
Sunderland,1,Portsmouth,0, Saturday 11th May 2019.
Blackpool,0,Gillingham,3, Saturday 4th May 2019.
Bradford City,0,AFC Wimbledon,0, Saturday 4th May 2019.
Bristol Rovers,2,Barnsley,1, Saturday 4th May 2019.
Charlton Athletic,4,Rochdale,0, Saturday 4th May 2019.
Doncaster Rovers,2,Coventry City,0, Saturday 4th May 2019.
Luton Town,3,Oxford United,1, Saturday 4th May 2019.
Peterborough United,3,Burton Albion,1, Saturday 4th May 2019.
Plymouth Argyle,3,Scunthorpe United,2, Saturday 4th May 2019.
Portsmouth,1,Accrington Stanley,1, Saturday 4th May 2019.
Shrewsbury Town,0,Walsall,0, Saturday 4th May 2019.
Southend United,2,Sunderland,1, Saturday 4th May 2019.
Wycombe Wanderers,1,Fleetwood Town,0, Saturday 4th May 2019.
Fleetwood Town,2,Sunderland,1, Tuesday 30th April 2019.
Portsmouth,2,Peterborough United,3, Tuesday 30th April 2019.
Coventry City,1,Shrewsbury Town,1, Sunday 28th April 2019.
AFC Wimbledon,2,Wycombe Wanderers,1, Saturday 27th April 2019.
Accrington Stanley,5,Plymouth Argyle,1, Saturday 27th April 2019.
Barnsley,2,Blackpool,1, Saturday 27th April 2019.
Burton Albion,2,Luton Town,1, Saturday 27th April 2019.
Fleetwood Town,0,Bristol Rovers,0, Saturday 27th April 2019.
Gillingham,0,Charlton Athletic,2, Saturday 27th April 2019.
Oxford United,2,Doncaster Rovers,2, Saturday 27th April 2019.
Rochdale,1,Southend United,0, Saturday 27th April 2019.
Scunthorpe United,2,Bradford City,3, Saturday 27th April 2019.
Sunderland,1,Portsmouth,1, Saturday 27th April 2019.
Walsall,3,Peterborough United,0, Saturday 27th April 2019.
Doncaster Rovers,1,Accrington Stanley,2, Tuesday 23rd April 2019.
Luton Town,2,AFC Wimbledon,2, Tuesday 23rd April 2019.
Portsmouth,2,Coventry City,1, Monday 22nd April 2019.
Southend United,3,Burton Albion,2, Monday 22nd April 2019.
Blackpool,2,Fleetwood Town,1, Monday 22nd April 2019.
Bradford City,1,Gillingham,1, Monday 22nd April 2019.
Bristol Rovers,0,Rochdale,1, Monday 22nd April 2019.
Charlton Athletic,4,Scunthorpe United,0, Monday 22nd April 2019.
Peterborough United,1,Sunderland,1, Monday 22nd April 2019.
Plymouth Argyle,0,Barnsley,3, Monday 22nd April 2019.
Shrewsbury Town,2,Oxford United,3, Monday 22nd April 2019.
Wycombe Wanderers,1,Walsall,0, Monday 22nd April 2019.
Accrington Stanley,0,Luton Town,3, Saturday 20th April 2019.
Coventry City,2,Bradford City,0, Friday 19th April 2019.
Oxford United,2,Charlton Athletic,1, Friday 19th April 2019.
AFC Wimbledon,1,Bristol Rovers,1, Friday 19th April 2019.
Barnsley,2,Shrewsbury Town,1, Friday 19th April 2019.
Burton Albion,1,Portsmouth,2, Friday 19th April 2019.
Fleetwood Town,1,Peterborough United,1, Friday 19th April 2019.
Gillingham,3,Plymouth Argyle,1, Friday 19th April 2019.
Rochdale,1,Wycombe Wanderers,0, Friday 19th April 2019.
Scunthorpe United,0,Blackpool,0, Friday 19th April 2019.
Walsall,1,Southend United,1, Friday 19th April 2019.
Sunderland,2,Doncaster Rovers,0, Friday 19th April 2019.
Accrington Stanley,2,Walsall,1, Saturday 13th April 2019.
Barnsley,4,Fleetwood Town,2, Saturday 13th April 2019.
Blackpool,0,Peterborough United,1, Saturday 13th April 2019.
Bristol Rovers,3,Bradford City,2, Saturday 13th April 2019.
Charlton Athletic,3,Luton Town,1, Saturday 13th April 2019.
Doncaster Rovers,2,Plymouth Argyle,0, Saturday 13th April 2019.
Gillingham,0,Shrewsbury Town,2, Saturday 13th April 2019.
Oxford United,0,AFC Wimbledon,0, Saturday 13th April 2019.
Portsmouth,4,Rochdale,1, Saturday 13th April 2019.
Scunthorpe United,0,Burton Albion,3, Saturday 13th April 2019.
Southend United,0,Wycombe Wanderers,2, Saturday 13th April 2019.
Sunderland,4,Coventry City,5, Saturday 13th April 2019.
Accrington Stanley,0,Rochdale,1,https://www.skysports.com/football/accrington-stanley-vs-rochdale/393539
Sunderland,1,Burton Albion,1, Tuesday 9th April 2019.
Wycombe Wanderers,0,Charlton Athletic,1, Tuesday 9th April 2019.
Coventry City,0,Bristol Rovers,0, Sunday 7th April 2019.
AFC Wimbledon,1,Accrington Stanley,1, Saturday 6th April 2019.
Bradford City,0,Doncaster Rovers,1, Saturday 6th April 2019.
Burton Albion,3,Barnsley,1, Saturday 6th April 2019.
Fleetwood Town,2,Southend United,2, Saturday 6th April 2019.
Luton Town,2,Blackpool,2, Saturday 6th April 2019.
Peterborough United,2,Gillingham,0, Saturday 6th April 2019.
Plymouth Argyle,0,Charlton Athletic,2, Saturday 6th April 2019.
Rochdale,1,Sunderland,2, Saturday 6th April 2019.
Shrewsbury Town,1,Scunthorpe United,1, Saturday 6th April 2019.
Walsall,1,Oxford United,3, Saturday 6th April 2019.
Wycombe Wanderers,2,Portsmouth,3, Saturday 6th April 2019.
Accrington Stanley,0,Sunderland,3, Wednesday 3rd April 2019.
Accrington Stanley,0,Fleetwood Town,1, Saturday 30th March 2019.
Barnsley,2,Coventry City,2, Saturday 30th March 2019.
Blackpool,2,Plymouth Argyle,2, Saturday 30th March 2019.
Bristol Rovers,1,Luton Town,2, Saturday 30th March 2019.
Charlton Athletic,1,Bradford City,0, Saturday 30th March 2019.
Doncaster Rovers,3,Walsall,1, Saturday 30th March 2019.
Gillingham,1,Rochdale,1, Saturday 30th March 2019.
Oxford United,2,Wycombe Wanderers,1, Saturday 30th March 2019.
Scunthorpe United,1,AFC Wimbledon,2, Saturday 30th March 2019.
Southend United,0,Shrewsbury Town,2, Saturday 30th March 2019.
Doncaster Rovers,4,Bristol Rovers,1, Tuesday 26th March 2019.
Walsall,0,Barnsley,1, Saturday 23rd March 2019.
AFC Wimbledon,2,Gillingham,4, Saturday 23rd March 2019.
Bradford City,1,Blackpool,4, Saturday 23rd March 2019.
Burton Albion,5,Accrington Stanley,2, Saturday 23rd March 2019.
Coventry City,0,Oxford United,1, Saturday 23rd March 2019.
Luton Town,4,Doncaster Rovers,0, Saturday 23rd March 2019.
Peterborough United,2,Southend United,0, Saturday 23rd March 2019.
Plymouth Argyle,2,Bristol Rovers,2, Saturday 23rd March 2019.
Rochdale,3,Scunthorpe United,1, Saturday 23rd March 2019.
Shrewsbury Town,0,Portsmouth,2, Saturday 23rd March 2019.
Bristol Rovers,0,Charlton Athletic,0, Saturday 16th March 2019.
Burton Albion,3,Blackpool,0, Saturday 16th March 2019.
Fleetwood Town,2,Plymouth Argyle,0, Saturday 16th March 2019.
Luton Town,2,Gillingham,2, Saturday 16th March 2019.
Oxford United,1,Bradford City,0, Saturday 16th March 2019.
Peterborough United,1,Coventry City,2, Saturday 16th March 2019.
Portsmouth,2,Scunthorpe United,0, Saturday 16th March 2019.
Shrewsbury Town,2,Wycombe Wanderers,1, Saturday 16th March 2019.
Southend United,0,AFC Wimbledon,1, Saturday 16th March 2019.
Sunderland,2,Walsall,1, Saturday 16th March 2019.
Doncaster Rovers,0,Barnsley,0, Friday 15th March 2019.
AFC Wimbledon,1,Peterborough United,0, Tuesday 12th March 2019.
Barnsley,0,Sunderland,0,https://www.skysports.com/football/barnsley-vs-sunderland/393528
Blackpool,1,Doncaster Rovers,1, Tuesday 12th March 2019.
Bradford City,0,Luton Town,1, Tuesday 12th March 2019.
Charlton Athletic,2,Burton Albion,1, Tuesday 12th March 2019.
Coventry City,2,Fleetwood Town,1, Tuesday 12th March 2019.
Gillingham,0,Bristol Rovers,1, Tuesday 12th March 2019.
Plymouth Argyle,2,Shrewsbury Town,1, Tuesday 12th March 2019.
Rochdale,0,Oxford United,0, Tuesday 12th March 2019.
Scunthorpe United,4,Southend United,1, Tuesday 12th March 2019.
Walsall,2,Portsmouth,3, Tuesday 12th March 2019.
Wycombe Wanderers,1,Accrington Stanley,3, Tuesday 12th March 2019.
AFC Wimbledon,2,Doncaster Rovers,0, Saturday 9th March 2019.
Barnsley,2,Accrington Stanley,0, Saturday 9th March 2019.
Blackpool,2,Southend United,2, Saturday 9th March 2019.
Bradford City,3,Peterborough United,1, Saturday 9th March 2019.
Gillingham,1,Oxford United,0, Saturday 9th March 2019.
Plymouth Argyle,0,Luton Town,0, Saturday 9th March 2019.
Rochdale,2,Shrewsbury Town,1, Saturday 9th March 2019.
Scunthorpe United,0,Bristol Rovers,1, Saturday 9th March 2019.
Walsall,2,Fleetwood Town,0, Saturday 9th March 2019.
Wycombe Wanderers,1,Sunderland,1, Saturday 9th March 2019.
Charlton Athletic,2,Portsmouth,1, Saturday 9th March 2019.
Coventry City,1,Burton Albion,2, Friday 8th March 2019.
Accrington Stanley,1,Blackpool,2, Tuesday 5th March 2019.
Southend United,0,Barnsley,3, Saturday 2nd March 2019.
Accrington Stanley,0,Coventry City,1, Saturday 2nd March 2019.
Bristol Rovers,4,Blackpool,0, Saturday 2nd March 2019.
Burton Albion,0,Walsall,0, Saturday 2nd March 2019.
Doncaster Rovers,1,Charlton Athletic,1, Saturday 2nd March 2019.
Fleetwood Town,1,Gillingham,1, Saturday 2nd March 2019.
Luton Town,2,Rochdale,0, Saturday 2nd March 2019.
Oxford United,2,Scunthorpe United,1, Saturday 2nd March 2019.
Peterborough United,4,Wycombe Wanderers,2, Saturday 2nd March 2019.
Portsmouth,5,Bradford City,1, Saturday 2nd March 2019.
Shrewsbury Town,0,AFC Wimbledon,0, Saturday 2nd March 2019.
Sunderland,2,Plymouth Argyle,0, Saturday 2nd March 2019.
Shrewsbury Town,2,Doncaster Rovers,0, Tuesday 26th February 2019.
Luton Town,1,Coventry City,1, Sunday 24th February 2019.
Scunthorpe United,1,Doncaster Rovers,1, Saturday 23rd February 2019.
AFC Wimbledon,1,Charlton Athletic,2, Saturday 23rd February 2019.
Accrington Stanley,1,Southend United,1, Saturday 23rd February 2019.
Blackpool,0,Oxford United,1, Saturday 23rd February 2019.
Bristol Rovers,0,Sunderland,2, Saturday 23rd February 2019.
Burton Albion,0,Fleetwood Town,1, Saturday 23rd February 2019.
Peterborough United,1,Shrewsbury Town,2, Saturday 23rd February 2019.
Plymouth Argyle,5,Rochdale,1, Saturday 23rd February 2019.
Portsmouth,0,Barnsley,0, Saturday 23rd February 2019.
Walsall,3,Bradford City,2, Saturday 23rd February 2019.
Wycombe Wanderers,0,Gillingham,1, Saturday 23rd February 2019.
Accrington Stanley,4,Oxford United,2, Tuesday 19th February 2019.
Barnsley,0,Burton Albion,0, Tuesday 19th February 2019.
Portsmouth,1,Bristol Rovers,1, Tuesday 19th February 2019.
Rochdale,3,AFC Wimbledon,4, Tuesday 19th February 2019.
Sunderland,4,Gillingham,2, Tuesday 19th February 2019.
Southend United,3,Portsmouth,3, Saturday 16th February 2019.
Barnsley,2,Wycombe Wanderers,1, Saturday 16th February 2019.
Bradford City,0,Plymouth Argyle,0, Saturday 16th February 2019.
Charlton Athletic,0,Blackpool,0, Saturday 16th February 2019.
Coventry City,3,Walsall,0, Saturday 16th February 2019.
Fleetwood Town,1,Luton Town,2, Saturday 16th February 2019.
Gillingham,1,Scunthorpe United,0, Saturday 16th February 2019.
Oxford United,0,Peterborough United,1, Saturday 16th February 2019.
Shrewsbury Town,1,Burton Albion,1, Saturday 16th February 2019.
Sunderland,2,Accrington Stanley,2, Friday 15th February 2019.
Doncaster Rovers,3,Southend United,0, Tuesday 12th February 2019.
Sunderland,1,Blackpool,1, Tuesday 12th February 2019.
Walsall,0,AFC Wimbledon,1, Tuesday 12th February 2019.
AFC Wimbledon,0,Burton Albion,2, Saturday 9th February 2019.
