Home Team,Home Score,Away Team,Away Score,Match Date
Chelsea,2,Blackburn Rovers,1,https://www.skysports.com/football/chelsea-vs-blackburn/238247
Everton,3,Newcastle United,1, Sunday 13th May 2012.
Manchester City,3,Queens Park Rangers,2, Sunday 13th May 2012.
Norwich City,2,Aston Villa,0, Sunday 13th May 2012.
Stoke City,2,Bolton Wanderers,2, Sunday 13th May 2012.
Sunderland,0,Manchester United,1, Sunday 13th May 2012.
Swansea City,1,Liverpool,0, Sunday 13th May 2012.
Tottenham Hotspur,2,Fulham,0, Sunday 13th May 2012.
West Bromwich Albion,2,Arsenal,3, Sunday 13th May 2012.
Wigan Athletic,3,Wolverhampton Wanderers,2, Sunday 13th May 2012.
Liverpool,4,Chelsea,1, Tuesday 8th May 2012.
Blackburn Rovers,0,Wigan Athletic,1, Monday 7th May 2012.
Newcastle United,0,Manchester City,2, Sunday 6th May 2012.
Aston Villa,1,Tottenham Hotspur,1, Sunday 6th May 2012.
Bolton Wanderers,2,West Bromwich Albion,2, Sunday 6th May 2012.
Fulham,2,Sunderland,1, Sunday 6th May 2012.
Queens Park Rangers,1,Stoke City,0, Sunday 6th May 2012.
Wolverhampton Wanderers,0,Everton,0, Sunday 6th May 2012.
Manchester United,2,Swansea City,0, Sunday 6th May 2012.
Arsenal,3,Norwich City,3, Saturday 5th May 2012.
Chelsea,0,Newcastle United,2, Wednesday 2nd May 2012.
Bolton Wanderers,1,Tottenham Hotspur,4, Wednesday 2nd May 2012.
Liverpool,0,Fulham,1, Tuesday 1st May 2012.
Stoke City,1,Everton,1, Tuesday 1st May 2012.
Manchester City,1,Manchester United,0, Monday 30th April 2012.
Chelsea,6,Queens Park Rangers,1, Sunday 29th April 2012.
Tottenham Hotspur,2,Blackburn Rovers,0, Sunday 29th April 2012.
Everton,4,Fulham,0, Saturday 28th April 2012.
Stoke City,1,Arsenal,1, Saturday 28th April 2012.
Sunderland,2,Bolton Wanderers,2, Saturday 28th April 2012.
Swansea City,4,Wolverhampton Wanderers,4, Saturday 28th April 2012.
West Bromwich Albion,0,Aston Villa,0, Saturday 28th April 2012.
Wigan Athletic,4,Newcastle United,0, Saturday 28th April 2012.
Norwich City,0,Liverpool,3, Saturday 28th April 2012.
Aston Villa,1,Bolton Wanderers,2, Tuesday 24th April 2012.
Manchester United,4,Everton,4, Sunday 22nd April 2012.
Liverpool,0,West Bromwich Albion,1, Sunday 22nd April 2012.
Wolverhampton Wanderers,0,Manchester City,2, Sunday 22nd April 2012.
Arsenal,0,Chelsea,0, Saturday 21st April 2012.
Aston Villa,0,Sunderland,0, Saturday 21st April 2012.
Blackburn Rovers,2,Norwich City,0, Saturday 21st April 2012.
Bolton Wanderers,1,Swansea City,1, Saturday 21st April 2012.
Fulham,2,Wigan Athletic,1, Saturday 21st April 2012.
Newcastle United,3,Stoke City,0, Saturday 21st April 2012.
Queens Park Rangers,1,Tottenham Hotspur,0, Saturday 21st April 2012.
Arsenal,1,Wigan Athletic,2, Monday 16th April 2012.
Manchester United,4,Aston Villa,0, Sunday 15th April 2012.
Norwich City,1,Manchester City,6, Saturday 14th April 2012.
Sunderland,0,Wolverhampton Wanderers,0, Saturday 14th April 2012.
Swansea City,3,Blackburn Rovers,0, Saturday 14th April 2012.
West Bromwich Albion,1,Queens Park Rangers,0, Saturday 14th April 2012.
Manchester City,4,West Bromwich Albion,0, Wednesday 11th April 2012.
Wigan Athletic,1,Manchester United,0, Wednesday 11th April 2012.
Wolverhampton Wanderers,0,Arsenal,3, Wednesday 11th April 2012.
Queens Park Rangers,3,Swansea City,0, Wednesday 11th April 2012.
