Home Team,Home Score,Away Team,Away Score,Match Date
Aston Villa,2,Derby County,1, Monday 27th May 2019.
Leeds United,2,Derby County,4, Wednesday 15th May 2019.
West Bromwich Albion,1,Aston Villa,0, Tuesday 14th May 2019.
Aston Villa,2,West Bromwich Albion,1, Saturday 11th May 2019.
Derby County,0,Leeds United,1, Saturday 11th May 2019.
Aston Villa,1,Norwich City,2, Sunday 5th May 2019.
Blackburn Rovers,2,Swansea City,2, Sunday 5th May 2019.
Brentford,3,Preston North End,0, Sunday 5th May 2019.
Derby County,3,West Bromwich Albion,1, Sunday 5th May 2019.
Hull City,1,Bristol City,1, Sunday 5th May 2019.
Ipswich Town,3,Leeds United,2, Sunday 5th May 2019.
Nottingham Forest,1,Bolton Wanderers,0, Sunday 5th May 2019.
Reading,0,Birmingham City,0, Sunday 5th May 2019.
Rotherham United,1,Middlesbrough,2, Sunday 5th May 2019.
Sheffield Wednesday,1,Queens Park Rangers,2, Sunday 5th May 2019.
Stoke City,2,Sheffield United,2, Sunday 5th May 2019.
Wigan Athletic,1,Millwall,0, Sunday 5th May 2019.
Swansea City,1,Derby County,1, Wednesday 1st May 2019.
Millwall,1,Bristol City,2, Tuesday 30th April 2019.
Leeds United,1,Aston Villa,1, Sunday 28th April 2019.
Millwall,0,Stoke City,0, Saturday 27th April 2019.
Birmingham City,1,Wigan Athletic,1, Saturday 27th April 2019.
Bristol City,0,Derby County,2, Saturday 27th April 2019.
Middlesbrough,2,Reading,1, Saturday 27th April 2019.
Preston North End,3,Sheffield Wednesday,3, Saturday 27th April 2019.
Queens Park Rangers,0,Nottingham Forest,1, Saturday 27th April 2019.
Swansea City,2,Hull City,2, Saturday 27th April 2019.
West Bromwich Albion,2,Rotherham United,1, Saturday 27th April 2019.
Sheffield United,2,Ipswich Town,0, Saturday 27th April 2019.
Norwich City,2,Blackburn Rovers,1, Saturday 27th April 2019.
Aston Villa,1,Millwall,0, Monday 22nd April 2019.
Blackburn Rovers,2,Bolton Wanderers,0, Monday 22nd April 2019.
Derby County,2,Queens Park Rangers,0, Monday 22nd April 2019.
Hull City,0,Sheffield United,3, Monday 22nd April 2019.
Ipswich Town,0,Swansea City,1, Monday 22nd April 2019.
Nottingham Forest,3,Middlesbrough,0, Monday 22nd April 2019.
Reading,0,West Bromwich Albion,0, Monday 22nd April 2019.
Rotherham United,1,Birmingham City,3, Monday 22nd April 2019.
Sheffield Wednesday,2,Bristol City,0, Monday 22nd April 2019.
Stoke City,2,Norwich City,2, Monday 22nd April 2019.
Wigan Athletic,2,Preston North End,0, Monday 22nd April 2019.
Brentford,2,Leeds United,0, Monday 22nd April 2019.
Bristol City,1,Reading,1, Friday 19th April 2019.
Sheffield United,2,Nottingham Forest,0, Friday 19th April 2019.
Millwall,1,Brentford,1, Friday 19th April 2019.
Birmingham City,2,Derby County,2, Friday 19th April 2019.
Bolton Wanderers,0,Aston Villa,2,https://www.skysports.com/football/bolton-vs-a-villa/393048
Leeds United,1,Wigan Athletic,2, Friday 19th April 2019.
Middlesbrough,1,Stoke City,0,https://www.skysports.com/football/mboro-vs-stoke/393051
Preston North End,4,Ipswich Town,0,https://www.skysports.com/football/preston-vs-ipswich/393054
Queens Park Rangers,1,Blackburn Rovers,2, Friday 19th April 2019.
Swansea City,4,Rotherham United,3, Friday 19th April 2019.
West Bromwich Albion,3,Hull City,2, Friday 19th April 2019.
Norwich City,2,Sheffield Wednesday,2, Friday 19th April 2019.
Wigan Athletic,1,Norwich City,1, Sunday 14th April 2019.
Aston Villa,2,Bristol City,1, Saturday 13th April 2019.
Derby County,4,Bolton Wanderers,0, Saturday 13th April 2019.
Ipswich Town,1,Birmingham City,1, Saturday 13th April 2019.
Middlesbrough,1,Hull City,0, Saturday 13th April 2019.
Nottingham Forest,1,Blackburn Rovers,2, Saturday 13th April 2019.
Queens Park Rangers,4,Swansea City,0, Saturday 13th April 2019.
Reading,2,Brentford,1, Saturday 13th April 2019.
Sheffield United,1,Millwall,1, Saturday 13th April 2019.
Stoke City,2,Rotherham United,2, Saturday 13th April 2019.
West Bromwich Albion,4,Preston North End,1, Saturday 13th April 2019.
Leeds United,1,Sheffield Wednesday,0, Saturday 13th April 2019.
Birmingham City,1,Sheffield United,1, Wednesday 10th April 2019.
Brentford,2,Ipswich Town,0, Wednesday 10th April 2019.
Hull City,2,Wigan Athletic,1, Wednesday 10th April 2019.
Millwall,0,Queens Park Rangers,0, Wednesday 10th April 2019.
Norwich City,2,Reading,2, Wednesday 10th April 2019.
Rotherham United,1,Aston Villa,2, Wednesday 10th April 2019.
Blackburn Rovers,2,Derby County,0, Tuesday 9th April 2019.
Bristol City,3,West Bromwich Albion,2, Tuesday 9th April 2019.
Preston North End,0,Leeds United,2, Tuesday 9th April 2019.
Sheffield Wednesday,3,Nottingham Forest,0, Tuesday 9th April 2019.
Swansea City,3,Stoke City,1, Tuesday 9th April 2019.
Bolton Wanderers,0,Middlesbrough,2, Tuesday 9th April 2019.
Norwich City,4,Queens Park Rangers,0, Saturday 6th April 2019.
Birmingham City,1,Leeds United,0, Saturday 6th April 2019.
Blackburn Rovers,0,Stoke City,1, Saturday 6th April 2019.
Bolton Wanderers,1,Ipswich Town,2, Saturday 6th April 2019.
Brentford,3,Derby County,3, Saturday 6th April 2019.
Bristol City,2,Wigan Athletic,2, Saturday 6th April 2019.
Hull City,3,Reading,1, Saturday 6th April 2019.
Millwall,2,West Bromwich Albion,0, Saturday 6th April 2019.
Preston North End,0,Sheffield United,1, Saturday 6th April 2019.
Rotherham United,2,Nottingham Forest,1, Saturday 6th April 2019.
Sheffield Wednesday,1,Aston Villa,3, Saturday 6th April 2019.
Swansea City,3,Middlesbrough,1, Saturday 6th April 2019.
Middlesbrough,0,Bristol City,1, Tuesday 2nd April 2019.
Swansea City,3,Brentford,0, Tuesday 2nd April 2019.
Aston Villa,2,Blackburn Rovers,1, Saturday 30th March 2019.
Derby County,6,Rotherham United,1, Saturday 30th March 2019.
Ipswich Town,0,Hull City,2, Saturday 30th March 2019.
Leeds United,3,Millwall,2, Saturday 30th March 2019.
Nottingham Forest,2,Swansea City,1, Saturday 30th March 2019.
Queens Park Rangers,1,Bolton Wanderers,2, Saturday 30th March 2019.
Reading,2,Preston North End,1, Saturday 30th March 2019.
Sheffield United,2,Bristol City,3, Saturday 30th March 2019.
Stoke City,0,Sheffield Wednesday,0, Saturday 30th March 2019.
Wigan Athletic,0,Brentford,0, Saturday 30th March 2019.
Middlesbrough,0,Norwich City,1, Saturday 30th March 2019.
West Bromwich Albion,3,Birmingham City,2, Friday 29th March 2019.
Leeds United,0,Sheffield United,1, Saturday 16th March 2019.
Aston Villa,3,Middlesbrough,0, Saturday 16th March 2019.
Brentford,0,West Bromwich Albion,1, Saturday 16th March 2019.
Hull City,2,Queens Park Rangers,2, Saturday 16th March 2019.
Ipswich Town,1,Nottingham Forest,1, Saturday 16th March 2019.
Preston North End,1,Birmingham City,0, Saturday 16th March 2019.
Rotherham United,1,Norwich City,2, Saturday 16th March 2019.
Sheffield Wednesday,4,Blackburn Rovers,2, Saturday 16th March 2019.
Stoke City,0,Reading,0, Saturday 16th March 2019.
Wigan Athletic,5,Bolton Wanderers,2, Saturday 16th March 2019.
Birmingham City,0,Millwall,2, Wednesday 13th March 2019.
Derby County,0,Stoke City,0, Wednesday 13th March 2019.
Middlesbrough,1,Preston North End,2, Wednesday 13th March 2019.
Norwich City,3,Hull City,2, Wednesday 13th March 2019.
Nottingham Forest,1,Aston Villa,3, Wednesday 13th March 2019.
Queens Park Rangers,1,Rotherham United,2, Wednesday 13th March 2019.
West Bromwich Albion,3,Swansea City,0, Wednesday 13th March 2019.
Blackburn Rovers,3,Wigan Athletic,0, Tuesday 12th March 2019.
Bristol City,1,Ipswich Town,1, Tuesday 12th March 2019.
Sheffield United,2,Brentford,0, Tuesday 12th March 2019.
Bolton Wanderers,0,Sheffield Wednesday,2, Tuesday 12th March 2019.
Reading,0,Leeds United,3, Tuesday 12th March 2019.
Birmingham City,0,Aston Villa,1, Sunday 10th March 2019.
Blackburn Rovers,0,Preston North End,1, Saturday 9th March 2019.
Sheffield United,2,Rotherham United,0, Saturday 9th March 2019.
Bolton Wanderers,2,Millwall,1, Saturday 9th March 2019.
Bristol City,0,Leeds United,1, Saturday 9th March 2019.
Derby County,1,Sheffield Wednesday,1, Saturday 9th March 2019.
Middlesbrough,1,Brentford,2, Saturday 9th March 2019.
Nottingham Forest,3,Hull City,0, Saturday 9th March 2019.
Queens Park Rangers,0,Stoke City,0, Saturday 9th March 2019.
Reading,3,Wigan Athletic,2, Saturday 9th March 2019.
West Bromwich Albion,1,Ipswich Town,1,https://www.skysports.com/football/w-brom-vs-ipswich/392974
Norwich City,1,Swansea City,0, Friday 8th March 2019.
Derby County,2,Wigan Athletic,1, Tuesday 5th March 2019.
Sheffield Wednesday,0,Sheffield United,0, Monday 4th March 2019.
Aston Villa,4,Derby County,0, Saturday 2nd March 2019.
Brentford,3,Queens Park Rangers,0, Saturday 2nd March 2019.
Hull City,2,Birmingham City,0, Saturday 2nd March 2019.
Ipswich Town,1,Reading,2, Saturday 2nd March 2019.
Millwall,1,Norwich City,3, Saturday 2nd March 2019.
Preston North End,1,Bristol City,1, Saturday 2nd March 2019.
Rotherham United,3,Blackburn Rovers,2, Saturday 2nd March 2019.
Stoke City,2,Nottingham Forest,0, Saturday 2nd March 2019.
Swansea City,2,Bolton Wanderers,0, Saturday 2nd March 2019.
Wigan Athletic,0,Middlesbrough,0, Saturday 2nd March 2019.
Leeds United,4,West Bromwich Albion,0, Friday 1st March 2019.
Bristol City,1,Birmingham City,2, Tuesday 26th February 2019.
Hull City,2,Millwall,1, Tuesday 26th February 2019.
Queens Park Rangers,1,Leeds United,0, Tuesday 26th February 2019.
Sheffield Wednesday,2,Brentford,0, Tuesday 26th February 2019.
Nottingham Forest,1,Derby County,0, Monday 25th February 2019.
Birmingham City,2,Blackburn Rovers,2, Saturday 23rd February 2019.
Brentford,5,Hull City,1, Saturday 23rd February 2019.
Leeds United,2,Bolton Wanderers,1, Saturday 23rd February 2019.
Middlesbrough,2,Queens Park Rangers,0, Saturday 23rd February 2019.
Millwall,1,Preston North End,3, Saturday 23rd February 2019.
Norwich City,3,Bristol City,2, Saturday 23rd February 2019.
Reading,1,Rotherham United,1, Saturday 23rd February 2019.
Sheffield Wednesday,3,Swansea City,1, Saturday 23rd February 2019.
Stoke City,1,Aston Villa,1, Saturday 23rd February 2019.
Wigan Athletic,1,Ipswich Town,1,https://www.skysports.com/football/wigan-vs-ipswich/392950
West Bromwich Albion,0,Sheffield United,1, Saturday 23rd February 2019.
Derby County,0,Millwall,1, Wednesday 20th February 2019.
Queens Park Rangers,2,West Bromwich Albion,3, Tuesday 19th February 2019.
Blackburn Rovers,0,Middlesbrough,1, Sunday 17th February 2019.
Rotherham United,2,Sheffield Wednesday,2, Saturday 16th February 2019.
Aston Villa,0,West Bromwich Albion,2, Saturday 16th February 2019.
Bolton Wanderers,0,Norwich City,4, Saturday 16th February 2019.
Ipswich Town,1,Stoke City,1, Saturday 16th February 2019.
Preston North End,0,Nottingham Forest,0, Saturday 16th February 2019.
Sheffield United,4,Reading,0, Saturday 16th February 2019.
Brentford,1,Aston Villa,0, Wednesday 13th February 2019.
Ipswich Town,1,Derby County,1, Wednesday 13th February 2019.
Leeds United,2,Swansea City,1, Wednesday 13th February 2019.
Preston North End,3,Norwich City,1, Wednesday 13th February 2019.
Sheffield United,1,Middlesbrough,0, Wednesday 13th February 2019.
Wigan Athletic,0,Stoke City,0, Wednesday 13th February 2019.
Reading,2,Blackburn Rovers,1, Wednesday 13th February 2019.
Birmingham City,0,Bolton Wanderers,1, Tuesday 12th February 2019.
Bristol City,2,Queens Park Rangers,1, Tuesday 12th February 2019.
Hull City,2,Rotherham United,2, Tuesday 12th February 2019.
Millwall,0,Sheffield Wednesday,0, Tuesday 12th February 2019.
West Bromwich Albion,2,Nottingham Forest,2, Tuesday 12th February 2019.
Norwich City,3,Ipswich Town,0, Sunday 10th February 2019.
Middlesbrough,1,Leeds United,1, Saturday 9th February 2019.
Blackburn Rovers,0,Bristol City,1, Saturday 9th February 2019.
Bolton Wanderers,1,Preston North End,2, Saturday 9th February 2019.
Derby County,2,Hull City,0, Saturday 9th February 2019.
Nottingham Forest,2,Brentford,1, Saturday 9th February 2019.
Queens Park Rangers,3,Birmingham City,4,https://www.skysports.com/football/qpr-vs-birmham/392910
Rotherham United,1,Wigan Athletic,1, Saturday 9th February 2019.
Sheffield Wednesday,0,Reading,0, Saturday 9th February 2019.
Swansea City,1,Millwall,0, Saturday 9th February 2019.
