Home Team,Home Score,Away Team,Away Score,Match Date
Manchester United,4,Norwich City,0, Saturday 2nd March 2013.
Southampton,1,Queens Park Rangers,2, Saturday 2nd March 2013.
Stoke City,0,West Ham United,1, Saturday 2nd March 2013.
Sunderland,2,Fulham,2, Saturday 2nd March 2013.
Swansea City,1,Newcastle United,0, Saturday 2nd March 2013.
Wigan Athletic,0,Liverpool,4, Saturday 2nd March 2013.
West Ham United,2,Tottenham Hotspur,3, Monday 25th February 2013.
Manchester City,2,Chelsea,0, Sunday 24th February 2013.
Newcastle United,4,Southampton,2, Sunday 24th February 2013.
Fulham,1,Stoke City,0, Saturday 23rd February 2013.
Arsenal,2,Aston Villa,1, Saturday 23rd February 2013.
Norwich City,2,Everton,1, Saturday 23rd February 2013.
Queens Park Rangers,0,Manchester United,2, Saturday 23rd February 2013.
Reading,0,Wigan Athletic,3, Saturday 23rd February 2013.
West Bromwich Albion,2,Sunderland,1, Saturday 23rd February 2013.
Liverpool,5,Swansea City,0, Sunday 17th February 2013.
Liverpool,0,West Bromwich Albion,2, Monday 11th February 2013.
Aston Villa,2,West Ham United,1, Sunday 10th February 2013.
Manchester United,2,Everton,0, Sunday 10th February 2013.
Tottenham Hotspur,2,Newcastle United,1, Saturday 9th February 2013.
Chelsea,4,Wigan Athletic,1, Saturday 9th February 2013.
Norwich City,0,Fulham,0, Saturday 9th February 2013.
Stoke City,2,Reading,1, Saturday 9th February 2013.
Sunderland,0,Arsenal,1, Saturday 9th February 2013.
Swansea City,4,Queens Park Rangers,1, Saturday 9th February 2013.
Southampton,3,Manchester City,1, Saturday 9th February 2013.
West Bromwich Albion,0,Tottenham Hotspur,1, Sunday 3rd February 2013.
Manchester City,2,Liverpool,2, Sunday 3rd February 2013.
Queens Park Rangers,0,Norwich City,0, Saturday 2nd February 2013.
Arsenal,1,Stoke City,0, Saturday 2nd February 2013.
Everton,3,Aston Villa,3, Saturday 2nd February 2013.
Newcastle United,3,Chelsea,2, Saturday 2nd February 2013.
Reading,2,Sunderland,1, Saturday 2nd February 2013.
West Ham United,1,Swansea City,0, Saturday 2nd February 2013.
Wigan Athletic,2,Southampton,2, Saturday 2nd February 2013.
Fulham,0,Manchester United,1, Saturday 2nd February 2013.
Arsenal,2,Liverpool,2, Wednesday 30th January 2013.
Everton,2,West Bromwich Albion,1, Wednesday 30th January 2013.
Norwich City,1,Tottenham Hotspur,1, Wednesday 30th January 2013.
Fulham,3,West Ham United,1, Wednesday 30th January 2013.
Manchester United,2,Southampton,1, Wednesday 30th January 2013.
Reading,2,Chelsea,2, Wednesday 30th January 2013.
Aston Villa,1,Newcastle United,2, Tuesday 29th January 2013.
Queens Park Rangers,0,Manchester City,0, Tuesday 29th January 2013.
Stoke City,2,Wigan Athletic,2, Tuesday 29th January 2013.
Sunderland,0,Swansea City,0, Tuesday 29th January 2013.
Arsenal,5,West Ham United,1, Wednesday 23rd January 2013.
Southampton,0,Everton,0, Monday 21st January 2013.
Chelsea,2,Arsenal,1, Sunday 20th January 2013.
Tottenham Hotspur,1,Manchester United,1, Sunday 20th January 2013.
Liverpool,5,Norwich City,0, Saturday 19th January 2013.
Manchester City,2,Fulham,0, Saturday 19th January 2013.
Newcastle United,1,Reading,2, Saturday 19th January 2013.
Swansea City,3,Stoke City,1, Saturday 19th January 2013.
West Ham United,1,Queens Park Rangers,1, Saturday 19th January 2013.
Wigan Athletic,2,Sunderland,3, Saturday 19th January 2013.
West Bromwich Albion,2,Aston Villa,2, Saturday 19th January 2013.
Chelsea,2,Southampton,2, Wednesday 16th January 2013.
Manchester United,2,Liverpool,1, Sunday 13th January 2013.
Arsenal,0,Manchester City,2, Sunday 13th January 2013.
Queens Park Rangers,0,Tottenham Hotspur,0, Saturday 12th January 2013.
Aston Villa,0,Southampton,1, Saturday 12th January 2013.
Everton,0,Swansea City,0, Saturday 12th January 2013.
Fulham,1,Wigan Athletic,1, Saturday 12th January 2013.
Norwich City,0,Newcastle United,0,https://www.skysports.com/football/norwich-vs-newcastle/261776
Reading,3,West Bromwich Albion,2,https://www.skysports.com/football/reading-vs-w-brom/261778
Stoke City,0,Chelsea,4, Saturday 12th January 2013.
Sunderland,3,West Ham United,0, Saturday 12th January 2013.
Chelsea,0,Queens Park Rangers,1, Wednesday 2nd January 2013.
Liverpool,3,Sunderland,0, Wednesday 2nd January 2013.
Newcastle United,1,Everton,2, Wednesday 2nd January 2013.
West Bromwich Albion,1,Fulham,2, Tuesday 1st January 2013.
Manchester City,3,Stoke City,0, Tuesday 1st January 2013.
Swansea City,2,Aston Villa,2, Tuesday 1st January 2013.
Tottenham Hotspur,3,Reading,1, Tuesday 1st January 2013.
West Ham United,2,Norwich City,1, Tuesday 1st January 2013.
Wigan Athletic,0,Manchester United,4, Tuesday 1st January 2013.
Southampton,1,Arsenal,1, Tuesday 1st January 2013.
Everton,1,Chelsea,2, Sunday 30th December 2012.
Queens Park Rangers,0,Liverpool,3, Sunday 30th December 2012.
Sunderland,1,Tottenham Hotspur,2, Saturday 29th December 2012.
Aston Villa,0,Wigan Athletic,3, Saturday 29th December 2012.
Fulham,1,Swansea City,2, Saturday 29th December 2012.
Manchester United,2,West Bromwich Albion,0, Saturday 29th December 2012.
Norwich City,3,Manchester City,4, Saturday 29th December 2012.
Reading,1,West Ham United,0, Saturday 29th December 2012.
Stoke City,3,Southampton,3, Saturday 29th December 2012.
Arsenal,7,Newcastle United,3, Saturday 29th December 2012.
Everton,2,Wigan Athletic,1, Wednesday 26th December 2012.
Fulham,1,Southampton,1, Wednesday 26th December 2012.
Manchester United,4,Newcastle United,3, Wednesday 26th December 2012.
Norwich City,0,Chelsea,1, Wednesday 26th December 2012.
Queens Park Rangers,1,West Bromwich Albion,2, Wednesday 26th December 2012.
Reading,0,Swansea City,0, Wednesday 26th December 2012.
Sunderland,1,Manchester City,0, Wednesday 26th December 2012.
Aston Villa,0,Tottenham Hotspur,4, Wednesday 26th December 2012.
Stoke City,3,Liverpool,1, Wednesday 26th December 2012.
Swansea City,1,Manchester United,1, Sunday 23rd December 2012.
Chelsea,8,Aston Villa,0, Sunday 23rd December 2012.
Wigan Athletic,0,Arsenal,1, Saturday 22nd December 2012.
Manchester City,1,Reading,0, Saturday 22nd December 2012.
Newcastle United,1,Queens Park Rangers,0, Saturday 22nd December 2012.
Southampton,0,Sunderland,1, Saturday 22nd December 2012.
Tottenham Hotspur,0,Stoke City,0, Saturday 22nd December 2012.
West Bromwich Albion,2,Norwich City,1, Saturday 22nd December 2012.
West Ham United,1,Everton,2, Saturday 22nd December 2012.
Liverpool,4,Fulham,0, Saturday 22nd December 2012.
Reading,2,Arsenal,5, Monday 17th December 2012.
Tottenham Hotspur,1,Swansea City,0, Sunday 16th December 2012.
West Bromwich Albion,0,West Ham United,0, Sunday 16th December 2012.
Newcastle United,1,Manchester City,3, Saturday 15th December 2012.
Liverpool,1,Aston Villa,3, Saturday 15th December 2012.
Manchester United,3,Sunderland,1, Saturday 15th December 2012.
Norwich City,2,Wigan Athletic,1, Saturday 15th December 2012.
Queens Park Rangers,2,Fulham,1, Saturday 15th December 2012.
Stoke City,1,Everton,1, Saturday 15th December 2012.
Sunderland,3,Reading,0, Tuesday 11th December 2012.
Fulham,2,Newcastle United,1, Monday 10th December 2012.
Manchester City,2,Manchester United,3, Sunday 9th December 2012.
Everton,2,Tottenham Hotspur,1, Sunday 9th December 2012.
West Ham United,2,Liverpool,3, Sunday 9th December 2012.
Arsenal,2,West Bromwich Albion,0, Saturday 8th December 2012.
Aston Villa,0,Stoke City,0, Saturday 8th December 2012.
Southampton,1,Reading,0, Saturday 8th December 2012.
Sunderland,1,Chelsea,3, Saturday 8th December 2012.
Swansea City,3,Norwich City,4, Saturday 8th December 2012.
Wigan Athletic,2,Queens Park Rangers,2, Saturday 8th December 2012.
Newcastle United,3,Wigan Athletic,0, Monday 3rd December 2012.
Norwich City,2,Sunderland,1, Sunday 2nd December 2012.
West Ham United,3,Chelsea,1, Saturday 1st December 2012.
Arsenal,0,Swansea City,2, Saturday 1st December 2012.
Fulham,0,Tottenham Hotspur,3, Saturday 1st December 2012.
Liverpool,1,Southampton,0, Saturday 1st December 2012.
Manchester City,1,Everton,1, Saturday 1st December 2012.
Queens Park Rangers,1,Aston Villa,1, Saturday 1st December 2012.
West Bromwich Albion,0,Stoke City,1, Saturday 1st December 2012.
Reading,3,Manchester United,4, Saturday 1st December 2012.
Chelsea,0,Fulham,0, Wednesday 28th November 2012.
Everton,1,Arsenal,1, Wednesday 28th November 2012.
Southampton,1,Norwich City,1, Wednesday 28th November 2012.
Stoke City,2,Newcastle United,1, Wednesday 28th November 2012.
Swansea City,3,West Bromwich Albion,1, Wednesday 28th November 2012.
Tottenham Hotspur,2,Liverpool,1, Wednesday 28th November 2012.
Manchester United,1,West Ham United,0, Wednesday 28th November 2012.
Wigan Athletic,0,Manchester City,2, Wednesday 28th November 2012.
Sunderland,0,Queens Park Rangers,0, Tuesday 27th November 2012.
Aston Villa,1,Reading,0, Tuesday 27th November 2012.
Swansea City,0,Liverpool,0, Sunday 25th November 2012.
Southampton,2,Newcastle United,0, Sunday 25th November 2012.
Chelsea,0,Manchester City,0, Sunday 25th November 2012.
Tottenham Hotspur,3,West Ham United,1, Sunday 25th November 2012.
Sunderland,2,West Bromwich Albion,4, Saturday 24th November 2012.
Everton,1,Norwich City,1, Saturday 24th November 2012.
Manchester United,3,Queens Park Rangers,1, Saturday 24th November 2012.
Stoke City,1,Fulham,0, Saturday 24th November 2012.
Wigan Athletic,3,Reading,2, Saturday 24th November 2012.
Aston Villa,0,Arsenal,0, Saturday 24th November 2012.
West Ham United,1,Stoke City,1, Monday 19th November 2012.
Fulham,1,Sunderland,3, Sunday 18th November 2012.
Arsenal,5,Tottenham Hotspur,2, Saturday 17th November 2012.
Liverpool,3,Wigan Athletic,0, Saturday 17th November 2012.
Manchester City,5,Aston Villa,0, Saturday 17th November 2012.
Newcastle United,1,Swansea City,2, Saturday 17th November 2012.
Queens Park Rangers,1,Southampton,3, Saturday 17th November 2012.
Reading,2,Everton,1,https://www.skysports.com/football/reading-vs-everton/261678
West Bromwich Albion,2,Chelsea,1,https://www.skysports.com/football/w-brom-vs-chelsea/261679
Norwich City,1,Manchester United,0,https://www.skysports.com/football/norwich-vs-man-utd/261676
Manchester City,2,Tottenham Hotspur,1, Sunday 11th November 2012.
