Home Team,Home Score,Away Team,Away Score,Match Date
Aston Villa,1,Liverpool,0, Sunday 22nd May 2011.
Bolton Wanderers,0,Manchester City,2, Sunday 22nd May 2011.
Everton,1,Chelsea,0,https://www.skysports.com/football/everton-vs-chelsea/215204
Fulham,2,Arsenal,2,https://www.skysports.com/football/fulham-vs-arsenal/215187
Manchester United,4,Blackpool,2, Sunday 22nd May 2011.
Newcastle United,3,West Bromwich Albion,3, Sunday 22nd May 2011.
Stoke City,0,Wigan Athletic,1,https://www.skysports.com/football/stoke-vs-wigan/215447
Tottenham Hotspur,2,Birmingham City,1, Sunday 22nd May 2011.
West Ham United,0,Sunderland,3, Sunday 22nd May 2011.
Wolverhampton Wanderers,2,Blackburn Rovers,3, Sunday 22nd May 2011.
Manchester City,3,Stoke City,0, Tuesday 17th May 2011.
Chelsea,2,Newcastle United,2, Sunday 15th May 2011.
Arsenal,1,Aston Villa,2, Sunday 15th May 2011.
Birmingham City,0,Fulham,2, Sunday 15th May 2011.
Liverpool,0,Tottenham Hotspur,2, Sunday 15th May 2011.
Wigan Athletic,3,West Ham United,2, Sunday 15th May 2011.
Blackburn Rovers,1,Manchester United,1, Saturday 14th May 2011.
Blackpool,4,Bolton Wanderers,3, Saturday 14th May 2011.
Sunderland,1,Wolverhampton Wanderers,3, Saturday 14th May 2011.
West Bromwich Albion,1,Everton,0, Saturday 14th May 2011.
Manchester City,1,Tottenham Hotspur,0, Tuesday 10th May 2011.
Fulham,2,Liverpool,5, Monday 9th May 2011.
Wolverhampton Wanderers,3,West Bromwich Albion,1, Sunday 8th May 2011.
Stoke City,3,Arsenal,1, Sunday 8th May 2011.
Manchester United,2,Chelsea,1, Sunday 8th May 2011.
Aston Villa,1,Wigan Athletic,1, Saturday 7th May 2011.
Bolton Wanderers,1,Sunderland,2, Saturday 7th May 2011.
Everton,2,Manchester City,1, Saturday 7th May 2011.
Newcastle United,2,Birmingham City,1, Saturday 7th May 2011.
West Ham United,1,Blackburn Rovers,1, Saturday 7th May 2011.
Tottenham Hotspur,1,Blackpool,1, Saturday 7th May 2011.
Birmingham City,1,Wolverhampton Wanderers,1, Sunday 1st May 2011.
Liverpool,3,Newcastle United,0, Sunday 1st May 2011.
Arsenal,1,Manchester United,0, Sunday 1st May 2011.
Manchester City,2,West Ham United,1, Sunday 1st May 2011.
Blackburn Rovers,1,Bolton Wanderers,0, Saturday 30th April 2011.
Blackpool,0,Stoke City,0, Saturday 30th April 2011.
Sunderland,0,Fulham,3, Saturday 30th April 2011.
West Bromwich Albion,2,Aston Villa,1, Saturday 30th April 2011.
Wigan Athletic,1,Everton,1, Saturday 30th April 2011.
Chelsea,2,Tottenham Hotspur,1, Saturday 30th April 2011.
Fulham,3,Bolton Wanderers,0, Wednesday 27th April 2011.
Stoke City,3,Wolverhampton Wanderers,0, Tuesday 26th April 2011.
Blackburn Rovers,0,Manchester City,1, Monday 25th April 2011.
Bolton Wanderers,2,Arsenal,1, Sunday 24th April 2011.
Manchester United,1,Everton,0, Saturday 23rd April 2011.
Aston Villa,1,Stoke City,1, Saturday 23rd April 2011.
Blackpool,1,Newcastle United,1, Saturday 23rd April 2011.
Liverpool,5,Birmingham City,0, Saturday 23rd April 2011.
Sunderland,4,Wigan Athletic,2, Saturday 23rd April 2011.
Tottenham Hotspur,2,West Bromwich Albion,2, Saturday 23rd April 2011.
